bear	makwa
cattle	adik
day	kìjig
ᐊᓂᔑᓈᐯᒧᐎᓐ	anicinâbemowin
firewood	misan
squirrel	adjidamò
beaver	amik
mink	càngwèci
weasel	cigosi
moose	mòz
otter	nigig
lynx	pijiw
groundhog	akokodjìc
deer	wàwàckèci
muskrat	wajack
marten	wàbicèsè
skunk	cigàg
potato	padak
potato	opinig
water	nibi
water	nibì
one	pejig
hello	kwey
fox	wagosh
named	ijinikàzo
Algonquin	omàmiwininì
culture	pimàdjiwowin
wolf	mahingan
raccoon	esiban
how	ànìn
