pig	baboy
mother	ina
cow	katin
dog	'aehoe'
rice	pazay
water	ralom
tooth	nepen
machine	kikay
pumpkin	lilom
body	basang
chair	kabat
cat	ngiyaw
frog	takem
mouth	ngabas
eye	masa'
nose	kangeselan
foot	'ae'ay
hand	hima'
head	ta'oeloeh
fish	'aelaw
banana	tawmo'
cloud	homom
money	rayhil
guava	lapowar
taro	rokol
door	'a'leb
window	hinohaes
hat	tatpo'
owl	kal'oe'
trap	baseng
monkey	hosong
ball	mali'
flower	pongaeh
grass	hinbetel
tree	kaehoy
leaf	biyae'
eagle	kowaw
sugarcane	katboS
hot spring	katbos
sweet potato	'aewpir
corn	baesaeh
computer	taenaw
basket	kala'
screw pine	pangrang
testicles	bosoe'
dream	'iSpi'
above	raya'
star	bintoe'an
one	'aehae'
cowshed	kawnakatinan
pestle	'aSo'
