agave	dub
fresh	zee
rebozo	bay
corncob	niz
cat	llit
pot	gues
water	nis
mouth	ruu
vermilion flycatcher	xqueet
green bean	bzayáa
broom	guub
egg	dzɨtbɨdy
work	dzɨɨny
nose	llii
knee	lliby
maize	llub
opossum	ngulbez
armadillo	cucharmadiy
bobcat	llitguiix
corncob	yaan
rain	nisguia
atole	siaab
avocado	yaxy
