you	mama
I	nana
pig	a
father-in-law	sami
hand	dou
forehead	pana
tooth	kung
paternal aunt	wini
husband	ongni
language	wèi
dragonfly	susuwáng
bird	yùng
egg	kùng
dog	duwe
ant	makaingko
nose	dapu
hair	yá
head	tanú
tongue	mái
armpit	dóula
fly	aʼng
sister	moni pung
sister	moni baʼ
brother	tani pung
brother	tani baʼ
star	yelie
fire	tiʼ
fish	wè
water	wì
