umbrella	зонтик
deer	буга
gazelle	зээр
wasp	морин зөгий
bee	зөгий
what	уу
long	ᠤᠷᠲᠤ
palace	ᠣᠷᠳᠤ
year	он
mosquito	шумуул
midge	дэлэнч
Mongol	монгол
book	ном
bone	яс
Christ	Христос
ruble	рубль
Moscow	Москва
potassium	кали
mountain goat	янгир
big	их
vulture	тас
руу	Бразил
square	квадрат
Allah	Аллах
paternal uncle	авга ах
take	авах
load	ачих
carriage	вагон
bus	автобус
apparatus	аппарат
honey	бал
bank	банк
five	таван
theater	театр
tiger	бар
comb	сам
руу	Казахстан
Petrograd	Санкт-Петербург
Islam	ислам
beer	пиво
age	нас
anecdote	анекдот
Siberia	Сибирь
television set	телевизор
device	багаж
tugrug	төгрөг
sex	секс
telephone	телефон
grey	бор
nitrogen	азот
argon	аргон
poison	хор
you	та
Rome	Ром
computer	компьютер
magazine	журнал
movie	фильм
minute	минут
second	секунд
oil	масло
coat	пальто
machine gun	пулемёт
socialism	социализм
factory	завод
rich	баян
team	баг
elevator	лифт
black	хар
руу	Вьетнам
summer	зун
wish	дур
translator	орчуулагч
chocolate	шоколад
beetle	цох
restaurant	ресторан
coffee	кофе
taxi	такси
jacket	пиджак
ээж	минь
museum	музей
cinema	кино
party	нам
red	ал
dinosaur	динозавр
other	биш
meter	метр
kilometer	километр
people	ард
male	эр
interrogative particle	вэ
tractor	трактор
Mongolia	Монгол улс
tram	трамвай
napkin	салфетка
tooth	шүд
hat	малгай
gold	алт
golden	алтан
skirt	банзал
calf	тугал
tick	хачиг
archduke	хан
salt	давс
milk	сүү
whip	ташуур
eagle	бүргэд
mole	мэнгэ
cream	цөцгий
bear	баавгай
rainbow	солонго
mustard	гич
dye	будаг
property	хөрөнгө хогшил
white	цагаан
cockroach	жоом
translate	орчуулах
cat	муур
duck	нугас
pleasure	баяр жаргал
apricot	чангаанз
planet	гариг
goose	галуу
castle	цайз
frog	мэлхий
order	журам
spring	хавар
scorpion	хилэнцэт хорхой
lynx	шилүүс
tea	цай
peace	энх тайван
phosphorus	сүүмэг
light	хөнгөн
parrot	тоть
fish	загас
coast	тэнгисийн эрэг
coast	хаялга
coast	далайн эрэг
butter	цөцгийн тос
admiration	гайхал
yak	сарлаг
grasshopper	царцаа
insect	шавьж
spider	аалз
iron	төмөр
statement	баримт бичиг
elephant	заан
yesterday	өчигдөр
year	жил
cheese	бяслаг
owl	ууль
onion	сонгино
comfort	тайтгарал
potato	төмс
garlic	сармис
lizard	гүрвэл
dog	нохой
clumsy	болхи
proud	бардам
library	номын сан
sulphur	хүхэр
crow	хэрээ
цацагт хяргуул	цацагт хяргуул
minion	шадар
orphan	енчин
wool	ноос
transparent	тунгалаг
draughts	даам
postcard	ил захидал
bacterium	нян
lammergeier	ёл
autumn	намар
illness	өвчин
dentist	шүдний эмч
aggressive	түрэмгий
busy	завгүй
useful	хэрэгтэй
recent	саяхан
нууц далд	нууц далд
cruel	хэрцгий
wine	дарс
Buddha	Будда
Greek	грек
café	кафе
code	код
concrete	бетон
gasoline	бензин
front	фронт
radio	радио
suitcase	чемодан
Afrikaans	африкаанс
mine	мина
metal	металл
communism	коммунизм
sport	спорт
руу	Тайланд
butterfly	эрвээхэй
lake	нуур
hole	нүх
bird	шувуу
horse	морь
blood	цус
size	размер
Arab	араб
arm	гар
go	явах
ticket	билет
sugar cube	ёотон
suit	костюм
archive	архив
ant	шоргоолж
mushroom	мөөг
pillow	дэр
нар	лам
candle	лаа
pigeon	тагтаа
parliament	парламент
virus	вирус
camel	тэмээ
cement	цемент
if	бол
dream	зүүд
suddenly	гэнэт
ornative	-т
sentence	ял
koumiss	айраг
ski	цана
park	парк
file	файл
floor	шал
south	өмнө
calendar	календарь
tadpole	шанаган хорхой
forget	мартах
moon	сар
water	ус
нар	ах
pimple	батга
blade	ир
find	олох
state	улс
yak	туг
nightmare	аймшиг
paste	оо
passport	паспорт
tree	мод
mouth	ам
pair	хос
and	ба
swan	хун
air	хий
falcon	начин
I	би
rear	ар
livestock	мал
motorcycle	мотоцикл
chair	сандал
Korea	Солонгос
Eurovision	Евровидение
hiragana	хирагана
katakana	катакана
sixty	жар
you	чи
net	тор
dance	танц
program	програм
also	бас
leather	шир
smoke	утаа
big	том
Russia	Орос
India	Энэтхэг
Nepal	Балба
ocean	далай
улс	Австрали
cinema	кинотеатр
photo	фото
trolleybus	троллейбус
soap	саван
dzud	зуд
ᠨᠡᠷ᠎ᠡ᠋ ᠦᠭᠡ	нэр үг
verb	үйл үг
head	толгой
