one	маархуонь
two	кийуонь
three	йалуонь
four	йалаклань
five	имдальдьань
six	маалайлань
seven	пускийань
eight	маалайлаклань
nine	вальҕрамкруонь
ten	кунальань
death	йабал
lake	йалҕил
language	аруу
tongue	ванар
eye	йуөдии
hand	чалдьэ
foot	угурчэ
blood	чиэмэ
water	лавйэ
sun	йэрпэйэ
star	паҕадьиидиэчии
star	паҕадьиидэкуу
moon	киндьэ
fire	лачил
stone	хайль
summer	лэвэймэ
winter	хандьэ
spring	чуоҕаймэ
autumn	йоссомэ
sky	хуруул
man	көдэ
life	эдьил
woman	пайпэ
girl	мархиль
son	адуо
father	амаа
mother	эньиэ
hat	моҥо
reindeer	илэ
needle	муридьэ
horse	йоходилэ
worm	көдьэ
rain	тивэҥ
Yukaghir	вадул
island	эмул
quiet	элмонньэл
iron	чуо
berry	пуриэ
