horse	རྟ
regent	རྒྱལ་ཚབ
Tibet	བོད
dumpling	མོ་མོ
one	གཅིག
dragon	འབྲུག
moon	ཟླ་བ
road	ལམ
two	གཉིས
three	གསུམ
four	བཞི
five	ལྔ
six	དྲུག
eat	ཟ
dictionary	ཚིག་མཛོད
book	དཔེ་ཆ
she	མོ
urgent	ཤིག
wood	ཤིང
hill	རི
fire	མེ
afternoon	ཉི་མ
seven	བདུན
I	ང
iron	ལྕགས
name	མིང
deity	ལྷ
centre	གཞུང
jong	རྫོང
and	དང
silver	དངུལ
mountain pass	ལ
know	ཤེས
voice	སྐད
Dzongkha	རྫོང་ཁ
philosopher	དགེ་བཤེས
rain	ཆརཔ
aircraft	གནམ་གྲུ
who	ག
cold	ཁོད་སི་སི
spoon	ཐུར་མ
water	ཆུ
bowl	ཏིང
village	ཡུལ
illness	ནད
hospital	སྨན་ཁང
medicine	སྨན
language	ཁ
pair	ཆ
single	ཡ
tub	ཝ
word	ཚིག
cymophane	གཟི
conquer	རྒྱལ
arrow	མདའ
ferry	གྲུ
zero	ཀླད་ཀོར
face	ཞལ
ability	འཇོན་ཐང
ability	ལྕོགས་གྲུབ
abbreviation	བསྡུ་ཚིག
abbreviation	བསྡུ་ཡིག
abbreviation	མིང་སྡུད
abacus	རྩིས་འཕྲེང
aardvark	གྱོག་དོམ
aardvark	གྱོག་མོ་ཟ་མི་དོམ
abortion	མངལ་བཤལ
adjective	ཁྱད་ཚིག
advice	ཁ་ཏ
Afrikaans	ཨཕ་རི་ཀཱནས་ཁ
agitation	ཐུགས་ཁྲེལ
aluminium	ཀ་ལ
Amharic	ཨམ་ཧ་རིཀ་ཁ
collect	བསྡུ
collect	སྡུད
amount	ཁ་གྲངས
amount	ཀི་དེབ
amulet	གའུ
Andorra	ཨཱན་དོ་ར
Anglo-Saxon	ཨིང་ལིཤ་གི་མི་རྒྱུད
angry	ངན་པ
apprehend	ཧ་གོ
Arabic	ཨ་རབ་ཁ
Aramaic	ཨེ་ར་མིཀ་ཁ
Argentina	ཨར་ཇེན་ཏི་ན
abbot	མཁན་པོ
abdication	སྐུ་དབང་བློས་བཏང
abdomen	ཕོ་ཅུངམ
abide by	ཁྲིམས་ལུ་གནས
abortion	ཨ་ལུ་བཤལ
sandalwood	ཙན་དན
witnessed	ཡི
be	ཡོད
in	ནང
south	ལྷོ
goddess	ལྷ་མོ
they	ཁོང
gold	གསེར
he	ཁོ
town	ཁྲོམ
banana	ངང་ལག
wound	རྨ
foreign country	ཕྱི་རྒྱལ
tent	གུར
Kashmir	ཁ་ཆེ
cucumber	གོན
zinc	ཏི་ཚ
pin	ཁབ་གཟེར
nutmeg	ཛ་ཏི
dawn	ཟོ་ར
Milky Way	རྒིལ་འག་སྨེ་ཡེར
anorexia	ཟས་བཅད་ནད་གཞི
premise	དམ་བཅའ
abduction	བཙན་ཁྲིད
euchre	ཡུ་ཁོད
accessible	ལྷོད་ལམ
Allah	ཁ་ཆེའི་ལྷ
Internationale	ཨན་ཏར་རཤ་ཐྲི་ཡ
Jupiter	རོ་མཱན་གྱི་ལྷ་གཙོ་བོ
crystal	ཆུ་ཤེལ
king	རྒྱལཔོ
Tibetan	བོདཔ
'Ole	ཨོ་ལེ
they	ཕྱོ
stomach	འཕོཝ
my	ངའི
meow	སྨེ
Christian	ཡེ་ཤུའི་ལྷ
rip	ཧྲལ
thief	ཨརཝ
beard	རྒྱབོ
constellation	སྐར་ཚོགས
thank you	བཀའ་དྲིན་ཆེ
zero	ཐིག
red	དམརཔོ
forehead	དཔྱལཝ
cyan	ཧོནམོ
yellow	སེརཔོ
eye	མིག་ཏོ
friend	ཆ་རོགས
work	ལཱ
tea	ཇ་ཆང
hammer	ཐོཝ
sickle	ཟོརཝ
same	མཉམ
black	གནགཔོ
sinful	སྡིག་ཅན
Bhutanese	དངུལ་ཀྲམ
village	གཡུས
frog	སྦལཔ
sour	སྐྱུརཔོ
young	གཞོནམ
plan	འཆར་གཞི
ཟོརཝ	ཟོརཝ་དང་ཐོཝ
cat	བྱི་ལི
body	གཟུགས
rich	ཕྱུགཔོ
poor	སྤྱུང་ཀ
advice	བསླབ་བྱ
arrive	ལྷོད
dance	ཞབས་ཁྲ
skin	པགས་ཀོ
song	གླུ
storehouse	མཛོད
say	སླབ
learn	ལྷབ
fuller	ཝ་གཤོང
emphatic	ཚུ
paneer	པ་ནིར
hat	ཞྭམོ
rat	བྱི་ཙི
Cyrillic	ཆི་རི་ལི་ཚ
face	གདོང
leg	རྐངམ
Serb	སོདཔ
Serbo-Croatian	སོདབ་ཁ
Chocangaca	ཁྱོད་ཅ་ང་ཅ་ཁ
thou	ཁྱོད
Nepali	ལྷོ་མཚམས་པ
Sun	ཉིམ
diseased	ནདཔ
Nepalese	ལྷོ་མཚམས་ཁ
Arab	ཨ་རཔ
owl	འུགཔ
entire	ཧྲིལཔོ
you	ནཱ
big	སྦོམ
hey	ཛའི
gunpowder	རྫས
monkey	སྤྱ
cliff	བྱག
guest	མགྱོནམོ
box	སྒྲོམ
bag	ཕད་ཅུང
remove	བཏོན
pay	སྤྲོད
book	ཀི་ཏབ
die	ཤི
tank	ཏེངཀ
tank	དམག་འཁོར
ye	ཁྱེས
we	ང་བཅས
there	ཕར
rocket	རྫས་མདའ
heavy	ལྗིད་ཅན
small	ཆུང་ཀུ
sale	ཚོང
turquoise	གཡུ
dhole	འཕརཝ
tiger	སྟག​
ye	ནཱ་བུ
February	སྤྱི་ཟླ་གཉིས་པ
January	སྤྱི་ཟླ་དང་པ
November	སྤྱི་ཟླ་བཅུ་གཅིག་པ
barbarian	ཀླ་ཀློ
ant	གྱོག་མོ
apple	ཨེ་པཱལ
housefly	སྦྱང་ནག
ethnicity	མི་རིགས
porcupine	བྱི་ཐུར
stutter	ཁ་དིགཔ
tilt	གཡོ་བ
tilt	གཡོ་ནི
moth	ཕྱེམ་ལ་གི་རིགས་ཅིག
navel	ལྟེཝ
garden	ལྡུམ་ར
axe	སྟ་རི
blanket	མལ་ཆ
bumblebee	སྦྱངམ་པོ་ཏོམ
contortionist	བཟོ་སྒྱུར་པ
curry	ཚོདམ
dermatology	པགས་ནད་རིག་པ
almanac	ཟླ་ཐོ
arch	གཞུ་དབྱིབས་ཅནམ
bra	ཨོ་ཤུབས
sweater	ཨོམ་སོ་ཁེན་ཇ
March	སྤྱི་ཟླ་གསུམ་པ
May	སྤྱི་ཟླ་ལྔ་པ
June	སྤྱི་ཟླ་ངྲུག་པ
July	སྤྱི་ཟླ་བདུན་པ
September	སྤྱི་ཟླ་དགུ་པ
onion	སྒོགཔ
parachute	མཆོང་གདུགས
raft	པཱན་གྲུ
saw	སོག་ལེ
smallpox	འབྲུམ་ནད
waist	སྐེདཔ
yolk	སྒོང་སེར
zip	ཤེབ་ཤེབ
snake	སྦུལ
ibex	བྱག་ར
ice	འཁྱེག
headphones	ཉན་ཆས
barbaric	ཀླ་ཀློའི
impregnation	ཨ་ལུ་ཆགས་པ
kettle	ཇམ་སྦྱིས
earwax	རྣལ་པ
edit	ཞུན་དག་རྐྱབ་ནི
ethnic	གྲངས་ཉུང་མི་རིགས
flatulence	ཕྱེན
driving licence	འཁོར་ཐམ
driving licence	འགྲུལ་འཁོར་གཏང་ཆོག་པའི་ཆོག་ཐམ
wound	རྨ་སྐྱོན
wage	གླ
wage	གླ་ཆ
wage	གླ་རྔན
urine	ཆབ་གསང་བསྡུསཔ
pregnancy	མངལ་སྦྲུམ
pregnancy	མངལ་ཆགས
pregnancy	བུ་མཆེད་མའི་གནས་སྐབས
when	ནམ
walnut	སྟར་གོ
what	ག་ཅི
