hollow	lhug
lord	loard
myself	meezil
narrow	narrowe
nature	naatur
heap	muskawn
nineteen	neenteen
neighbour	nipore
name	naame
next	neeshte
north	nordh
reason	raaison
priest	priesth
plague	plaague
plough	pleough
pulse	poulee
pudding	puddeen
rascal	raskail
joy	joee
fourteen	vourteen
fifteen	vifteen
seventeen	zeventeen
fourth	vourthe
acre	aager
ache	aake
alehouse	aalhouse
themselves	aamzil
any	aany
ha	adee
afraid	aferdth
again	agyne
together	agyther
mostly	almostly
alms	alomes
they	thye
shoes	shoone
ashes	ameal
mighty	amhyne
angry	angerth
run away	astarte
eager	arkagh
bedridden	bedreede
hurley	baaree
barley	baarich
maul	balbeedhel
barm	barrm
barn	barrn
briar	brimel
buttery	budheree
brother	brover
body	buthee
working	arnaauneen
calf	callef
tremble	bebber
fresh	blooeden
frighten	booyren
face	faace
end	endeen
chuff	chugh
corn poppy	copprouse
comfort	comfoort
daily	daaily
beard	bearde
Peter	Beedher
hunt	chivie
Dennis	Deenees
dark	dhourk
thirty	dhirtee
thrush	drush
Edward	Edweard
comical	earnough
anty	emothee
fleece	flaase
gauger	gagee
gannet	gannt
garter	ghurteare
gentry	gendrize
chimney	gimlie
sunset	glaade
goat	geearth
harper	harpeare
hive	heeve
harrow	harroue
elbow	helbough
hurdle	hardhel
hardship	halpish
halfpenny	haapney
James	Jaames
Judy	Jaunaan
Joanna	Jennate
Michael	Kealeen
cough	keough
cow	keow
churn	khuingoke
cross	knaggee
hill	knaughaan
blanket	kuddan
crock	kruck
gate	kotlieough
lamb	lhawm
lark	lereke
griddle	lhauch
mischief	llean
shelter	loothee
leisure	lizure
likewise	lickweese
basket	measkeen
mouth	meouth
very	mhyne
Michaelmas	Michaulmas
mighty	michty
miller	mileare
trefoil	meelough
sorrowful	milonach
Monday	Mondei
morsel	mossaale
mower	mougheare
milk	mulke
mutton	muthon
Maurice	Mureesh
knight	nickht
Ellen	Neleen
parsnip	neape
nothing	nodhing
other	ooree
ourselves	ourzels
summer	zimmer
breast	baskeat
palm	baush
balks	baulkès
bat	cambaute
cabin	caubaun
way	caushe
come	coome
overturn	curtape
us	w'ouse
goal	baree
melancholy	lournagh
such	zitch
errand	erroane
saw	zaawe
sweal	zweal
spend	zpeen
sand	zoane
south	zouth
sigh	zough
sower	zoweare
sound	zound
yesterday	yersthei
town	teoun
measure	bandēle
limpet	barnaugh
basecourt	bawen
salmon	zamoon
beans	beanès
what	faade
tremblings	bebbereens
bellows	belooze
heifer	benagh
besmeared	besmorth
betide	beteede
bladder	blautheer
blare	blauke
fire	breal
ragwort	boouchelawn
buckle	boouchel
Billy	Billeen
firebrand	broan
wedding	weddeen
parish	parieshe
tail	tyel
butter	buthther
tremble	wourlok
vulgar	houghany
button	buththone
head	coolaan
hurly	commaun
verily	verilie
why	farthoo
seed	zeade
sign	zeene
since	zeeth
reapers	bederup
between	betweesk
potatoes	bidaades
cry	blauyke
dawn	dauneen
door	dher
dozen	dezeen
dunce	dhonal
wear	waare
drum	booraan
kettles	brandeyrons
bold	brazon
break	brocke
frighten	buoyren
birds	burdès
art	yarth
buttery	butheree
called	caulthe
Catherine	Caut
I	'cha
I	'cham
I	'chas
I	'chote
I	'chull
chips	chemis
I	'chood
churl	chourle
searched	coardhed
hole	cousane
scolding	cowdealeen
cousin	cozeen
choking	craueen
crossness	crookeen
crow	croowe
snappish	curkite
corner	curneale
quarter	curthere
pathway	cusseraane
danced	dansth
dazzled	dearnt
digging	delleen
delight	deligkt
down	deoune
thatch	detch
turnips	dhernapès
flail	dhrashel
drive	dhreeve
drowned	dhrent
thrasher	dhresheare
thunder	dhunder
dirt	dhurth
put	dieeght
blackbird	drostal
girth	drummaun
look	dwithe
evening	eatheet
island	eeeloan
