copper	ϧⲁⲗⲕⲓⲛ
cat	ⲉⲙⲟⲩ
I	ⲁⲛⲟⲕ
word	ⲥⲁϫⲓ
find	ϫⲓⲙⲓ
water	ⲙⲱⲟⲩ
chariot	ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ
river	ⲓⲁⲣⲟ
grace	ϩⲙⲟⲧ
father	ⲓⲱⲧ
brick	ⲧⲱⲃⲉ
wine	ⲏⲣⲡ
crocodile	ⲙⲥⲁϩ
eagle	ⲁϧⲱⲙ
dawn	ⲁⲧⲟⲟⲩⲓ
day	ⲉϩⲟⲟⲩ
evening	ⲣⲟⲩϩⲓ
night	ⲉϫⲱⲣϩ
pray	ϣⲗⲏⲗ
human	ⲣⲱⲙⲓ
beloved	ⲙⲉⲛⲣⲓⲧ
week	ⲁⲛϣⲁϣϥ
lord	ⲛⲏⲃ
East	ⲙⲁⲛϣⲁⲓ
West	ⲉⲙⲉⲛⲧ
teacher	ⲣⲉϥϯⲥⲃⲱ
seven	ϣⲁϣϥ
Yahweh	ⲙⲟⲟⲩ
mother	ⲙⲁⲩ
water	ⲙⲁⲟⲩ
god	ⲛⲟⲩϯ
god	ⲛⲟⲩⲧⲉ
girl	ϣⲉⲣⲓ
daughter	ϣⲉⲉⲣⲉ
husband	ϩⲉⲓ
husband	ϩⲁⲓ
wine	ⲏⲗⲡ
Egypt	ⲕⲏⲙⲉ
ice	ϫⲁϥ
ice	ϫⲁⲃ
snow	ⲭⲓⲱⲛ
coldness	ϩⲣⲟϣ
thigh	ⲁⲗⲟϫ
thigh	ⲁⲗⲟϭ
thigh	ⲙⲏⲣⲟⲥ
woman	ⲥϩⲓⲙⲉ
wife	ϩⲓⲙⲉ
mother	ⲙⲁⲁⲩ
moon	ⲓⲟϩ
moon	ⲟⲟϩ
flower	ϩⲗⲏⲣⲓ
age	ⲁϩⲓ
age	ⲁϩⲉ
island	ⲙⲟⲩⲉ
island	ⲛⲏⲥⲟⲥ
eye	ⲃⲁⲗ
eye	ⲓⲉⲣ
eye	ⲉⲓⲉⲣ
eye	ⲓⲁⲧ
eye	ⲉⲓⲁⲧ
head	ⲁⲫⲉ
head	ⲁⲡⲉ
head	ϫⲁϫ
head	ϫⲱ
head	ⲕⲁⲣⲁ
head	ⲕⲉⲫⲁⲗⲏ
shoe	ⲑⲱⲟⲩⲓ
sandal	ⲧⲟⲟⲩⲉ
north	ϧⲏⲧ
heart	ϩⲏⲧ
lion	ⲙⲟⲩⲉⲓ
lion	ⲗⲁⲃⲟ
lion	ⲃⲉⲗⲑⲱⲛ
lion	ⲗⲉⲱⲛ
ear	ⲙⲁϣϫ
ear	ⲙⲁⲁϫⲉ
king	ⲣⲣⲟ
king	ⲟⲩⲣⲟ
king	ⲃⲁⲥⲓⲗⲉⲩⲥ
come	ⲓ
hare	ⲥⲁⲣⲁϭⲱⲟⲩϣ
queen	ⲣⲣⲱ
mouth	ⲣⲟ
holy	ϩⲁⲅⲓⲟⲥ
lawless	ⲁⲛⲟⲙⲟⲥ
emperor	ⲕⲁⲓⲥⲁⲣ
