father	𐌐𐌀𐌕𐌝𐌓
new	𐌍𐌞
daughter	𐌚𐌖𐌕𐌝𐌓
man	𐌍𐌉𐌉𐌓
three	𐌕𐌓𐌝𐌔
four	𐌐𐌄𐌕𐌖𐌓𐌀
two	𐌃𐌖𐌔
water	𐌀𐌀𐌐𐌀
sharp	𐌀𐌊𐌓𐌉
show	𐌃𐌄𐌝𐌊𐌖𐌌
between	𐌀𐌍𐌕𐌄𐌓
one	𐌖𐌉𐌍𐌖𐌔
four	𐌐𐌄𐌕𐌕𐌉𐌖𐌓
alive	𐌁𐌉𐌅𐌖𐌔
and	-𐌐
give	𐌃𐌄𐌃𐌄𐌃
tooth	𐌃𐌖𐌍𐌕𐌄
soul	𐌀𐌍𐌀𐌌𐌞𐌌
if	𐌔𐌅𐌀𐌝
life	𐌁𐌉𐌉𐌕𐌀𐌌
he	𐌉𐌆𐌉𐌊
it	𐌝𐌃𐌉𐌊
more	𐌌𐌀𐌉𐌔
tongue	𐌚𐌀𐌍𐌂𐌅𐌀𐌌
tongue	𐌚𐌀𐌍𐌂𐌖𐌀
