fire	тава
water	мӯ
twenty	хори
shaman	сама
mist	tamna
fish	холто
cloud	тэвэксэ
rust	сэпту
wind	хэду
tongue	сину
dog	ӈинда
mountain	хурэ
lip	пэму
winter	тувэ
meat	ulisä
nutcracker	оӈголо
pig	орге
birch bark	талу
wolf	ӈэ̄лэ
horse	мури
axe	хо̄пу
reindeer	ула̄
river	уни
rabbit	тукса
rain	тугдэ
coat	тэтө
fishing hook	олӡига
fish	суӈдатта
winter	тувэни
north wind	тувэмӡи
spider	тэ̄нэ̄нӡи
snow	симатта
things	абду
salt	давсу
bag	хапсав
bird cherry	синэктэ
100	таӈгу
thousand	миӈга
lake	омо̄
cranberry	гакта
birch	пе̄
black birch	дувэтэ
edge	кира
sky	бо̄
long	ŋonimi
star	xosïkta
spruce	xasïkta
smell	пӯн
dirt	naŋïsa
thigh	talpï
thunder	agži
seal	koŋkori
seal	geuksa
otter	dööksö
heart	ме̄ва
spruce	waŋïta
herring	sarükkï
smell	unä
insides	xämugdä
fat	simuksä
tooth	iktä
heat	xäkku
half	kaltaa
old	sagži
old	goropči
skillful	pakči
hear	dolži-
bear	balži-
feather	däktäktä
rib	xäwčilä
girdle	ümül
child	puttä
eye	ïsal
yurt	düüküü
face	däräl
ground	päräl
tusk	sütta
needle	xulmä
good	пирика
stone	ӡоло
Japan	Се̄са
Korea	Ӷаули
