death	čam-šy-
boy	čali-
cedar	čapa·há-
blackbird	čápuk·ati-
sweathouse	čapý-j·a
water beetle	čataŋ·aŋ·a-
kingfisher	čaṭá·ṭa-
brush	čawél·-yŝa
basket	ča·majy-
sweat	ča·p-
bird	číčka-
rub	čijá·k-
stick	čikil·a-
play	čatá·t-
abalone	hás·yny-
above	líl·e-m·yˀ
acorn	watýk·a-
acorn	ˀylé-
absolutely	ˀoma·
acceptably	ˀoká·šy·-j
accompany	jú·pa-k·y-
cracker	lúp·u-
soup	nýp·a-
cricoid cartilage	tók·olo·la-
additional	héj·i-
active	hók-ŋe-
adult	ˀypé·la-
antler	kíl·i-
and	-l·i-
arm	wó·ŋotu-
afraid	šeký-ŋe
again	ˀičáˀ
ancient	hój·a·-mu-
alone	kéŋ·e-t·i-
angry	hojíč-ŋe-
ankle	kát·ala·la
ant	tisí·najy-
antelope	só·koju-
forearm	pá·čany-
underarm	ká·pusu-
arrive	hý·ja
climb	čy·m-
basket	čý·l-
cook	čý·s-
buzzard	čý·šywitna-
chief	hajá·po-
stepfather	hajˀi-
near	háj·e-t
word	liwá·-
fish	ˀé·wy-
writing	sykýˀ-ja-
quartz	hós·ok·iliwa-
rabbit	ṭós·ewe-
raccoon	pátkajy-
rain	nýk·a-
fall	walí·ŋ-
home	ˀu·ču-
eyelash	ṭypýˀla-
hair	juše-
see	šyl-ŋe-
blue jay	čóp·ata-
fly	homó·košu-
name	ˀoja·še-
wilderness	halé·-to-
spider	ˀačá·ja·ji-
look up	ˀaký·l-
leg	ho·čonu-
tarantula	hyp·yp·i-
big	ˀýṭ·y·kyta-
body	míw·eˀa-
girl	kolí-
get	sun·u-
bee	šúš·u-
white man	ˀujéˀ·ejy-
eight	káw·inṭa-
one	kéŋ·e-
two	ˀoṭí·-
three	toló·košu-
four	ˀój·is·a-
five	máš·ok·a-
six	tém·ok·a-
seven	kenék·aky-
nine	woˀé-
ten	naˀá·ča-
eleven	kéŋheṭija·ky-
thirteen	naˀá·ča- toló·košu-ˀ hej·i-ˀ
fourteen	naˀá·ča- ój·is·a-ˀ hej·i-ˀ
twelve	ˀoṭíkšake·ny-
fifteen	naˀá·ča- máš·ok·a-ˀ hej·i-ˀ
twenty	naˀ·á-
no	ˀew·yty-
yellow	ṭaṭaṭ·-i-
wolf	húŋ·u-
comb	jaṭís·a-
meadowlark	juk·ulu-
bed	ka·ma·-
tree	la·ma-
squirrel	mé·we-
growl	načá·k-
muscle	pasú·ka-
grinding stone	paṭ·a-
lettuce	palá·ṭikin·a-
woodpecker	palát·atà-
seventeen	naˀá·ča- kenék·aky-ˀ hej·i-ˀ
fifteen	naˀá·ča- máš·ok·aˀ hej·i-ˀ
sixteen	naˀá·ča- tém·ok·a-ˀ hej·i-ˀ
eighteen	naˀá·ča- káw·inṭa-ˀ hej·i-ˀ
nineteen	naˀá·ča- woˀé-ˀ hej·i-ˀ
twenty-one	naˀ·á- kéŋ·e-ˀ hej·i-ˀ
California	ṭičá·šy-
wren	šawánṭi·ṭi-
myth	ˀútne-
night	kawý·ly-
net	wajá·ka-
nest	hé·sa-
mother	ˀytá·-
clothes	ˀyká·py-
dog	čukú·-
earth	wál·i-
gather	mutá·-j-
cow	lé·čy-
how are you?	miṭip·kur
I'm fine	cutim·šum
when	uṭum
where	myn·ným
here	nedṭ
there	not·to
when	mit·tán
I am	my·ˀah
yes	guˀuh
maybe	mi·kán
I think so	uˀše·mo
I don't know	uyu·kˀuwan·kum
live oak	fa·fa
white oak	le·ka
wildcat	tolom·maˀah
untie	šu·jum
skin	ṭól·eča-
forehead	ṭóp·ele
sit	húŋ·e-
ear	ṭó·košu-
foot	háṭ·e·-
pluck	ṭupum·yufe
he	hís·ak
next	hojèˀ
brown	tatát·-i-
butterfly	hól·ok·iṭiwa-
chief	má·jyŋy-
sage	hukúˀme-
hummingbird	lí·čič·i-
shellbead	lúk·u-
person	míw·y-
onion	siwo·ja-
owl	šúk·umi-
paint	tel·a-
ugly	heceŋ·-a-
valley	py·laj-
watermelon	santija-
skillet	salten-
