goose	lala
tadpole	zambo
cat	mixi
water	reje
spider	mexe
turkey	ⱥjnⱥ
squirrel	mijñi
acorn	løjø
deer	pjantr’e
coyote	miño
banana	ranxa
city	jñiñi
Atlacomulco	Mbaro
spring	zⱥnto
bear	uxu
flower	rⱥjnⱥ
pine	tizhi
donkey	nrrekua
stone	røjø
song	to̱njo̱
fish	jmoo
century plant	guaru̷
Earth	xoñijomu̷
Night	xomu̷
fish	jmo̱o̱
Ixtlahuaca	Jyapju̷
Toluca	Zu̷mi
turkey vulture	paru̷
rebozo	mbayo
atole	t’ejme
grasshopper	t’u̷nxu̷
grasshopper	chanxa
scorpion	dyeza
butterfly	se̱pje̱
Spanish	jñangicha
