blacksmith	καϊζὰρ
flint	κασκάρα
spleen	πεϊσάχι
iron	κουρά
pit	γοῦπα
drainpipe	τζουρτάν
knife	κάτζιν
time	ταρὸς
grandfather	ἀβοῦκα
beeswax	μιραπόλ
incubus	κατσόρα
Charon	νήρια
stone	καρά
cave	κερέρ
dust	φὸς
conduit	προυχάγκι
unleavened bread	παγάρτζι
butter	καράκι
chin	μαρούκια
fight	μαρκαόνω
garden cress	κότιμο
borer	καλακόνι
pus	ταράχι
door	θίρ
woman	ναίκα
Padishah	Πατισ̌άχις
hi	σελάμι
shirt	ιμάτι
dog	σ̌κυλί
dew	σ̌άγι
