cat	mis
mountain	wits
white	sak
rabbit	chich
turkey	kolko
water	jaʼ
horse	kawu
airplane	abyon
annatto	joʼox
god	dyos
shoe	xanabʼ
bat	tsotsʼ
tapir	tsemen
guava	pataj
puma	choj
woman	ixuk
turkey vulture	ʼusej
jaguar	bʼajlam
avocado	ʼon
eagle	ʼagila
bee	chabʼ
bean	chenekʼ
lion	chojal
man	winik
bird	yal chan
tree	teʼ
skunk	paʼay
macaw	maʼ
guanabana	kʼewex
honey bee	schajnul chabʼ
grapes	tsʼusubʼ
hand	kʼabʼ
hand	kʼabʼal
down	kʼoel kʼinal
