he	son
child	päʹrnn
half	räʹdd
grass	rääʹss
wretch	räuʹǩǩ
saithe	säiʹdd
ice pick	säiʹtt
dirt	sähss
stake	säʹǧǧ
gall	säʹpp
bone	täʹhtt
spot	täʹbll
star	täʹsnn
forest	vääʹrr
persecutor	čuuʹđđ
skin	leʹšǩǩ
last	liâstt
erect	ceäggad
look	ǩiõččâd
steer	kuåccâd
come	piâssâd
run	tiârrâd
carve	viârrâd
slide	viõrrâd
suffer	ǩiõrddâd
thigh	čeʹbb
wart	čeuʹll
frost	reeʹnn
stick	reʹss
louse	teʹǩǩ
occupation	veʹrǧǧ
nose	njuuʹnn
shed	puʹvrr
aspen	suuʹpp
reindeer	šeʹšnn
flood	tuʹlvv
age	ââʹǩǩ
boy	âʹlǧǧ
sky	âʹlmm
rain	âʹbrr
skin	ââʹss
lap	âʹsǩǩ
addition	lââʹss
peat	lâuʹŋŋ
daughter-in-law	mââʹnnj
mud	mååʹđđ
bend	måʹǩǩ
egg	mââʹnn
edge	åʹrdd
breast	râʹdd
animal	rââʹtt
place	sââʹjj
blueberry	sââʹrr
violent	såʹrmm
floor	šâʹldd
tin	tâʹnn
tar	tâʹrvv
feather	tåʹlǧǧ
abomasum	tåʹǧǧ
fault	vââʹǩǩ
plenty	vâʹllj
pack	vâʹlvv
wooden	vâʹǧǧ
anger	vââʹšš
rub	kââʹǩǩed
begin	äʹlǧǧed
begin	solleed
rinse	škuʹlljeed
bark	olleed
squeak	viiǯǯeed
keep	rõsseed
leaky	âʹvveed
die	pråppeed
laugh	siineed
season	saʹlǧǧeed
rattle	škaaleed
guard	värddjed
good	pueʹrr
seasoning	salgg
rot	kuõccjed
kill	kåʹdded
fry	päʹštted
break	muʹrdded
remember	muʹštted
suck	njiimmâd
tire	livvted
fill	tiuddeed
cover	käʹtted
kill	kåddjed
roast	päʹšttjed
break	morddjed
come to mind	mošttjed
absorb	njâmmjed
tired	levvjed
full	teâuddjed
cover	kättjed
open	čåuʹdded
fill	tieuʹdded
understand	aʹddjed
clear	čiõlggeed
find	kaunnâd
visit	kõʹllʼjed
freeze	kâlmmjed
cold	kâʹlmmed
invite	kåččjed
invite	kåččad
bow	kåʹmrded
lead	laiʹddjed
add	lââʹzzted
promise	låʹppeed
permission	lååʹpp
see	vuäinnʼjed
stop	årsted
be	åårrad
escape	puåttred
rise	pâjjned
lift	pââʹjeed
break off	puåtkkned
eat	porsted
feed	poorted
eat	poorrâd
swell	pottned
scare	suõrggned
smoke	suõvsted
smoke	suõvv
need	taarbšed
follow	tueʹrreed
feel	tåbddjed
complain	vaiddled
twitter	veʹcrded
stoop	vuâllned
pine marten	nieʹtt
empire	väʹlddkåʹdd
empire	carstva
man	ooumaž
šiõǥǥ	šiõǥǥ rosttvid
translator	jåårǥlõʹtti
alphabet	alfabeʹtt
alphabetical order	alfabeʹtträidd
wave	päärr
wave	pääršâʹstted
wave	päärõõttâd
breakfast	tueʹlesveärr
morning	tueʹlääž
morning	tueʹles-
dawn	tueʹlesveiʹǧǧ
morning	tueʹlespeiʹvv
dawn	tueʹleskuâus
small hours	tueʹlesinn
