head	kui
house	ɲi
water	râk
skull	cumŋi
mirror	hinmɛk̚
eye	əmɑt̪̚
earth	mət̪ɑj
mother	t̪əʔ
finger	mut̪t̪iʔ
lid	t̪inlup
face	ciə
backside	uk̚
body	ehə
god	rijus
grandparent	cɔm
female	inkiɑnə
male	mɑjo
child	kiʔɛt̪̚
big	kɔʔ
small	kuən
moon	kəhɑj
skull	cumŋikui
spectacles	hinmɛkəmɑt̪̚
universe	kuimət̪ɑj
thumb	t̪əʔmut̪t̪iʔ
door	t̪inlupciəɲi
skin	ukehə
ankle	uklɛʔ
leg	lɛʔ
church	ɲirijus
grandmother	cɔminkiɑnə
name	liəŋ
one	hiəŋ
two	ɑ̃
