wildcat	yac
tie	pix
chest	chʼuʼ
woman	ixoj
water	aʼ
new	ac'
horizon	xe' amlica'
wing	xich'
soap	xhab'oon
creak	yaratẍun
hammer	votz'
something	vec'atẍ
inside	uul
escape	tz'ek ib'
silversmith	txetol tẍ'itẍ'
smooth	t'o'quin
smooth	t'ob'
turn	sutẍk'i
five	oova'l
much	niim
meeting	molo ib'
dimple	lotẍ'
spongy	k'uyquin
