lake	ܝܡܬܐ
elbow	ܝܨܝܠܐ
justice	ܟܐܢܘܬܐ
rock	ܟܐܦܐ
pear	ܟܘܡܬܪܐ
collection	ܟܘܢܫܐ
alchemy	ܟܝܡܝܐ
nature	ܟܝܢܐ
raft	ܟܠܟܐ
lime	ܟܠܫܐ
convocation	ܟܢܘܫܝܐ
congregation	ܟܢܘܫܬܐ
menstruation	ܟܦܣܐ
preaching	ܟܪܘܙܘܬܐ
use	ܟܪܝܣܝܣ
pelican	ܩܩܐ
uvula	ܠܒܠܒܬܐ
vapor	ܠܗܓܐ
machine	ܡܐܟܢܐ
floor	ܡܕܝܪܐ
school	ܡܕܪܫܬܐ
hanging	ܡܚܢܘܩܝܬܐ
geometrician	ܡܚܪܐ
zodiac sign	ܡܠܘܫܐ
speaking	ܡܡܠܠܘܬܐ
manna	ܡܢܢܐ
washing	ܡܥܡܘܕܝܬܐ
net	ܡܨܝܕܬܐ
foreknowledge	ܡܩܕܡܘܬܐ
must	ܡܐܪܝܬܐ
polypod	ܢܒܘܙܐ
wakening	ܢܘܚܡܐ
niter	ܢܝܛܪܘܢ
sign	ܢܝܫܐ
raven	ܢܥܒܐ
cave	ܢܩܥܐ
linen	ܣܕܘܢܐ
multitude	ܣܘܓܐܐ
need	ܣܘܢܩܢܐ
food	ܣܝܒܪܬܐ
tortoise	ܣܠܘܦܝܬܐ
navigation	ܣܦܢܘܬܐ
feast	ܥܐܕܐ
grove	ܥܒܘܢܐ
feast	ܥܕܥܐܕܐ
mouse	ܥܘܩܒܪܐ
mouse	ܥܘܩܒܪܬܐ
storm	ܥܠܥܠܐ
darkness	ܥܡܛܢܐ
breakfast	ܥܪܝܬܐ
readiness	ܥܬܝܕܘܬܐ
villager	ܦܓܐܢܐ
harmal	ܦܝܓܢܐ
error	ܦܘܕܐ
provision	ܦܘܪܢܣܐ
inn	ܦܘܬܩܐ
barley water	ܦܙܐ
fungus	ܦܛܘܪܬܐ
watermelon	ܦܛܝܚܐ
slap	ܦܟܐ
phlegm	ܦܠܓܡܐ
pepper	ܦܠܦܠܐ
plain	ܦܩܥܬܐ
bat	ܦܪܚܕܘܕܐ
soap	ܨܦܘܢܐ
dyeing	ܨܒܥܘܬܐ
meeting	ܨܘܒܐ
good	ܨܚܘܐ
illuminated	ܨܚܚܐ
time	ܩܐܪܣܐ
priority	ܩܕܡܝܘܬܐ
metal	ܩܕܣܐ
common	ܩܘܛܢܐ
praise	ܩܘܠܣܐ
nasal septum	ܩܘܥܐ
swan	ܩܘܩܢܘܣ
whale	ܩܐܛܐ
metalworking	ܩܝܢܝܘܬܐ
louse	ܩܠܡܐ
peel	ܩܠܦܬܐ
artisan	ܩܪܕܚܐ
small	ܩܪܩܘܪܐ
lung	ܪܐܬܐ
square	ܪܒܝܥܐ
mallow	ܪܘܥܢܐ
moisture	ܪܛܒܐ
mind	ܪܥܝܢܐ
winnowing fan	ܪܦܫܐ
pronunciation	ܪܬܡܐ
demon	ܫܐܕܐ
demoniac	ܫܐܕܢܐ
demoniac	ܫܐܕܢܝܬܐ
petition	ܫܘܐܠܐ
forgiveness	ܫܘܒܩܢܐ
change	ܫܘܚܠܦܐ
rust	ܫܘܚܬܐ
rectum	ܫܘܪܡܐ
pit	ܫܝܓܪܐ
cultivated	ܫܝܢܐ
light	ܫܪܓܐ
firmness	ܫܪܪܐ
silence	ܫܬܩܐ
praise	ܬܘܕܝܬܐ
nutrition	ܬܘܪܣܝܐ
wasteland	ܬܘܫܐ
brook	ܬܦܐ
narrative	ܬܫܥܝܬܐ
dust	ܐܒܩܐ
capital city	ܐܪܫܟܝܬܐ
fence	ܣܝܓܐ
assembly	ܐܓܘܢܐ
jug	ܐܓܢܐ
ܐܝܓܪܬܐ	ܐܓܪܬܐ
governor	ܩܛܐܒܢ
earth	ܐܕܡܬܐ
ear	ܐܕܢܐ
grasp	ܐܘܚܕܢܐ
food	ܐܘܟܠܐ
narrowness	ܐܘܠܨܢܐ
pubic hair	ܐܙܒܐ
nation	ܐܘܡܬܐ
gospel	ܐܘܢܓܠܝܘܢ
treasury	ܐܘܨܪܐ
ocean	ܐܘܩܝܢܘܣ
instrument	ܐܘܪܓܢܘܢ
frog	ܐܘܪܕܥܐ
road	ܐܘܪܚܐ
pen	ܐܘܪܝܐ
length	ܐܘܪܟܐ
brother	ܐܚܐ
tree	ܐܝܠܢܐ
daytime	ܐܝܡܡܐ
honor	ܐܝܩܪܐ
essence	ܐܝܬܘܬܐ
viper	ܐܟܕܢܐ
people	ܐܟܠܘܣ
fat	ܫܘܡܢܐ
buzzard	ܝܒܢܐ
denarius	ܕܝܢܪܐ
redemption	ܦܘܪܩܢܐ
money changer	ܡܥܪܦܢܐ
cave	ܡܥܪܬܐ
calf	ܥܓܠܐ
colt	ܥܝܠܐ
bandage	ܦܣܩܝܬܐ
enclosure	ܡܪܒܥܐ
tetrarch	ܛܛܪܪܟܐ
stranger	ܐܟܣܢܝܬܐ
farmer	ܐܟܪܐ
rib	ܐܠܥܐ
emir	ܐܡܝܪܐ
lamb	ܐܡܪܬܐ
tin	ܐܢܟܐ
human	ܐܢܫܐ
woman	ܐܢܬܬܐ
centurion	ܩܢܛܪܘܢܐ
Jewish	ܟܘܡܪܐ
band	ܐܣܘܪܐ
porch	ܐܣܛܘܐ
stomach	ܐܣܛܘܡܟܐ
soldier	ܐܣܛܪܛܝܘܛܐ
healer	ܐܣܝܬܐ
lecture hall	ܐܣܟܘܠܐ
form	ܐܣܟܝܡܐ
sponge	ܐܣܦܘܓܐ
nostrils	ܐܦܐ
apadana	ܐܦܕܢܐ
sheik	ܫܝܟ
caliph	ܟܠܝܦܬܐ
Ka'ba	ܟܥܒܬܐ
Qur'an	ܩܘܪܐܢ
overseer	ܐܦܝܣܩܘܦܐ
architect	ܐܪܕܝܟܠܐ
hammer	ܐܪܙܦܬܐ
lion	ܐܪܝܐ
we	ܐܢܚܢܢ
this	ܗܢܐ
this	ܗܕܐ
these	ܗܠܝܢ
tumor	ܐܪܢܒܐ
land	ܐܪܥܐ
testicle	ܐܫܟܬܐ
celestial body	ܢܓܡܐ
ebony	ܐܒܢܘܣܐ
goose	ܘܙܐ
goose	ܘܙܬܐ
hyrax	ܚܓܣܐ
tamarisk	ܒܝܢܐ
plain	ܕܫܬܐ
oasis	ܐܘܣܐ
small	ܠܘܡܐ
ܫܠܡ	ܫܠܡ ܠܟܝ ܒܬܘܠܬܐ ܡܪܝܡ
lamp	ܡܙܡܟܐ
no	ܠܐ
eat	ܐܟܠ
see	ܚܙܐ
know	ܝܕܥ
good evening	ܒܪܝܟ ܪܡܫܐ
Mesopotamia	ܒܝܬ ܢܗܪܝܢ
sign	ܐܬܐ
donkey	ܐܬܢܐ
place	ܐܬܪܐ
well	ܒܐܪܐ
pupil	ܒܒܬܐ
behemoth	ܒܗܡܘܬ
idleness	ܒܛܠܬܐ
conception	ܒܛܢܐ
egg	ܒܝܥܬܐ
evil	ܒܝܫܬܐ
prison	ܒܝܬ ܐܣܝܪܐ
library	ܒܝܬ ܐܪܟܐ
house	ܒܝܬܐ
oak	ܒܠܘܛܐ
mouthful	ܒܠܥܐ
pleasantness	ܒܣܝܡܘܬܐ
sheep	ܒܥܝܪܐ
lord	ܒܥܠܐ
enemy	ܒܥܠܕܒܒܐ
onion	ܒܨܠܐ
sawdust	ܢܣܪܬܐ
genuflection	ܒܪܟܐ
firstborn	ܒܘܟܪܐ
virgin	ܒܬܘܠܐ
virginity	ܒܬܘܠܘܬܐ
maiden	ܒܬܘܠܬܐ
exactor	ܓܒܝܐ
eyebrow	ܓܒܝܢܐ
man	ܓܒܪܐ
power	ܓܒܪܘܬܐ
rope	ܝܬܪܐ
lizard	ܝܪܠܐ
cheese	ܓܒܬܐ
hell	ܓܝܗܢܐ
inside	ܓܘܐ
nut	ܓܘܙܐ
laughter	ܓܘܚܟܐ
cape	ܓܘܠܬܐ
body	ܓܘܫܡܐ
cutting off	ܓܙܘܪܬܐ
wool	ܓܙܬܐ
nerve	ܓܝܕܐ
skin	ܓܠܕܐ
exile	ܓܠܘܬܐ
ice	ܓܠܝܕܐ
coal	ܓܡܘܪܬܐ
