shoe	áhta
flour	othèːseraʼ
wing	óweia
air	ówera
butter	owistóhseraʼ
arm	onéntshaʼ
face	okónhsaʼ
account	okáːraʼ
path	oháha
maple	wáhta
dwelling	kanónhsa
dog	érhar
fruit	káhi
bed	kanáktaʼ
Mohawk	kanien’kéha
water	ohné꞉ka'
peacekeeper	karíhton
brotherhood	atateken
and	tánon'
who	ónhka
she	akaónha
old woman	akoksténha
spoon	atókwa
wolf	okwáho
groundhog	anonhwaráweron
snapping turtle	kaniáhten
snipe	tawístawis
horned owl	tsihstékeri
snow	óniehte
