I	मैं
house	घर
newspaper	अखबार
write	लिखना
Dogri	डोगरी
one	इक
yes	आह
door	भित्त
fish	मच्छी
of	दा
and	अते
language	भाशा
mango	अम्ब
eye	अक्ख
fire	अग्ग
brick	इट्ट
wool	उन्न
thumb	ङूठा
child	ञ्याणा
anna	𑠁𑠝𑠬
mortar	उक्खली
instrumental case	कन्नै
third-person proximal pronoun	ऐह्
what	केह्
third-person distal pronoun	ओह्
tear	अत्थरूं
wool	𑠄𑠝𑠹𑠝
eye	𑠀𑠊𑠹𑠋
fire	𑠀𑠌𑠹𑠌
house	𑠍𑠤
brick	𑠂𑠔𑠹𑠔
one	𑠂𑠊
yes	𑠁𑠪
language	𑠡𑠬𑠧𑠬
mango	𑠀𑠢𑠹𑠠
pen	कान्नी
work	कम्म
tell	दस्सना
