happy	خوش
of	دا
food	خوراک
Saraiki	سرائیکی
speak	ٻولݨ
eat	کھاݨاں
in	وچ
my	میڈا
my	مینڈی
for	واسطے
learn	سکھنڑ
boy	چھوہر
girl	چھوہِر
Saraiki	ݨ
big	وݙا
three	ترائے
fast	ترکھا
woman	تریمت
useless	اجایا
otter	ادڑ
be	ہووڻ
become	تھیوڻ
drink	پیوݨ
go	ونڄڻ
you	توں
we	اساں
you all	تساں
child	ٻال
path	لانگھا
sister	بھیݨ
less	گھٹݨ
beard	ݙاڑھی
heat	تاوݨ
