jaw	yurt
cheek	wang
mallee	mali
ear	warring
gathering	ngargee
tooth	liang
neck	gurn
head	gawang
durrp	durrp-durrp
galk gawang	galk gawang
suture	ngarabul
back	nanin
durn	durn-durn
intelligence	yurlendj
lalenin gawang	lalenin gwang
hair	yarra
forehead	minyin
eye	mirn
wurr	wurr-wurra-mirrang
wurru	wurru-wurru
eyebrow	yarra mirrang
bone	galk
yit	yit-yita-mirring
tear	baa-dji mirrang
water	baañ
nose	gaang
mirring gaarn	mirring gaarn
eye	mirring
earlobe	kurnagar
yawn	yako
durt wang	durt wang
chin	ngurnduk
yarra ngurnduk	yarra ngurnduk
mouth	kandana
spittle	gagul
beard	ngarrin
tongue	djalang
uvula	doo-mak
nape	nang-ing-a-ta
throat	dhalabi-gurn
collar bone	krakerap
shoulder	bagarr
armpit	won-gu-ruk
arm	dharrak
biceps	berbert
forearm	yundap
white	ngamudji
white skinned	ngamudji-gurrk
ear	wirimbel
elbow	baluth
wrist	kravel
hand	marnang
koala	gurborra
