leone	lion
friend	padi
girl	titi
avocado	pia
water	wata
feces	kaka
who	udat
world	dunia
cassava flour	gari
know	sabi
child	pikin
trouble	wahala
meat	bif
Creole	Krio
cake	akara
hello	kushɛ
welcome	kabɔ
goodbye	a de go
goodbye	wi de go
farm hut	bafa
VIP	alagba
onion	yabas
argument	plaba
free time	alafia
condom	durɛks
family	fambul
village	fakai
jollof rice	jɔlɔf
stingy	krabit
bucket	kitul
scarlet eggplant	jakato
eggplant	kɔbɔkɔbɔ
