yawn	uwab
yawn	man-uwab
yellow	nadulaw
tube zither	kullitong
yesterday	kalabyan
year	dagun
wise	nasilib
dish	tipoy
vine	wakal
pain	sigab
wake	adog
wall	alisut
waterfall	danuma
weak	nakapsut
week	duminggu
well	gubun
when	kapiga
while	utdit
white	napolkas
wide	nanawag
wind	bayogbog
bridge	allatoy
lizard	allipap
throat	aloggoog
pomelo	alsom
harvest time	amiyan
godfather	ama si bunyag
rain cloud	aluyut
brook	aluwagit
godchild	anak si bunyag
stool	amuggawan
scorpion	ammabuy
morning star	ammigaton
group	ammung
sheet	annap
termite	anoy
snore	angguluk
cabinet	apaladul
dust	appuk
God	Apudyus
type	asibanglan
married	naasaw-an
shallow	atapaw
back	awid
jail	baballudan
belt	bakakat
old woman	bakbakot
slope	baklas
side	bakging
slope	bakkelang
intestine	bagis
small basket	baguwong
small kidney bean	bagwilas
ribbon	balangat
decorative head band	balangngubang
trap	balaybay
teenage boy	balbalu
price	banol
tired	nabannug
village	balyu
roasted green rice	balugu
chest	balukung
snail	balleleku
gold	balituk
flute	baldong
small	bang-it
ship	bapul
grasshopper	battinga
