fat	май
dog	ккаччи
udder	къар
vegetable	ахънилсри
plant	ххяххия
plant	набатат
louse	нацӏ
one	ца
water	шин
tongue	маз
ground	аьрщи
tree	мурхь
bridge	ламу
knee	ник
blood	оь
birch	кӏялагьи
white	кӏяла
wolf	барцӏ
day	кьини
nail	михь
gold	муси
silver	арцу
liver	ттиликӏ
two	кӏива
ten	ацӏва
eight	мяйва
body	чурх
brother	уссу
salt	цӏу
bone	ттаркӏ
low	лагьну
sickle	мирхь
ice	микӏ
mother	нину
tear	макь
meat	дикӏ
