dark	kara
strong	buku
skin	nana
post	lata
thick	diram
land	tur
deer	ponto
arrow	luki
gold	altan
cockroach	tarakan
pillow	tiru
die	bu-
carp	morgo
breast	ukun
water	mu꞉
beautiful	ayama
salty	wargi
terrible	kɔrɔ
five	tʊŋŋa
six	ɲuŋun
eight	dʒapkʊn
ten	dʒa꞉n
nine	yəyin
three	ɪlan
two	dʒu꞉r
similar	ŋətʃin
line	i꞉rakta
ball	tɛnbukən
hole	ultəkə
thousand	miŋga
hundred	ɲama꞉dʒɪ
empty	kəŋgugdɛ
full	dʒalʊm
old	ʃagdɪ
young	dʒalaw
new	irkəkin
morning	ərdə
late	dɪlda
age	naʃʊ
time	tʃʊlɔ꞉
alone	əmukən
fast	dɪyardʒi
slow	əlkə
day	inəŋ
evening	ʃikʃə
dawn	inərtʃə
night	dɔlbɔ
beginning	təlindun
today	ənəyi
tomorrow	tɪma꞉na
yesterday	ti꞉nəwə
year	aŋŋanɪ
month	bɛ꞉
see	itʃə-
hear	dɔ꞉ldi-
taste	amta-
shine	ʊtaldʒa꞉-
yellow	ʃɪŋarɪn
blue	ʃɪ꞉la
white	bagdarɪn
black	kɔŋnɔrɪn
red	ʊla꞉rɪn
green	tʃuturin
pinch	pʊtʃa-
feel	təmi-
calf	tukətʃən
pig	ʊlgɛn
horse	mʊrɪn
colt	ɲɔkɔn
pasture	kə꞉r
fox	sʊlakɪ
deer	kʊmaka
fish	ɔlɔ
gill	ʃɛnɲə
wolf	guykə
elephant	ʃawʊn
fin	ʃəlbɛ
scale	əkikʃə
bear	ətirkə꞉n
insect	kʊlɪkan
monkey	mɔɲɔ꞉
camel	təməkun
cat	kə꞉kə
bird	tʃinəkə
heron	tʃawtʃalɛ
goose	ɲuŋɲakɪ
rabbit	tʊkʃakɪ
eagle	igə꞉tʃən
duck	nikitʃən
nest	umuruk
bat	nəməkəldun
dove	tutuyɛ
valley	yɔpkɔn
sea	dalay
island	ʃigdəmki
calm	ɲumu
stone	dʒɔlɔ
stone	iʃɛkək
star	ɔʃɪkta
swamp	ʃiwar
rainbow	ʃə꞉run
sun	ʃiwun
sun	dɪlatʃa
sky	bʊwa
moon	bɛga
lightning	talɪɲʊ
storm	oŋko꞉
shade	aɲan
shade	ʃinmun
freeze	dɔŋɔtɔ-
darkness	ʃinko
cloud	tukʃu
ice	umukʃu
fire	tɔɣɔ
snow	ɪmana
fog	tamna
rain	tigdə
dew	ʃiləkʃə
wind	ədin
thunder	agdɪ
light	ɪla꞉n
smoke	ʃaŋŋan
wood	mɔ꞉
woods	mɔ꞉ʃa
well	kʊdɪr
dust	tɔ꞉rag
soil	tʊkala
sand	ʃirgi
mud	tilbaka
mountain	urə
plain	kumɛ
lake	amʊdʒi
lake	amʊkan
steam	ʃəbgin
ash	uləptən
embers	iltʃi
burn	dalga-
burn	dʒəgdə-
light	nul-
extinguish	ʃi꞉-
match	pitʃikə
charcoal	yɛla
person	bəyə
man	ɲɪray
woman	aʃɪ
boy	ulkəkən
young man	ɲɪrayɪkan
girl	una꞉dʒɪkan
young woman	una꞉dʒɪ
child	kɔ꞉kan
baby	nɔnɔ
husband	ətirkən
wife	atɪrkan
marry	uyumə꞉-
marry	uyə-
father	amɪn
mother	ənin
parents	amɪnənin
married	uyəpdilə
son	ulkəkan utə
daughter	aʃakan utə
child	utə
brother	akunən
older brother	akɪn
younger brother	ɲɪray nəkun
sister	əkunən
family	dʒu꞉
snake	kʊlɪn
animal	bəyiŋə
fowl	dəyi
nit	uktə
flea	ʃʊra
ant	iriktə
spider	ata꞉kɛ꞉
bee	dʒu꞉gdu
wasp	gədinəktə
house fly	dilkə꞉tʃən
midge	tʃʊkʊmʊkta
mosquito	ɲalmakta
louse	kuŋkə꞉
squirrel	urkitʃɛn
reindeer	ɔrɔn
elk	bəyun
firefly	budunə
grasshopper	ʃuʃikun
frog	ərəki
