hill	кырык
foot	ял
ear	пӹлӹш
finger	парня
spruce	кож
water	вӹд
oak	тумна
friend	тӓнг
yesterday	тенгечӹ
father	ӓтя
lake	йӓр
mud	лявӹрӓ
tongue	йӹлмӹ
mother	ӓвӓ
step	ашкедӓш
freedom	ирӹк
step	ашкыл
say	манаш
come	толаш
hare	морен
bear	мӧскӓ
good	пуры
drink	йӱӓш
cold	ӱштӹ
hair	пын
lip	тӹрвӹ
belt	ӹштӹ
ski	ечӹ
strong	виӓн
sew	ыргаш
mouth	ышма
do	ӹштӓш
live	ӹлӓш
bird cherry	ломбы
white willow	ӱэ
birch	куги
poplar	ошкы
owl	тымана
alder	лӱлпӹ
swan	йӱксӹ
pike	нужгол
grey	луды
duck	лыды
