statement	word
wizardry	sorcery
pound	ounce
Elisheba	Elizabeth
judgement	dome
head	poll
Easter	ester
obeisance	obeisaunce
sexual intercourse	swiven
torque	bye
penury	mister
hireling	officer
grace	este
unhap	unhappy
leader	dresser
gold	golden
medieval English	Chaucer
people	folk
sear	seren
will	chill
aslant	ashore
supply	moisten
eye	eyed
firewood	fagot
my	min
creator	forger
lie	lee
forgetful	oblivious
noun	-ful
kind	gracious
lascivious	gal
much	muchel
Mary	Marie
handle	hondel
anything	ought
Augustine	Austin
tendon	ligament
nice	graceful
cloud	cloudy
outside	outward
exterior	outwardly
aid	aide
appropriately	properly
shoulder	axel
counsel	reden
bloodline	parage
various span	stunt
riches	riches
cushion	bolster
glass	glas
English freeman	Franklin
help	fultum
fraud	fraudulent
bedchamber	cubicle
strings	corde
tense	tens
evil	wrongful
verb	verbe
writing	tablet
sixth	vespers
doubt	doute
sinful	vicious
safely	surely
alive	animate
wormwood	mugwort
morning	morwenyng
failing	dumb
plague	plage
amphitheatre	theater
afar	afer
else	elles
soot	sooty
rich	riche
sovereignty	rike
salmon	lax
inwards	inward
benevolent	favourable
beseech	bidden
Roman	Marte
case	cas
Roman	Vesta
vile	culvert
blue	livid
firestarters	tinder
Citrus medica	citrine
yew	ew
rupture	fissure
mother	moder
service	dirige
enclosure	croft
old	olde
pearl	perle
England	Englisch
John the Baptist	John
Roman	Mars
Sun	Sol
Hippocrates	Ypocras
metal	venus
evil	bali
steward in charge	seneschal
wood	wald
possessions	dette
die	dee
pig	hog
heap	taas
blue	inde
Middle English	zyxt
tanner	barker
fault	faute
afraid	argh
marriage	mariage
ebb	ebbe
changeable	mutable
detraction	hosp
animal	bestial
piss	pissen
frightening	eri
crafter	artificer
container	receptacle
Avena sativa	ote
state	refuge
region	contre
find	finden
start	beginnen
hopefulness	hight
own	haven
judge	juge
evil	baleful
foreign	fremde
large abscess	carbuncle
pain	penance
male	lede
life	lyf
clear	skyr
until	til
totally	sadly
afraid	frightful
taste	tasten
dangerous	violently
honourably	honestly
en masse	universally
unforgivingly	cruelly
strongly	sorely
