parrot	dodo
bathe	tüwö'jiyü
swim	jönün
blow	yaichumaa
blow	udee
jump	ajanün
dance	önwa
walk	oojoyma
walk	ii'chöödü
run	eka'tün
go	wü'töö
climb	annu'ku
descend	jü'wakaadö
exit	eja'ka
return	ennakaa
flee	öönejee
pursue	aje'ka
arrive	ö'dü
carry	adöö
bring	enejü
push	adima
road	ööma
canoe	kanowa
paddle	jeena
harbor	wö'tö
take	emjan
grasp	ahöi
give	utuudu
save	ewanakaa
survive	wööwanakanö
seek	ujiiyü
lose	önnanü'
pay	ejeema
sell	ejemajoi
through	-joi
negotiate	ötö'tijaa
negotiate	ötötija
so'to	ssoto
also	yö'jöje
beside	dü'tö
below	do'nö
high	kawö
before	owaajo
first	awa'de
serve	a'ka
among	anwa'ka
high	kawöö
sit	atajjimaa
separate	shaadamadüüje
divide	yaatojötü
low	nonojo'chö
top	akoi'cha'jüdü
bottom	nwa'köi
edge	chö'jiyu
