mecate	do
skunk	bet
nopal	bia
road	nez
gold	oro
cat	biz
cat	xid
cornfield	yel
horse	cabayw
friend	migw
jaguar	bež tigr
jaguar	tigr
puma	bež
raccoon	xbanyoj
greater roadrunner	güexib
Oaxaca	Ḻaʼ
already	bac̱h
wheel	rued
water	nis
corncob	yez
corn smut	belan
mountain	yaꞌa
den	liž
day	ža
sweet	zix̱
window	ventan
hummingbird	trošeꞌ
secretary	secretaryw
the day before yesterday	ṉase
yesterday	ṉeje
hammer	martiy
yucca	yedjo
green	yeḻaꞌ
firewood	guague
tongue	ḻožeꞌ
wound	güeꞌ
maize	xoaꞌ
agave	doaꞌ
matraca	bzon
tumpline	badaꞌ
metate	yiše
woman	noꞌole
cloud	bejw
