tongue	téxwthelh
baby	skwíkwexel
water	qó꞉
horse	stiqíw
buzzard	pé·ltʼθeʔ
raccoon	mélés
coho salmon	kwōxweth
whale	qwéles
snake	álhqey
groundhog	sqwíqw
great horned owl	chítmexw
rabbit	sqewáth
mountain goat	p'q'élqel
pheasant	tl'elqtélets
wolf	stqóye
little girl	q'áq'emi
deer	tl'elqtéle
potlatch	stl'e'áleq
seal	áshxw
porcupine	swatíya
antler	th'ístel
Jerusalem artichoke	x̱áx̱ekw’
fireweed	x̱áts’et
sturgeon	skwówech
red	qwelíyes
thimbleberry	t'qwém
potato	sqáwth
