hand	ᬳᬲ᭄ᬢ
eight	ᬅᬱ᭄ᬝ
bone	ᬅᬲ᭄ᬣ
be	ᬅᬲ᭄ᬢ
sick	ᬤᬦ
giving	ᬤᬵᬦ
wealth	ᬥᬦ
arm	ᬧᬮ
herdsman	ᬧᬵᬮ
result	ᬨᬮ
already	ᬳᬸᬯᬸᬲ᭄
speak	ᬯᬸᬯᬸᬲ᭄
salt	ᬳᬸᬓᬸ
west	ᬤᬯᬸᬄ
time	ᬥᬯᬸᬄ
broken	ᬦᬦᬵ
head	ᬦᬦ
dance	ᬦᬵᬝ
lord	ᬦᬵᬣ
taste	ᬭᬵᬲ
love	ᬭᬵᬣ
flat	ᬭᬢ
carriage	ᬭᬣ
servant	ᬤᬲᬶ
ten	ᬤᬰᬶ
hundred	ᬰᬢ
bird	ᬲᬢ
milk	ᬲᬭᬶ
flower	ᬲᬵᬭᬶ
writing	ᬰᬵᬲ᭄ᬢ᭄ᬭ
arrow	ᬲᬵᬲ᭄ᬢ᭄ᬭ
furious	ᬫᬢ᭄ᬢ
love	ᬫᬣ
gold	ᬕᭀᬭ
giant	ᬖᭀᬭ
sound	ᬲ᭄ᬯᬭ
prime	ᬰ᭄ᬯᬭ
cross-legged	ᬲᬶᬮ
conduct	ᬰᬶᬮ
stone	ᬰᬶᬮᬵ
deity	ᬲᬸᬭ
liquor	ᬲᬸᬭᬵ
brave	ᬰᬹᬭ
good	ᬰᬸᬪ
already	ᬲᬫ᭄ᬧᬸᬦ᭄
thigh	ᬧᬸᬧᬹ
result	ᬧᬸᬧᬸ
war	ᬬᬸᬤ᭄ᬥ
weapon	ᬬᬸᬥ
sibling	ᬳᬤᬶ
first	ᬆᬤᬶ
main	ᬅᬥᬶ
sickness	ᬅᬦ᭄ᬤ
egg	ᬅᬡ᭄ᬥ
blind	ᬅᬦ᭄ᬥ
ending	ᬅᬭᬶ
person	ᬦᬭ
water	ᬦᬵᬭ
king	ᬭᬚ
rain	ᬭᬵᬚ
body	ᬭᬕ
lust	ᬭᬵᬕ
demon	ᬓᬵᬮ
snare	ᬓᬮᬵ
finger	ᬓᬭ
act	ᬓᬵᬭ
girl	ᬓᬦᬵ
bracelet	ᬓᬦ
king	ᬤᬶᬧ
lamp	ᬥᬷᬧ
tooth	ᬤᬦ᭄ᬢ
soft	ᬤᬵᬦ᭄ᬢ
ten	ᬤᬰ
slave	ᬤᬵᬲ
fisherman	ᬤᬵᬰ
extra	ᬢᬭ
star	ᬢᬭᬵ
again	ᬢᬸᬃ
knee	ᬢᬹᬃ
water	ᬲᬭ
power	ᬲᬵᬭ
arrow	ᬰᬭ
battle	ᬲᬫᬭ
love	ᬲ᭄ᬫᬭ
support	ᬲᬗ᭄ᬕ
group	ᬲᬗ᭄ᬖ
son	ᬲᬸᬢ
daughter	ᬲᬸᬢᬵ
driver	ᬲᬹᬢ
sick	ᬲᬸᬮ
weapon	ᬰᬹᬮ
clean	ᬰᭀᬘ
gem	ᬲᭀᬘ
one	ᬲᬶᬓᬶ
peacock	ᬰᬶᬓᬶ
his	ᬲ᭄ᬯ
dog	ᬰ᭄ᬯ
pillar	ᬲᬓ
Shaka	ᬰᬓ
branch	ᬰᬵᬓᬵ
who	ᬲᬧ
curse	ᬰᬧ
weight	ᬲᬭᬢ᭄
spring	ᬰᬭᬢ᭄
wound	ᬲᬶᬤ
accomplished	ᬲᬶᬤ᭄ᬥ
trunk	ᬯᬢᬂ
cause	ᬯᬵᬢᬂ
superior	ᬯᬭ
day	ᬯᬵᬭ
present	ᬯ᭄ᬯᬭ
widow	ᬯᬮᬸ
pumpkin	ᬯᬮᬹ
power	ᬯᬰ
staying	ᬯᬵᬲ
new	ᬫᬭ
danger	ᬫᬵᬭ
soon	ᬫᭀᬖ
finally	ᬫᭀᬖᬵ
human	ᬫᬵᬦᬯ
if	ᬫᬦᬯ
supernatural	ᬫᬵᬬ
shadow	ᬫᬵᬬᬵ
cloud	ᬖᬦ
song	ᬕᬵᬦ
count	ᬕᬡ
sky	ᬕᬦ
field	ᬕᬕ
crow	ᬕᬵᬕᬵ
gone	ᬕᬢ
pot	ᬖᬝ
army	ᬧᬢ᭄ᬢᬶ
wealth	ᬅᬃᬣ
mountainward	ᬓᬚ
traditional	ᬉᬱᬥ
fort	ᬓᬹᬝ
father	ᬩᬧ
inheritance	ᬅᬗ᭄ᬰ
Tuesday	ᬅᬗ᭄ᬕᬭ
water	ᬢᭀᬬ
graveyard	ᬲᬾᬢ᭄ᬭ
know	ᬢᬳᬸ
east	ᬓᬗᬶᬦ᭄
where	ᬓᬶᬚ
statue	ᬢᭀᬕᭀᬕ᭄
statue	ᬅᬃᬘᬵ
pig	ᬘᬾᬮᬾᬂ
secondary	ᬫᬶᬢ᭄ᬭ
different	ᬩᬾᬤ
water	ᬩᬜᬸ
cultural	ᬩᭂᬦ᭄ᬤᬾᬰ
descendant	ᬲᭂᬦ᭄ᬢᬦ
sea	pasih
family	ᬓᬸᬮᬯᬃᬕ
Bali	ᬩᬮᬶ
bow	sembah
dickhead	naskleng
padang	ᬧᬤᬂ
oppose	tungkas
stone	ᬯᬢᬸ
stone	ᬩᬢᬸ
rib	ᬳᬶᬕ
king	ᬪᬹᬧᬢᬶ
ripen	nasak
top	tungtung
male	muani
leaf	ᬤᭀᬦ᭄
climb	munggah
dark	peteng
finger	jriji
do	gaé
fly	miber
head	endas
bat	lawah
bite	gutgut
thunder	grudug
love	ᬢᬺᬱ᭄ᬡ
sea	ᬲᬵᬕᬭ
town	ᬦᭂᬕᬭ
religion	ᬆᬕᬫ
student	ᬲᬶᬲ᭄ᬬ
best	ᬲᬵᬥᬸ
rule	ᬆᬘᬵᬭ
medicine	uṣadha
thinking	ᬇᬥᭂᬧ᭄
one	ᬏᬓ
northeast	ᬐᬃᬱᬡ᭄ᬬ
bead	ᬫᬡᬷᬓ᭄
south	ᬤᬓ᭄ᬱᬶᬡ
able	ᬰᬓ᭄ᬢᬶ
happy	ᬪᬵᬕ᭄ᬬ
basket	ᬯᬓᬸᬮ᭄
gang	ᬕᬂ
pura	ᬧᬸᬭ
puri	ᬧᬸᬭᬶ
farmer	ᬣᬦᬶ
song	ᬕᬷᬢ
footwear	ᬧᬵᬤᬸᬓ
kruna	ᬓ᭄ᬭᬸᬦ
moon	ᬰᬰᬶ
gedé	ᬕᭂᬤᬾ
balian	ᬩᬮ᭄ᬬᬦ᭄
bone	ᬩᬮᬸᬂ
teka	ᬢᭂᬓ
tulang	ᬢᬸᬮᬂ
jatma	ᬚᬤ᭄ᬫ
gedong	ᬕᭂᬤᭀᬂ
bale	ᬩᬮᬾ
kayangan	ᬓᬬᬗᬦ᭄
young	nguda
sarira	ᬰᬭᬷᬭ
bathe	mandus
saksi	ᬲᬵᬓ᭄ᬱᬷ
marriage	ᬯᬶᬯᬵᬳ
full moon	ᬧᬹᬃᬡᬫ
moon	ᬲᬲᬶᬄ
sun	ᬲᬹᬃᬬ
moon	ᬘᬦ᭄ᬤ᭄ᬭ
warsa	ᬯᬃᬱ
ceremony	ᬉᬧᬘᬵᬭ
letter	ᬅᬓ᭄ᬱᬭ
priest	ᬧᬡ᭄ᬟᬶᬢ
