die	fa
weevil	imbovane
small piece	intshontsho
female finch	intaka
letter	incwadi
swollen cheek	isidlele
forehead	ibunzi
conversation	ixoxo
gift	isipho
here	lapha
there	lapho
over there	laphaya
wide	banzi
black	nzima
short	fuphi
vomit	phalaza
blow	vunguza
breathe	phefumula
laugh	hleka
hear	zwa
think	cabanga
fear	esaba
kill	bulala
roam	zingela
hit	shaya
imitate	lingisa
cut off	nquma
tear	dabula
stab	gwaza
scratch	klwebha
bathe	bhukuda
fly	ndiza
lie down	cambalala
live	hlala
change	guquka
turn	phenduka
cut	gunda
chair	isihlalo
hat	isigqoko
goat	imbuzi
ignite	shisa
weed	imbuya
steal	eba
many	ningi
close	vimba
strip	qaqa
stray	eduka
begin	qala
shine	balela
oh my	hawu
shave	phuca
hurry	jaha
very old	daladala
rooster	iqhude
chat	xoxa
polecat	iqaqa
sink	shona
cold	amakhaza
cooking	ukupheka
peace	ukuthula
quiet	thula
change	ukuphenduka
paint	upende
room	igumbi
nyala	inyala
mud	udaka
son	indodana
deep	jula
hate	zonda
cover	cika
jump over	eqa
spear	umkhonto
sheep	imvu
hour	ihawa
with	nga-
come	phuma
do	enza
where	-phi
rejoice	jabula
home	ikhaya
east	impumalanga
west	intshonalanga
north	inyakatho
south	iningizimu
cook	pheka
God	uMenzi
flour	impuphu
blanket	ingubo
well	umthombo
cow	inkomo
car	inqola
young man	insizwa
girl	intombi
clay pot	ukhamba
ox	inkabi
eldest son	inkosana
five	hlanu
good	hle
how many	ngaki
tiny	nci
very tiny	ncinyane
three	thathu
piece	isibi
badness	ububi
oldness	ubudala
fifth	isihlanu
fourth	isine
third	isithathu
goodness	ubuhle
aardwolf	isinci
majority	iningi
large amount	ubuningi
unity	ubunye
newness	ubusha
female	isifazane
width	ububanzi
better	ngcono
improvement	ubungcono
sincere	qatha
chunk	iqatha
honest	qotho
honesty	ubuqotho
powder	umqotho
red ochre	ibomvu
red soil	isibomvu
red soil	ubomvu
red	ububomvu
sore	buhlungu
pain	ubuhlungu
poison	isihlungu
sharp	bukhali
sharpness	ubukhali
weapon	isikhali
curry	ukhali
blunt	buthuntu
bluntness	ubuthuntu
brother-in-law	umlamu
grandchild	umzukulu
genet	insimba
iron	insimbi
termite	umuhlwa
animal hair	uboya
bushbuck	imbabala
speckle	ibala
outdoors	ubala
assertion	imbala
love	thandana
buy	thenga
sell	thengisa
see for	bonela
see	bonana
see	bonisa
begin	qalisa
begin	qaleka
likeable	thandeka
hit	shaywa
construct	akhiwa
build	akha
calculator	isibali
rib	ubambo
carry	beletha
hit	betha
plant	tshala
cook	imbiza
cross-cousin	umzala
penis	ubolo
ridge	umbombo
ridge	imbombo
mountain ridge	ubombo
bind	bopha
pottery clay	ibumba
buttocks	isibunu
ask	buza
spark	inhlansi
wash	hlamba
wash	geza
meet	hlangana
laughter	uhleko
sift	hlenga
plant	isitshalo
germ	igciwane
parent	umzali
thief	isebi
theft	umebo
broth	umhluzi
dark	hlwa
darkness	ukuhlwa
draw	kha
bring	letha
pool	isiziba
ogre	izimu
cannibalism	ubuzimu
body	umzimba
wound	isilonda
Swazi	isiSwazi
English	isiNgisi
Afrikaans	isiBhunu
Sotho	isiSuthu
Northern Sotho	isiSuthu sasenyakatho
Southern Ndebele	isiNdebele
Tsonga	isiTsonga
Tswana	isiTshwana
Venda	isiVenda
Shona	isiShona
Swahili	isiSwahili
Arabic	isi-Alabhu
German	isiJalimani
Dutch	isiHolandi
Hindi	isiHindi
Portuguese	isiPutukezi
Hebrew	isiHebheru
French	isiFulentshi
Spanish	isiSpeyini
Nguni	isiNguni
region	isifunda
province	isifundazwe
homestead	umuzi
crocodile	ingwenya
pig	ingulube
famine	indlala
pile	izala
buffalo	inyathi
January	uJanuwari
January	uMasingana
February	uFebruwari
February	uNhlolanja
March	uMashi
March	uNdasa
April	u-Ephreli
April	uMbaso
May	uMeyi
May	uNhlaba
June	uJuni
June	uNhlangula
July	uJulayi
July	uMaquba
July	uNtulikazi
August	u-Agasti
August	uNcwaba
September	uSepthemba
September	uMandulo
October	u-Okthoba
October	uMfumfu
November	uNovemba
November	uLwezi
December	uDisemba
December	uZibandlela
delicious	mnandi
write	bhala
write	bhalela
choose	khetha
look	bheka
rest	lalela
look	bhekana
dress	gqoka
work	sebenza
approach	sondela
run away	baleka
run	gijima
chest	isifuba
catch	bhabha
volcano	intabamlilo
cellphone	umakhalekhukhwini
space ship	umkhumbimkhathi
ship	umkhumbi
space	umkhathi
television	umabonakude
compound	uma-
cry	khala
pocket	ikhukhu
wire	ucingo
cellphone	iselula
phone	fowuna
phone	fowunela
bus	ibhasi
roof	uphahla
hoof	isondo
heat	ukushisa
flirt	shela
friend	umngane
hoe	igeja
axe	imbazo
time	isikhathi
man	ikhehla
wall	udonga
iron pot	ibhodwe
bead	ubuhlalu
bag	isikhwama
place	isikhundla
bull	inkunzi
field	insimu
fold	isibaya
warrior	iqhawe
place	indawo
horse	ihhashi
calabash	igula
calabash	isigubhu
tear	unyembezi
employee	isisebenzi
ground	umhlabathi
walking stick	udondolo
young girl	intombazane
clothes moth	imvemvane
voice	izwi
fellow	umufo
die down	lotha
Englishman	iNgisi
Nguni	umNguni
encircle	phahla
pulverise	qotha
Swazi	iSwazi
pour	thela
Tswana	umTshwana
Zulu clan name	uZulu
small boy	umfanyana
time	inkathi
little time	isikhashana
whale	umkhomo
female whale	umkhomazi
small goat	imbuzana
female goat	imbuzikazi
small cat	ikatshana
cow	insizwakazi
small head	ikhanjana
species	ulwezi
start cultivating	andula
pass by	quba
small species	inhlaba
pierce	hlaba
rest	phumula
paunch	ufu
roam	zinga
black ox	inzima
weight	isinzima
computer	ikhompyutha
teach	fundisa
breed	fuya
spoon	isipunu
rich person	isicebi
shine	khanya
light	ukukhanya
money	imali
alcohol	utshwala
portion	isabelo
apportion	abela
share	umabelo
apportion	umabi
distribution	umabo
private matter	izabulo
bunch	isala
surplus	isanda
strength	amandla
hammer	isando
palm	isandu
lies	amanga
increase	andisa
help	siza
shrivelled	inenevu
shrivelled burn scar	inenevana
story	inganeko
bullock	inkunzana
hunter	umzingeli
gun	isibhamu
grandmother	ugogo
grandparent	umkhulu
doctor	udokotela
jersey	ijezi
bread	isinkwa
piece	ukhuni
hard	lukhuni
death	ukufa
speak	khuluma
throw away	lahla
carry	thwala
shuffle	cathula
sandal	isicathulo
maize	ummbila
marula	umganu
marula fruit	iganu
forearm	umkhono
darkness	umnyama
open	vulwa
open	vuleka
open	vuliwe
open	vulekile
status	ubukhosazana
status	ubukhosikazi
my	ubabekazi
ewe	imvukazi
young widow	idikazi
female elephant	indlovukazi
daughter	indodakazi
widow	umfelokazi
stranger	umfokazi
insignificant stranger	umfokazana
ox	isigedla
cow	isigedlekazi
stone	igoqo
cow	ingoqokazi
light brown cow	inhlamvukazi
white beast	umhlophe
white cow	umhlophekazi
myrtle	umhlukazi
favourite wife	injingwenikazi
favourite wife	injolikazi
wife	umukhwe
wife	umkhwekazi
newlywed wife	umlobokazi
loiterer	umafikazisina
old bullock	umalukazi
I love you	ngiyakuthanda
brick	isitini
bar	ibha
defect	isici
short person	isichwe
line	umudwa
right hand	isidla
left hand	isinxele
lefthanded person	inxele
left side	ukunxele
left-hand side	ubunxele
meal	isidlo
dead person	umufi
disease	isifo
nickname	isiga
long gash	umuga
water edge	ugu
line	umunqa
sound	isigqi
dig	ugxa
very early morning	ukwi
large	iklwa
fragrance	amakha
native knife	umukhwa
fight	ukulwa
fighter	isilwi
bunch	isihla
row	uhla
row	uhlu
standing	ukuma
state	isimo
feature	umumo
digger	umumbi
enmity	ubumpi
rainfall	ukuna
finger	umunwe
cunning	ubungqa
full stop	ungqi
cunning	ubungqo
policeman	ungqo
dirt	ingxi
bushbaby	isinkwe
vulture	inqe
buttocks	isinqe
thrush	umunswi
ostrich	intshe
when	inxa
cruelty	unya
bladder	isinye
sourness	umunyu
onion	u-anyanisi
bodice	ubhadi
haversack	ubhaka
wheelbarrow	ibhala
banana	ubhanana
basket	ubhasikidi
Bible	iBhayibheli
bicycle	ibhayisikili
cinema	ibhayisikobho
bed	umbhede
hospital	isibhedlela
basin	ubheseni
bench	ibhentshi
box	ibhokisi
ball	ibhola
bomb	ibhomu
book	ibhuku
breakfast	ibhulakufesi
brake	ibhuleki
desk	idesiki
demon	idimoni
basin	indishi
rubbish	udoti
fork	imfologo
photograph	ifotho
French	iFulentshi
garden	ingadi
guard	ugadi
golf	igalofu
gum tree	ugamthilini
granadilla	uganandela
kettle	igedlela
coal gas	ugesi
grape	igilebhisi
glove	igilavu
goal	igoli
gold	igolide
spirit	ugologo
harp	uhabhu
harrow	ihhala
half	uhhafu
wharf	ihhofu
hall	ihholo
hotel	ihhotela
office	ihhovisi
holiday	iholide
judge	ijaji
jam	ujamu
Jehovah	uJehova
jail	ijele
Jesus	uJesu
ginger	ujinja
join	joyina
juice	ujusi
camel	ikamela
case	ikesi
cupboard	ikhabethe
cardinal	ukhadinale
calendar	ikhalenda
customer	ikhasimende
cake	ikhekhe
cage	ikheji
address	ikheli
curtain	ikhethini
kitchen	ikhishi
great-grandparent	ukoko
concrete	ukhonkolo
concert	ikhonsathi
cucumber	ikhukhamba
class	ikilasi
clock	ikilogo
cabbage	iklabishi
school	isikole
cotton	ukotini
lunch	ilantshi
licence	ilayisense
rice	ilayisi
slate	isileti
lettuce	uletisi
lorry	iloli
corner	ikhona
diminutive	isinciphiso
what time is it	sithini isikhathi
