Sherpa	ཤར་བ
testicle	རླིག་རིལ
house	ཁང་པ
meat	ཤ
meat	གསོལ་དཀྲུམ
goat	ར
pig	ཕག་པ
cloud	སྤྲིན་པ
lock	སྒོ་ལྕགས
hangover	ཆང་ནད
thank you	ཐུགས་རྗེ་ཆེ
year	ལོ
friend	མཛའ་བཤེས
and	དང
frog	སྦལ་པ
see	མཐོང
see	གཟིགས
window	སྒེ་ཁུང
strong	ཤུགས་ཆེན་པོ
door	ཤེས་སྒོ
mirror	མེ་ལོང
study	སློབ
very	ཞེ་དྲགས
onion	ཙོང
hundred	བརྒྱ
twenty	ཉི་ཤུ
tongue	ལྗགས
tongue	ལྕེ
near	ཉེ་བ
last year	ན་ནིང
old	རྙིང
horse	རྨང
nose	སྣ
heaviness	ལྗིད་པ
shoulder	ཕྲག་པ
upper arm	ཕྲག་གོང
pastureland	གསིང་མ
feel	སྙམ
seeing	གཟིགས་པ
seeing	ལྟ་བ
divide	བགོད
lead	འཁྲིད
keep	ཉར
accomplish	འགྲུབ
wear	གྱོན
suck	འཇིབ
crawl	གོག
throw	འདེབས
writing	འབྲི་བ
transform	སྒྱུར
neck	མགྲིན་པ
send	སྤྲིང
cloud	སྤྲིན
thunder	འབྲུག་སྐད་རྒྱག
complete	སྒྲུབ
honey	སྦྲང་རྩི
continuous	བརྒྱུད་བརྒྱུགས
silver	དངུལ
finance	དངུལ་རྩིས
calculation	རྩིས
masses	མང་ཚོགས
bank	དངུལ་ཁང
tribute	དཔྱ་ཁྲལ
government	སྲིད་གཞུང
communism	དམར་པོའི་རིང་ལུགས
communism	གུང་ཁྲན་རིང་ལུགས
doctrine	རིང་ལུགས
socialism	སྤྱི་ཚོགས་རིང་ལུགས
paper	ཤོག་བུ
capitalism	མ་རྩའི་རིང་ལུགས
correspondence	འཕྲིན
telephone	ཁ་པར
do	མཛད
consciousness	རྣམ་ཤེས
effort	བརྩོན་འགྲུས
diamond	རྡོ་རྗེ
People's Republic of China	ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ
country	རྒྱལ་ཁབ
people	མི་དམངས
republic	སྤྱི་མཐུན་རྒྱལ་ཁབ
populace	དམངས
receive	ལེན
meaningless	ཆོ་མེད
love	བརྩེ་བ
affectionate	མཛའ་བརྩེ
friendly	མཛའ་བ
put in	འཛུད
table	ལྕོག་ཙེ
thunderbolt	གནམ་ལྕགས
hand	ཕྱག
hunting	ལིངས
editing	རྩོམ་སྒྲིག
prepare	སྒྲིག
begin	རྩོམ
ginger	སྒ
we	ང་ཚོ
dust	ཐལ་བ
daughter	སྲས་མོ
daughter	བུ་མོ
Her Majesty	ལྷ་གཅིག
son	སྲས
sign	བརྡ
weeper	ཁྲབ་ཁྲབ
go	འགྲོ
come	འོང
ford	རྒལ
weep	ངུ
bless	རློབ
lung	གློ་བ
wind	ལྷགས་པ
wave	རྦ
thigh	བརླ
colour	མདོག
noun	མིང་ཚིག
verb	བྱ་ཚིག
adjective	རྒྱན་ཚིག
ornamented	རྒྱན་སྤྲས
wave	རྦ་རླབས
air	མཁའ་འགྲུལ
autonomous	རང་སྐྱོང་ལྗོངས
autonomy	རང་སྐྱོང
Tibet Autonomous Region	བོད་རང་སྐྱོང་ལྗོངས
large	ལྗོངས
you	རང
keeping	སྐྱོང་བ
fish	ཉ་ཤ
meat	ཀྲུམས
profit	ཁེ
list	ཐོ
tooth	སོ
suffering	སྡུག་བསྔལ
eight	སྡུག་བསྔལ་བརྒྱད
sea	རྒྱ་མཚོ
big	ཆེན་པོ
small	ཆུང་ངུ
great	རླབས་ཆེན
wave	རླབས
steam	རླངས་པ
rabbit	རི་བོང
bee	བུང་བ
fly	སྦྲང་བུ
song	གཞས
lion	སེངྒེ
deer	ཤ་བ
donkey	བོང་བུ
knowledge	ཤེས་བྱ
know	ཤེས
kind	རིགས
culture	རིག་གཞུང
language	སྐད
talking	སྨྲ་བརྗོད
say	རྗོད
say	སྨྲ
sit	སྡོད
examine	རྟོག
appear	སྤྲུལ
house	ཁྱིམ
family	ཁྱིམ་རྒྱུད
Ü-Tsang	དབུས་གཙང
ear wax	རྣ་སྤབས
build	རྩིག
goitre	ལྦ་བ
bubble	ལྦུ་བ
skin	ལྤགས་པ
alarm	བརྡ་དཀྲོག
biology	སྐྱེ་དངོས་རིག་པ
royal	རྒྱལ་རབས
environment	སྣོད་བཅུད
translation	སྒྲ་སྒྱུར
iron	ལྕགས་མདའ
good morning	སྔ་དྲོ་བདེ་ལེགས
soccer	རྐང་རྩེད་སྤོ་ལོ
geshe	དགེ་བཤེས
camel	རྔ་མོང
aircraft	གནམ་གྲུ
Burma	བྷར་མ
king	འབྲུག་རྒྱལ་པོ
strong	བཙན་པོ
key	ལྡེ་མིག
island	མཚོ་གླིང
island	གླིང་ཕྲན
caterpillar fungus	དབྱར་རྩྭ་དགུན་འབུ
goose	ངང་པ
tukdam	ཐུགས་དམ
rainbow	འཇའ
merit field	ཚོགས་ཞིང
religion	ཆོས་ལུགས
faith	དད་པ
festival	དུས་ཆེན
temple	ལྷ་ཁང
first	དང་པོ
washing machine	འཁྲུ་འཁོར
refrigerator	འཁྱགས་སྒམ
machine	འཕྲུལ་འཁོར
spoon	ཁེམ་བུ
temperature	དྲོ་ཚད
temperature	དྲོ་གྲང
low	དམན་པ
sugar	ཀར
sugar	ཁར
January	ཟླ་དང་པོ
sad	སྐྱོ་པོ
water	ཆུ
new year	ལོ་གསར
face	གདོང་པ
གཟའ	གཟའ་ཟླ་བ
གཟའ	གཟའ་མིག་དམར
གཟའ	གཟའ་ལྷག་པ
གཟའ	གཟའ་ཕུར་བུ
གཟའ	གཟའ་པ་སངས
གཟའ	གཟའ་སྤེན་པ
གཟའ	གཟའ་ཉི་མ
planet	གཟའ
dry	གླིང
Sikkim	འབྲས་ལྗོངས
place	ཡུལ
England	དབྱིན་ཡུལ
flower	མེ་ཏོག
politics	ཆབ་སྲིད
intermediate	བར་དོ
song	གླུ་དབྱངས
morning	སྔ་དྲོ
butterfly	ཕྱེ་མ་ལེབ
Tibetan	བོད་ཇ
hand	ལག་པ
bowl	ཟོ་བ
Qomolangma	ཇོ་མོ་གླང་མ
commemoration	རྗེས་དྲན
society	སྤྱི་ཚོགས
communist	གུང་ཁྲན་ཏང
television	བརྙན་འཕྲིན
tomato	ཀྲོ་མ་ཀྲུ
Avalokiteshvara	སྤྱན་རས་གཟིགས
teaching	སློབ་ཁྲིད
school	སློབ་གྲྭ
teacher	དགེ་རྒན
student	སློབ་ཕྲུག
news	གསར་འགྱུར
umbrella	གདུགས
disease	ནད
hospital	སྨན་ཁང
drug	སྨན
བཀྲ་ཤིས	བཀྲ་ཤིས་བདེ་ལེགས
good	བཀྲ་ཤིས
owl	འུག་པ
demonstrative pronoun	དེ་སྒྲ
follower	རྗེས་འཇུག
དབྱིན་ཇི	དབྱིན་ཇིའི་སྐད
read	ཀློག
dinosaur	གཏུམ་འབྲུག
Tibet	བོད་ཡུལ
whole	ཙངས་པ
tortoise	རུས་སྦལ
mouth	ཁ
pair	ཆ
elephant	གླང་ཆེན
servant	འབངས་འཁོར
subject	མངའ་འབངས
serf	མངའ་ཞབས
serf	བྲན་གཡོག
serf	བྲན
serf	དུད་ཆང
slavery	བཀོལ་སྤྱོད
slavery	བཀོལ་གཅོད
wing	གཤོག་པ
know	རིག
hybrid	མཛོ
ཕའི་ཆིའུ	ཕའི་ཆིའུ་སྤོ་ལོ
gangrene	འདྲུལ་བ
crow	ཀ་ཀ
billion	ཐེར་འབུམ
hundred thousand	འབུམ
lion	སེང་གེ
7	༱
archaic	བརྡ་རྙིང
Lhasa	ལྷ་ས་བ
word	ཚིག
bliss	བདེ་ལེགས
tear	མིག་ཆུ
thief	རྐུན་པོ
thief	རྐུན་མ
steal	རྐུ
east	ཤར
thinking	སེམས་པ
fan	རླུང་གཡབ
lineage	རིགས་རྒྱུད
birthday	འཁྲུངས་སྐར
brain	ཀླད་པ
constituent	ཁམས
forest	ནགས
elixir	ཚེ་ཆུ
life	ཚེ་སྲོག
life	སྲོག
middle	དབུས
station	འབབ་ཚུགས
transport	འགྲིམ་འགྲུལ
alcohol	ཨ་རག
tea	ཇ་ལོ
swim	རྐྱལ་རྒྱག
teapot	ཁོག་ལྡིར
butter tea	ཇ་སྲུབ་མ
liquor	རག་ཤི
Tibetan script	བོད་ཡིག
bhikkhu	དགེ་སློང
volume	པོ་ཏི
Dalai Lama	པོ་ཏ་ལ
dramyin	སྒྲ་སྙན
pronunciation	སྒྲ་གདངས
གཞིས་ཀ	གཞིས་ཀ་རྩེ
crematorium	པུར་ཁང
dharma	ཆོས་རྒྱལ
shine	གཟི
lineage	རབས
precious	རིན་པོ་ཆེ
Buddhism	ནང་བསྟན
conqueror	རྒྱལ་བ
wisdom	ཡེ་ཤེས
wool	བལ
Nepali	བལ་སྐད
Nepali	བལ་པོ
brush	ཤད
mind	བློ
autumn	སྟོན་ཀ
thangka	ཐང་ཀ
Tibetan	པི་ཝང
barley	ཆང
Bon	བོན
Buddhist	གཏེར་སྟོན
classical	ཆོས་སྐད
treasure	གཏེར་མ
Mandarin	རྒྱ་སྐད
tea	མདོང་མོ
practitioner	བོན་པོ
Tibetan	བོད་པ
gun	མེ་མདའ
arrow	མདའ
nomad	འབྲོག་པ
highland	འབྲོག
a	ཅིག
mouse	ཙི་ཙི
America	ཨ་རི
Englishman	དབྱིན་ཇི
adherent	བསྟན་འཛིན
hour	ཆུ་ཚོད
boat	གྲུ
high	གངས་རི
གངས	གངས་རིན་པོ་ཆེ
གངས་ཆེན	གངས་ཆེན་མཛོད་ལྔ
Tibetan	བོད་མི
Han	རྒྱ་མི
thigh	བརླ་ཤ
Britain	དབྱིན་གོ
come	ཡོང
alive	གསོན་པོ
food	ཟས
fruit	ཤིང་འབྲས
woodcarving	ཤིང་བརྐོས
plant	རྩི་ཤིང
bottle	ཤེལ་དམ
medical	ཨེམ་ཆི
restaurant	ཟ་ཁང
airport	གནམ་གྲུ་ཐང
bicycle	རྐང་འཁོར
parent	ཕ་མ
train	མེ་འཁོར
snail	སྨུག་འབུ
coffee	ཁོ་ཕི
lizard	རྩངས་པ
beer	སྦི་རག
wife	སྐྱེ་དམན
husband	ཁྱོ་ག
term of address	ཨ་མ
father	པ་ཕ
mother	ཨ་མ་ལགས
father	ཕ་ལགས
son	བུ
linguistics	སྐད་བརྡ་རིག་པ
cat	ཞི་མི
monk	གྲྭ་པ
bell	དྲིལ་བུ
walk	གོམ་པ་རྒྱག
blackboard	ནག་པང
vowel	གི་གུ
vowel	ཞབས་ཀྱུ
vowel	ན་རོ
vowel	འགྲེང་བུ
Buddhist	ནང་པ
འབྲས་ལྗོངས	འབྲས་ལྗོངས་པ
newspaper	ཚག་པར
Bhutanese	འབྲུག་པ
Dzongkha	འབྲུག་སྐད
pen	སྨྱུག་གུ
pencil	ཞ་སྨྱུག
cook	མ་བྱན
magazine	བརྙན་པར
layman	མི་སྐུ
chair	རྐུབ་ཀྱག
motorcycle	མོ་ཐོ
motorcycle	སྦག་སྦག
door	སྒོ
medicinal	སྨན་ཁྲོག
box	སྒམ
book	དེབ
press	པར་ཁང
chief	ནོ་ཡོན
bamboo	སྨྱུག་མ
bedroom	ཉལ་ཁང
bridge	ཟམ་པ
common cold	ཆམས་པ
prayer flag	དར་ལྕོག
folk religion	མི་ཆོས
sacred	ལྷ་ཆོས
zero	ཀླད་ཀོར
treasure	རིན་ཆེན
then	ནས
block	དབུ་ཅན
cursive	དབུ་མེད
head	དབུ
food	ལྟོ
mouth	ཞལ
name	མཚན
rhetoric	མངོན་བརྗོད
garlic	སྒོག་པ
ear	སྙན
neck	མགུལ
farmer	ཞིང་པ
sock	ཨོ་མོ་སུ
chopstick	ཁོ་ཙེ
དབང་པོ	རྣ་བའི་དབང་པོ
dharma	ཆོས་འཁོར
sangha	དགེ་འདུན
vulture	བྱ་རྒོད
chicken	བྱ་དེ
collect	སྡུད
evil	ངན་པ
monastery	དགོན་པ
khenpo	མཁན་པོ
animated	རོ་ལངས
ape	མི་རྒོད
cow	བ་ཕྱུགས
shirt	སྟོད་ཐུང
pants	གོས་ཐུང
today	ད་རིང
teahouse	ཇ་ཁང
lamp	ཞུ་མར
flag	དར་ཆ
holiday	གུང་གསེང
electric	གློག་ཞུ
red	དམར་པོ
blue	སྔོན་པོ
green	ལྗང་ཁུ
yellow	སེར་པོ
various	སྣ་མིན་སྣ་ཚོགས
old	རྙིང་པ
fresh	སོས་པ
good	ཡག་པོ
small	ཆུང་ཆུང
རྒྱ	རྒྱ་ཆེན་པོ
long	རིང་པོ
what	ག་རེ
where	ག་པར
whence	ག་ནས
who	སུ
who	སུ་སུ
alphabet	ཀ་ཁ
place	ས་ཆ
dry	སྐམ་པོ
sour	སྐྱུར་མོ
hot	ཚ་པོ
clean	གཙང་མ
chuba	ཕྱུ་པ
puja	དགུ་གཏོར
steamed	གོ་རེ
egg	སྒོང་ང
cheese	ཕྱུ་ར
manservant	གཡོག་པོ
maidservant	གཡོག་མོ
morning	ཞོགས་པ
noon	ཉིན་གུང
afternoon	དགོང་དྲོ
thick	ཕྲུག
child	ཕྲུ་གུ
bok choy	པད་ཚལ
meltwater	གངས་ཆུ
turn	འཁོར
stupa	འབུམ་པ
body	སྐུ
སློབ་གྲྭ	སློབ་གྲྭ་ཆེན་མོ
glass	ཤེལ་སྒོ
lane	སྲང་ལམ
stupa	མཆོད་རྟེན
musk	གླ་བ
musk deer	སྐུ་བདེ་རིགས
stamp	ཐམ་ཀ
lotus	པད་མ
flower	གེ་སར
saffron	གུར་གུམ
annal	དེབ་ཐེར
amban	ཨམ་བན
teacher	པག་ཤི
silk	དར
Panchen Lama	ཨེར་ཏེ་ནི
coat of mail	བེག་ཙེ
police	པུ་ལི་སི
bacteria	ཞི་ཅུན
automobile	ཆིས་ཁྲེའེ
tractor	ཐོ་ལ་ཅི
divinatory	སྤར་ཁ
sandalwood	ཙན་དན
emerald	མར་གད
pearl	མུ་ཏིག
peacock	རྨ་བྱ
mile	མེ་ལེ
railway	ལྕགས་ལམ
road	ལམ་ཀ
four	གྲུ་བཞི
tiny	རྡུལ་ཕྲན
dust	རྡུལ
spread	འདིང
brush	པིར
sorry	དགོངས་དག
indeed	ཡིན་དང་ཡིན
star	སྐར་མ
falling	ན་བ
be	ཡོད
being	ཡོད་པ
translator	ལོ་ཙཱ་བ
triangle	གྲུ་གསུམ
hungry ghost	ཡི་དྭགས
ritual	ཕུར་བ
palace	ཕོ་བྲང
hill	བླ་རི
soul	བླ
similar	ལྟ་བུ
look	ལྟ
health	བདེ་ཐང
bliss	བདེ
chicken	བྱ་ཤ
music	རོལ་མོ
enjoy	རོལ
trust	ཡིད་ཆེས
present tense	ད་ལྟ་བ
pillar	ཀ་བ
power	མངའ་ཐང
million	ས་ཡ
ten million	བྱེ་བ
hundred	དུང་ཕྱུར
ཐེར་འབུམ	ཐེར་འབུམ་ཆེན་པོ
hundred	ཁྲག་ཁྲིག
ཁྲག་ཁྲིག	ཁྲག་ཁྲིག་ཆེན་པོ
ten	རབ་བཀྲམ
རབ་བཀྲམ	རབ་བཀྲམ་ཆེན་པོ
བོད	བོད་བརྒྱུད་ནང་བསྟན
pass	བརྒྱུད
story	ལོ་རྒྱུས
Sikkim	འབྲས་མོ་ལྗོངས
hidden	སྦས་ཡུལ
president	ཙུང་ཐུང
magical	སྤྲུལ་པ
sever	གཅོད
sadhana	སྒྲུབ་ཐབས
good	ལེགས
Yangtze	འབྲི་ཆུ
sesame	ཏིལ
Gelug	དགེ་ལུགས་པ
torch	སྦི་ཅི་ལི
female	མཛོ་མོ
sugar	ཀ་ར
Kagyu	བཀའ་བརྒྱུད
precept	བཀའ
kapala	ཀ་པཱ་ལ
kiang	རྐྱང
torma	གཏོར་མ
yidam	ཡི་དམ
train	རི་ལི
premier	ཙུང་ལི
president	ཀྲུའུ་ཞི
thirty	སུམ་ཅུ
but	ཡིན་ན་ཡང
final	མཐའ་མ
glorious	དཔལ་ལྡན
adverb	བསྣན་ཚིག
lord	དབང་ཕྱུག
reach	ཐུག
cover	འཐུམ
laughing	བཞད་པ
fill	ལྟེམས
doing	བྱེད་པ
library	དཔེ་མཛོད་ཁང
knowing	མཁྱེན་པ
preventing	འགོག་པ
going	འགྲོ་བ
dying	འཆི་བ
scooping	འཆུ་བ
decaying	འཇིག་པ
closing	འཛུམ་པ
close	ཟུམ
knowing	རིག་པ
examining	རྟོག་པ
building	རྩིག་པ
starting	རྩོམ་པ
rising	ལང་བ
obtaining	ལེན་པ
knowing	ཤེས་པ
linking	སྦྱོར་བ
saying	སྨྲ་བ
giving	སྦྱིན་པ
flat	བག་ལེབ
ཤ	ཤ་བག་ལེབ
ཆུ	ཆུ་མངར་མོ
vermicelli	ཕིང
yogurt	ཞོ
maize	ཨ་ཤོམ
buckwheat	རྒྱ་བྲ
walnut	སྟར་ཀ
rhubarb	ཆུ་ཆུ
banana	ཀེ་ར
eyeball	མིག་རིལ
chin	ཀོ་ཀོ
chin	ཨོག་མ
butt	རྐུབ
translator	སྐད་སྒྱུར
judge	ཁྲིམ་དཔོན
ཁྱེད་རང	ཁྱེད་རང་ལོ་ག་ཚོད་རེད
you	ཁྱེད་རང
how much	ག་ཚོད
this	འདི
that	དེ
eleven	བཅུ་གཅིག
twelve	བཅུ་གཉིས
thirteen	བཅུ་གསུམ
fourteen	བཅུ་བཞི
fifteen	བཅོ་ལྔ
sixteen	བཅུ་དྲུག
seventeen	བཅུ་བདུན
eighteen	བཅོ་བརྒྱད
nineteen	བཅུ་དགུ
here	འདིར
there	དེར
winter	དགུན་ཀ
winter	དགུན
summer	དབྱར
wolf	སྦྱང་ཀུ
samsara	འཁོར་བ
རྩ་བ	རྩ་བ་ནས
always	ཁྱོན་ནས
bathroom	གསང་སྤྱོད
bathroom	ཁྲུས་ཁང
always	རྟག་པར
not	མེད
དགེ་སློང	དགེ་སློང་མ
grammatical case	རྣམ་དབྱེ
piece	རྣམ་པ
open	འབྱེད
morning tea	ཞོགས་ཇ
Topgye	སྟོབས་རྒྱས
doctrine	བསྟན་པ
interior	ནང
early	སྔ
open	འབྱེ
ball	པོ་ལོ
eyeball	མིག་འབྲས
index	དཀར་ཆག
Tibetan Mastiff	འབྲོག་ཁྱི
brace	༼
brace	༽
Kashag	བཀའ་ཤག
khata	ཁ་བཏགས
valley	རོང
self-	རང་བྱུང
རང་བྱུང	རང་བྱུང་ཁམས
modern	ཚན་རིག
south	ལྷོ
northern	བྱང་ཐང
space	དབྱིངས
goddess	ལྷ་མོ
ལྷ་མོ	ལྷ་མོ་དགོན
happiness	བདེ་སྐྱིད
joy	དགའ་ཚོར
involuntarily	རང་དབང་མེད་པ
forever	ནམ་ཡང
courage	བློ་ཁོག
health	ནད་མེད
chieftain	འགོ་པ
hoping	རེ་བ
sherpa	ཤར་པ
province	ཞིང་ཆེན
rainbow	འཇའ་ཚོན
Yunnan	ཡུན་ནན་ཞིང་ཆེན
hat	ཞྭ
shoe	ལྷམ
God bless you	དཀོན་མཆོག་མཁྱེན
Japan	རི་པིན
ant	གྲོག་མ
table	ཅོག་ཙེ
giant panda	དོམ་ཁྲ
glasses	མིག་ཤེལ
area	ས་ཁུལ
bit	ཅུང་ཙམ
bit	ཅུང་ཟད
bit	ཅུང་ཟད་ཙམ
pineapple	ཐང་འབྲས
landslide	རྫ་རྡོ
Mekong	རྫ་ཆུ
family	ཁྱིམ་ཚང
family	མི་ཚང
soldier	དམག་མི
army	དམག་དཔུང
good	ལེགས་པོ
classroom	སློབ་ཁང
ball	སྤོ་ལོ
ashtray	ཐ་མ་རྡབ་ས
rubbish	གད་ཉིག
need	མཁོ་བ
distance	ལམ་ཐག
music	རོལ་གཞས
necessary	མཁོ
cup	ཕོར་པ
ticket	ཊི་ཀ་སི
ticket	སྤ་སེ
kilometre	སྤྱི་ལེ
thumb	མཐེ་བོང
coin	སྒོར་མོ
ash	གོ་ཐལ
because	གང་ཡིན་ཟེར་ན
why	ག་རེ་བྱས་ནས
comparing	སྡུར་བ
headphone	ཉན་བྱེད་འཕྲུལ་ཆས
important	གལ་ཆེན་པོ
prayer	བཀའ་བསྒོ
compare	སྡུར
Mars	མིག་དམར
red	དམར
Mercury	ལྷག་པ
Jupiter	ཕུར་བུ
Venus	པ་སངས
Saturn	སྤེན་པ
week	གཟའ་འཁོར
picture	རི་མོ
camera	པར་ཆས
clay	རྫ
et cetera	སོགས
glacier	གངས་ཆེན
kilogram	སྤྱིའི་རྒྱ་མ
fox	ཝ་མོ
driver	ཁ་ལོ་བ
wolf	སྤྱང་ཀི
waterfall	བབས་ཆུ
foot	རྐང་པ
foot	རྐང
play	རྩེད
game	རྩེད་མོ
doctor	སྨན་པ
long	ཚེ་རིང
hagiography	རྣམ་ཐར
sweat	རྔུལ
full	ཐམ་པ
talk	གཏམ་པ
all	ཀུན
river	ཀླུང་མ
valley	ལུང་པ
river	ཀླུང
འབྲས་ལྗོངས	འབྲས་ལྗོངས་སྐད
Tangut	མི་ཉག
mountain	རི་བོ
he	ཁོང
offer	མཆོད
musical instrument	རོལ་ཆ
མཉམ་འབྲེལ	མཉམ་འབྲེལ་རྒྱལ་ཚོགས
forty	བཞི་བཅུ
fifty	ལྔ་བཅུ
sixty	དྲུག་ཅུ
seventy	བདུན་ཅུ
eighty	བརྒྱད་ཅུ
ninety	དགུ་བཅུ
