Sherpa	ཤར་བ
native	གཞིས་ཀ
city	གྲོང་ཁྱེར
onion	བཙོང
maternal uncle	ཞང
steamy	རླངས
impediment	ཐགས་ཐོགས
gather up	ལྟབ
གཟིག	གསའ
fruit	འབྲས་བུ
millet	ཁྲེ
tree	ཤིང་སྡོང
pine	ཐང་ཤིང
hole	ལྟེ་ཁུང
forest	ཤིང་ནགས
hit	ཐེབས
gold	གསེར
copper	ཟངས
dandruff	ཀོག་ཤི
main	ལྟེ་བ
glass	ཤེལ
garbage	གད་སྙིགས
Lhoba	ལྷོ་པ
menu	ཁ་ལག་ཐོ
hear	ཁོ
hear	གསན
fight	རྒྱ་འདྲེ
shop	ཚོང་ཁང
shop	ཁྲོམ་གཟིགས་གནང
market	ཁྲོམ
beat	འཇོམས
price	གོང
duck	ཀ་རན་ད
heavy	ལྗིད་པོ
work	ལས་ཀ
learn	སྦྱོང་བ
bone	རུས་ཁོག
oil	སྣུམ
night	མཚན་མོ
night	དགོང་མོ
belt	སྐེ་རགས
wire	ལྕགས་སྐུད
jail	བཙོན་ཁང
drunk	མྱོས་པ
drunk	སྨྱོ་བ
border	ས་མཚམས
umbrella	ཉི་གདུགས
disease	ན་ཚ
disease	སྙུང་གཞི
stomach	གྲོད་ཁོག
storm	རླུང་འཚུབ
thunder	ལྡིར་སྒྲ
neck	མཇིང་པ
delicious	བདའ་བ
delicious	ཟིལ་དངར
delicious	ཞིམ་པོ
delicious	བྲོ་བ་ཆེན་པོ
part	ཆ་ཤས
glove	ལག་ཤུབས
branch	ཡལ་ག
spear	མདུང
ring	སོར་གདུབ
motor	ཤེད་འཕྲུལ
fast	མགྱོགས་པོ
metal	ལྕགས་རིགས
swim	ཆུ་རྐྱལ་རྒྱག
speak	སྐད་ཆ་བཤད
bag	ལྟོ་ཕད
elbow	གྲུ་མོ
river	ཆུ་ཆེན
river	ཆུ་བོ
river	གཙང་ཆུ
dirty	བཙོག་པ
mud	འདག་པ
fear	ཞེད་སྣང
colour	ཚོས་གཞི
colour	ཚོན་མདོག
seed	ས་བོན
weather	གནམ་གཤིས
tired	སྐུ་མཉེལ་པོ
tired	ཐང་ཆད་པ
tired	ངལ་དུབ
bud	ཁ་འབུས
breathe	དབུགས་རྒྱག
clothes	ན་བཟའ
beach	མཚོ་འགྲམ
can	ལྕགས་ཊིན
refugee	བཙན་བྱོལ་བ
refund	ཕྱིར་སློག་བྱས
vein	ཁྲག་རྩ
receipt	བྱུང་འཛིན
chili	བསིལ་སྨན
chili	དམར་ཚ
spicy	ཁ་ཚ་པོ
soy sauce	ཇང་ཡུའི
accent	སྐད་གདངས
dialect	ཡུལ་སྐད
phoneme	མ་སྒྲ
phonology	སྒྲ་སྦྱོར་རིག་པ
pick up	བསྒྲུགས
peanut	སྦ་ཏམ
ankle	རྐང་ཚིགས
forearm	ལག་ངར
axe	སྟ་རེ
banana	ངང་ལག
lymph	ཆུ་སེར
pus	རྣག
bin	སྒམ་སྒྲོམ
rubbish bin	གད་སྙིག་བླུག་ས
garbage	གད་སྙིག
bow and arrow	མདའ་གཞུ
bow	གཞུ
capsule	ཤུབས་སྨན
sheath	ཤུབས
pill	རིལ་བུ
tablet	སྨན་ལེབ
flat	ལེབ
flat	ལེབ་ལེབ
ནང	ནང་སོག
antibiotic	སྐྱེ་ནུས་འགོག་རྫས
prescription	སྨན་ཐོ
dose	སྨན་ཐུན
thing	ཅ་ལག
thing	དངོས་པོ
snack	ཁ་ཏོག
ཉོ་ཆ	ཉོ་ཆའི་ཐོ
cardboard box	ཤོག་སྒམ
cardboard	ཤོག་པང
tumor	སྐྲན
goatee	ཨོག་ཚོམ
goatee	ཨོག་ཤོལ
swell	བསྐྲངས
swelling	སྐྲང་ཀོ
shooting star	སྐར་མདའ
fall in love	སེམས་ཤོར
groin	རྒྱུད་སྨད
infect	རྣག་བསགས
unemployed	ལས་མེད
brass	རག
barley	འབྲུ
cheap	ཁེ་པོ
expensive	གོང་ཆེན་པོ
cost	གནད
mastiff	འདོགས་ཁྱི
masturbate	འདག་བརྒྱབ
wolf pack	སྤྱང་ཁྱུ
herd	ཁྱུ
highway	གཞུང་ལམ
goldsmith	གསེར་བཟོ་བ
gong	འཁར་རྔ
frostbite	གངས་ཕྱིད
avalanche	གངས་རུད
altitude sickness	ལ་དུག
snowstorm	གངས་འུར
snowshoe	གངས་ལྷམ
snowmobile	གངས་ཤུར་མོ་ཊ
ski	གངས་ཤུར་གཏོང་ཡག
ski	གངས་ཤུར་བཏང
shin	ངར་གདུང
semen	ཐིག་ལེ
sperm	ཐིག་ལི
spice	སྨན་སྣ
spiderweb	སྡོམ་ཐག
germ	ནད་འབུ
virus	ནད་འབུ་ཕྲ་རབ
ice-skate	ཁྱགས་ཤུར་གློད
ice skate	ཁྱགས་ཤུར་ལྷམ
icicle	ཁྱགས་དཔྱངས
sand	བྱེ་མ
desert	བྱེ་ཐང
wart	མཛེར་པ
pimple	ཐོར་པ
mole	སྨེ་བ
freckle	གྲོ་ཐིག
cotton	སྤྲིན་བལ
cough	གློ་བརྒྱབ
volunteer	དྭང་བླངས་བྱས
volunteer	དྭང་བླངས་བྱེད་མཁན
cookie	ཁ་ཟས
kitchen	ཐབ་ཚང
kite	བྱ་འཕིར
kite	པིང་ཀྱུ་མ
knapsack	ཕད་གོག
pocket	པ་ཀིར
freeze	ཁྱགས་པ་ཆགས
freeze	ཁྱགས་པ་བཟོས
frying pan	ཚལ་སླང
tendon	རྒྱུད་པ
cancer	སྐྲན་ནད
treatment	སྨན་བཅོས
treat	སྨན་བཅོས་བྱས
clinic	སྨན་བཅོས་ཁང
pharmacy	སྨན་ཚོང་ཁང
take off	ཕུད
nude	དམར་ཧྲང་བ
nipple	ནུ་རྡོག
nirvana	མྱང་འདས
chopping board	ཨན་ཏར
chopping board	བཏུབས་སྟན
surgeon	གཤག་གཅོད་སྨན་པ
surgery	གཤག་གཅོད
appointment	དུས་ཚོད་བཟོས
skin	པགས་པ
belt	སྐེད་རེག
buckle	ཆབ་རྩེ
hinge	བཀབ་སྦྱར
office	ལས་ཁུངས
fist	མུར་རྫོག
fist	མཛོག་རུམ
wrestling	ཨབ་ཐང
wrestling	སྦེ་ག
bag	སྣོད་ཕད
handbag	ལག་འབེག
saddlebag	རྟ་སྒྲོ
schoolbag	ཡིག་ཕད
dehydrate	ཞ་རློན་འཐེན
dental floss	སོ་སྐུད
toothbrush	སོ་ཁྲུ
toothpaste	སོ་སྨན
railway station	རི་ལི་བབས་ཚུགས
trigger	སྐམ་པ
turnip	ཉུང་མ
starlight	སྐར་མའི་འོད
stick	རྒྱུག་པ
storm	དྲག་ཆར
string	སྐུད་པ
scrambled egg	སྒོང་འབྲས
scroll	ཤོག་ཧྲིལ
sponge	ཞ་འཐེན
spring	སི་པིརིང
spring	ཆུ་མིག
stove	ཐབ
water buffalo	མ་ཧེ
bug	འབུ
sleepy	གཉིད་བྲོ
tobacco	མདོ་ཐག
cigarette	ཐ་མག
cigarette	བཞེས་ཐག
shoelace	ཇུར་སྒྲོག
rope	ཐག་པ
rot	རུལ
stirrup	ཡབ
pedal	རྐང་རྟེན
spur	རྟིང་ལྕགས
horseshoe	རྨིག་ལྕགས
bit	སྲབ་ལྕགས
halter	མཐུར་མགོ
halter	སྣ་འཇུ
bracelet	སྒྲོག་གདུང
bracelet	ལག་གདུབ
mane	ཟེ
mange	རྔོ
lasso	ཞགས་པ
whip	རྟ་ལྕག
utensil	ཉེར་སྤྱད
tap	ཁ་གཅུས
spigot	བཀག་གཅུས
tar	རྕི་ནག
scab	རྨ་ཁོག
bruise	སྨུག་ཏིག
boil	གཉན་འབུར
sore	རྨ
thumb	མཐེ་པོ
nail	གཟེར
nail	སེན་མོ
immigrant	གཞིས་ཆགས་ལ་ཡོང་པའི་མི
immigrate	གཞིས་ཆགས་ལ་ཡོང
immigration	གཞིས་ཆགས་ལ་ཡོང་ཡག
forehead	དཔྲལ་བ
foreigner	ཕྱི་རྒྱལ་གྱི་མི
foreign	ཕྱི་རྒྱལ
invasion	བཙན་འཛུལ
invade	བཙན་འཛུལ་བྱས
diphthong	དབྱངས་སྒྲ་ཉིས་ལྡན
discount	གོང་བཅག
snow	གངས་བཏང
brake	འཁོར་ལོ་བཀག
bookshelf	དེབ་སྒྲོམ
bookshelf	དཔེ་སྒྲོམ
bookshop	དེབ་ཁང
quiver	གཞུ་ཤུབས
scratch	སྦར་བྲད་བརྒྱབ
side effect	ཞོར་རྐྱེན
mosquito	དུག་སྦྲང
malaria	འདར་ནད
backpack	རྒྱབ་ཕད
dummy	འཇིབ་རུ
back	སྒལ་པ
guard dog	འདོག་ཁྱི
tent	གུར
yurt	སོག་གུར
bedbug	འདྲེ་ཤིག
beeswax	པྲ་ཚིལ
beehive	སྦྲང་ཚང
wasp	མདུང་སྦྲང
wastebasket	གད་སྙིགས་བླུག་ས
sleeping pill	གཉིད་སྨན
minority	གྲང་ཉུང་མི་རིགས
moat	ཆུ་དོང་ལྕགས་རི
fence	ལྕགས་རི
cistern	ཆུ་སྒྲོམ
well	ཁྲོན་པ
pit	ས་དོང
ditch	ས་ཤུར
trip	འགྲུལ་བཞུད
traveler	འགྲུལ་པ
traveller	འགྲུལ་བཞུད་བྱེད་མཁན
map	ས་བཀྲ
black market	ནག་ཚོང
blacksmith	ལྕགས་བཟོ་བ
horse blanket	རྟ་ཁེབས
blanket	ཉལ་གཟན
bed	ཉལ་ཁྲི
bedspread	ཉལ་ཁེབས
sheet	ཉལ་རས
mattress	ཉལ་གདན
bunker	འཇིང་རག
eyebrow	མིག་སྤུ
eyelash	རྫི་མ
berry	བསེའུ
pillow	སྔས་ཤུབ
cushion	གདན་སྒོར
cushion	འབོལ་གདན
carpet	ཁ་གདན
ruin	གྱང་རོ
drive	བཏང
ferry	གྲུ་ཤན
data	དཔྱད་གཞི
petrol station	པེ་ཊོལ་ཚོང་ཁང
petrol	པེ་ཊོལ
gate	རྒྱལ་སྒོ
bandage	སྨན་རས
bandage	རྨ་རས
gem	ཕྲ
steering wheel	ཁ་ལོ་སྒྱུར་འཁོར
technology	འཕྲུལ་ལས་རིག་གནས
eel	སྦྲུལ་ཉ
Mao	མའོ
unlock	སྒོ་ལྕགས་ཕྱེ
lock	སྒོ་ལྕགས་བརྒྱབ
keyhole	ལྡེ་ཁུང
sing	གཞས་བཏང
sing	སྐད་བརྒྱབ
tool	ལག་ཆ
bus	ཀུང་ཀུང་ཆིའི་ཁྲེ
bus	འབའ་སེ
truck	མོ་ཊ་ཊག
truck	གའ་ཁྲའ
tail	གཞུག་གུ
tail	མཇུག་མ
feather	བྱ་སྒྲོ
tailfeather	མཇུག་སྒྲོ
down	བྱ་སྤུ
language family	སྐད་རིགས་ཁྱིམ་ཚང
vacuum cleaner	གློག་འགུལ་ཕྱགས་མ
microscope	ཆེ་ཤེལ
mould	ཧམ་འབུ
moment	ཁྱུག་ཙམ་ཞིག
morpheme	སྒྲ་དོམ་ཕྲ་མོ
morphology	སྒྲ་དོམ་རིག་པ
mucus	སྣ་ལུད
phlegm	ལུད་པ
mule	དྲེལ
museum	འགྲེམས་སྟོན་ཁང
Islam	ཁ་ཆེ
Leninism	ལེ་ནིན་རིང་ལུགས
Marxism	མཀ་སིའི་རིང་ལུགས
Marxism	མར་ཁེ་སིའི་རིང་ལུགས
telescope	རྒྱང་ཤེལ
log	ཤིང་དུམ
bark	ཤིང་གི་པགས་པ
bark	ཤིང་པགས
bark	ཤིང་ཤུན
company	ཀུང་སི
candle	ཡང་ལཱ
candle	ཚིལ་བཞུ
mousetrap	ཙི་ཙི་ཟིན་ཡག
trap	རྙི
typhoon	མཚོ་རླུང
earthquake	ས་ཡོམ
earthquake	ས་གཡོས
flood	ཆུ་ལོག
drought	ཐེན་པ
fly	འཕུར
banister	ལག་འཇུ
stairs	སྐས་འཛེགས
fart	གཏུག་དྲི་ཤོར
fart	གཏུག་དྲི
lose face	སྤམ་ཤོར
face	སྤམ
wear	གོན
wear	བཞེས
hook	ལྕགས་ཀྱུ
steel	ངར་ལྕགས
penicillin	པན་ནི་སི་ལིན
peninsula	གྲིང་ཟུར
penknife	ལྟེབས་གྲི
pentagon	གཞོགས་ལྡ
meet	མཇལ
greet	འཚམས་འདྲི་ཞུས
hairy	སྤུ་མང་པོ
half	ཕྱེད་ཀ
loom	འཐག་ཁྲི
stitch	ཚེམ་བུ
sew	བཙེམས
zinc	ཏི་ཚ
zipper	འཛིབ
nylon	ནེ་ལོན
weed	རྩྭ་ཡན
washing machine	འཁྲུ་ཡག་འཕྲུལ་འཁོར
dryer	སྐམ་ཡག་འཕྲུལ་འཁོར
hairdryer	སྐྲ་སྐམ་ཡག་འཕྲུལ་འཁོར
clothes dryer	དུག་སློག་སྐམ་ཡག་འཕྲུལ་འཁོར
dub	སྐད་ལ་བཅུག
noisy	སྐད་ཅོར་ཚ་པོ
occur	བྱུང
password	གསང་ཚིག
symbol	རྟགས
sword	དཔའ་དམ
net	དྲ་བ
nirvana	མྱ་ངན་ལས་འདས་པ
needle	ཁབ
pin	ཁབ་གཟེར
ping pong	པིང་པང
screw	གཅུད་གཟེར
screwdriver	གཟེར་གཅུད
eunuch	ཉུག་རུམ
suck	འཇིབས
tofu	ཏོའོ་ཕུ
centre	དཀྱིལ
Middle East	ཤར་གླིང་དབུས་མ
Asia	ཤར་གླིང
Southeast Asia	ཤར་གླིང་ལྷོ་ཤར
South Asia	ཤར་གླིང་ལྷོ་རྒྱུད
factory	བཟོ་གྲྭ
distillery	ཨ་རག་བཟོ་གྲྭ
fade	ཡལ
brick	ས་ཕག
buttermilk	དར་བ
button	ཐེབ་འཇུ
buy	ཉོས
sell	བཙོངས
rent	གླས
scientist	ཚན་རིག་མཁས་པ
artist	རི་མོ་མཁས་པ
art	རྩོམ་རིག
asbestos	རྡོ་རྒྱུད
ashtray	ཐ་མག་བརྡབ་ས
lighter	སླ་བ
match	ཙག་སྒྲ
sulphur	མུ་ཟི
jeans	འཇིན
jeans	རས་བྱིང
jeep	མོ་ཊ་ཇིབ
basketball	སིལ་པོལ
win	ཐོབ
lose	བརླགས
lose	ཤོར
look for	བཙལ
clean	གཙང་མ་བཟོས
landslide	ས་རུད
cleaver	ཚའི་ཏོའོ
cleaver	ཚལ་གྲི
ladder	སྐས་འཛེག
Kashmir	ཀ་ཤི་མིར
Dharamshala	རྡ་རམ་ས་ལ
Kangding	དར་རྩེ་མདོ
Kangding	དར་མདོ
shower	འཐོར་ཆུ
room	ཁང་མིག
roommate	ཤག་རོགས
medal	རྟགས་མ
sink	དིམ
slingshot	འུར་རདོ
slingshot	གུར་ཐོགས
blister	ཆུ་ལྒང
bucket	ཆུ་ཟོམ
basket	སིལ་ར
basket	སློ་མ
basket	སླེལ་པོ
shelf	བང་ཁྲི
bench	རྐུབ་ཀྱག་རིང་པོ
tray	ཤིང་ཁྲོལ
tea cosy	ཇ་ཁེབས
teacup	ཇ་དཀར
teapot	ཁོག་ལྟིར
serf	མི་སེར
sauce	ཁུ་བ
sausage	རྒྱུ་མ་བརྒྱངས་པ
intestine	རྒྱུ་མ
large intestine	རྒྱུ་དཀར
small intestine	རྒྱུ་ནག
barefoot	རྐང་རྗེན་མ
lump	རྡོག་རྡོག
visa	ཐོངས་མཆན
walking stick	འཁར་རྒྱུག
spell	དག་ཆ་བྲིས
thirsty	ཁ་བསྐོམས
thirst	ཁ་སྐོམ་ཡག
pitcher	རྫ་རྐྱན
pitcher	ཟངས་རྐྱན
pitchfork	ཁ་བྲག
planet	གཟའ་སྐར
plank	པང་ལེབ
problem	རྙོག་དྲ
propeller	རླུང་འཁོར
prostitute	གཞང་ཚོང་མ
puppet	ཨ་ལག་པད་ཀོག
puppy	ཨ་ཡོ་འོ
puppy	ཁྱི་ཕྲུག
rainy season	ཆར་དུས
sunscreen	ཉི་བཀྲག་འགོག
sunbathe	ཉི་སྲེག་བཏང
sunburn	ཉི་སྲེག
authentic	ངོ་མ
monkey	སྤྲ
barrel	ཟོམ
beggar	སྤྲང་པོ
distance	རྒྱང་ཐག
turn off	བསད
post office	སྦྲག་ཁང
pot	ཁོག་མ
pronoun	མིང་ཚབ
gossip	ཁ་བདར་གློད
rumour	དཀྲོག་གཏམ
receptionist	སྣེ་ལེན་པ
baggage	དོ་པོ
food	ཁ་ལག
pub	ཆང་ཁང
phone	ཁ་དཔར་གཏོང
go	འབབ
travel agency	འགྲིམ་འགྲུལ་ཁང
greedy	ཧམ་པ་ཚ་པོ
gaudy	ཧར་པོ
greed	འདོད་རྔམ
nutmeg	ཛ་ཏི
weave	བཏགས
leopard	གཟིག
knuckle	སོར་མོའི་ཚིགས
knuckle	མཛུབ་མོའི་ཚིགས
international	རྒྱལ་འབྲེལ
international	རྒྱལ་སྤྱི
insult	དམའ་འབེབ་བྱས
journalist	གསར་གནས་འདྲི་རྕོམ་བྱེད་མཁན
journalist	གསར་འགྱུར་བྱེད་པོ
rifle	རིང་མདའ
rifle	མེ་མདའ་ཁ་རིང
gunpowder	མེ་རྫས
machine gun	མེ་མདའ་སྦག་སྦག
flare gun	གློག་མདའ
cannon	མེ་སྒྱོགས
handgun	ལག་མདའ
pistol	པི་སི་ཏོབ
weapon	མཚོན་ཆ
weapon	གོ་མཚོན
tower	ཁང་ཀྲོང
tower	ཁང་པ་མཐོ་པོ་ཀྲོང་ཀྲོང
towel	ཨ་ཅོར
towel	ཞལ་ཅོར
temperature	ཚ་གྲང
temple	ཡ་མ
almsgiver	སྦྱིན་བདག
resistance	བཙན་རྒོལ་གསང་ཚོགས
sarcasm	ཟུར་ཟ
classmate	སློབ་གྲོགས
itch	ཟ་ཕྲུག་ལང
Uyghur	ཡུལ་གོར་སྐད
talcum powder	གདོང་བྱུག་པོ་ཊར
powdered milk	འོ་རྩམ
shave	བཞར
coffee	ཁ་ཕེ
coffee	ཇ་ཀོབ་པི
coffee	འཚིག་ཇ
jack	འདེགས་ལྕགས
shovel	སྦྱག་མ
sickle	ཟོ་ར
straw	སོག་མ
air conditioner	གྲང་གློག་འཕྲུལ་ཆས
almanac	ལེ་ཐོ
aroma	དྲི་མ
bachelor	ཕོ་ཧྲང
bandit	ཇག་པ
pouch	སྦ་ཁུག
billfold	དངུལ་ཁུག
billiards	རྒྱུག་པོལ
bureaucracy	དཔོན་ངན
junk	མཁོ་མེད
junk	རྒྱ་བཟོ་ཤིང་གྲུ
kneecap	པུས་མོའི་ལྷ་ང
ladle	སྐྱོག
landlady	གནས་མོ
landlord	ཁང་བདག
leek	སྙུག་ཚོང
leech	འབུ་པད་པ
licence plate	མོ་ཊའི་ཨང་གྲངས་ལྕགས་ལེབ
landmark	ས་རྟགས
land mine	ས་འོག་འབར་མདེལ
laundry	འཕྲལ་འཁྲུ
laundry	དྲི་ཕོག
leash	འདོགས་ཐག
leather	ཀོ་བ
legible	ཀློག་བདེ་པོ
library	དཔེ་མཛོད
deodorant	དྲི་ངན་སངས་སྨན
department	ཚན་ཁག
department store	སྣ་ཚོགས་ཚོང་ཁང
diarrhea	བཤལ་ནད
gonorrhea	གྲང་གཞི
gonorrhea	གྲང་བ
leprosy	མཛེ་ནད
syphilis	སེ་མོག
syphilis	རྒྱ་ནད
doorknob	སྒོའི་ལག་འཇུ
སྒོ	སྒོའི་ཐེམ
dough	སྤག
pigeon	འང་གུ
escalator	གློག་འགུལ་སྐས་འཛེག
tape	ཊེབ་ཐག
valve	ཕུ་འགྲོ
valve	གཅུས་འགོག
test tube	ཚོད་ལྟ་ཤེལ་སྟོང
vandalism	གཅག་གཏོར་བྱེད་ཡག
vandalise	གཅག་གཏོར་བྱས
སྦྲུལ	སྦྲུལ་སོའི་དུག་ཆུ
fang	མཆེ་བ
kidnap	ཇག་ཁྲིད་བྱས
knowledge	ཡོན་ཏན
lathe	དཀྲུག་འཁོར
latrine	ཆབ་ཁུང
lead pencil	ཞ་སྙུག
liar	ཀྱག་རྗུན་ཤོད་མཁན
lie	ཀྱག་རྗུན
lingua franca	སྤྱི་སྐད
subtitle	སྐད་ཆ་སྒྱུར་ཡིག
story	སྒྲུང
legend	སྒྲུང་གཏམ
legend	གཏམ་རྒྱུད
linguistics	བརྡ་སྤྲོད་རིག་གནས
linguistics	སྐད་ཡིག་རིག་གནས
mummy	པུར་ཕུང
mysterious	མགོ་འཐོམ་ཡག
naughty	སྒྲིག་ཉེས་པོ
nickname	གཅེས་མིང
nickname	མིང་འདོགས
nun	ཨ་ནི
plateau	ས་མཐོའི་ཐང་ཆེན
diverse	འདྲ་མི་འདྲ
mantra	སྔགས
independent	རང་བཙན
insecticide	འབུ་སྨན
legal	ཁྲིམས་མཐུན
lawyer	ཁྲིམས་རྩོད་པ
laxative	བཤལ་སྨན
མི	མིའི་གསོབ
mat	གདན
midget	མིའུ་ཐུང
missile	ཕུར་མདེལ
sweat	རྔུལ་ནག
scar	རྨ་རྗེས
camera	དཔར་ཆས
traditional	ཡུལ་སྲོལ་གྱི
tradition	ལུགས་སྲོལ
burrow	ས་འོག་ཚ་ཁུང
caterpillar	འབུ་སྤུ་ཟོག
cauldron	དཀྱིལ་ཁྲོ
cauldron	ཁྲོ་ཟངས
rollerskate	འཁོར་ཤུར་ལྷམ་གོག
prayer wheel	མ་ནི་ཆོས་འཁོར
rolling pin	རྒྱུག་ཧྲིལ
sole	རྡོག་པ
sole	རྐང་མཐིལ
gravy	ལྡུར་ལྡུར
grammar	སུམ་རྟགས
grammar	བརྡ་སྤྲོད་ཀྱི་གཞུང
robot	མི་གཟུགས་འཕྲུལ་བྱད
rocket	མེ་ཤུགས་འཕུར་མདེལ
rocket	འཕུར་མདེལ
rock salt	བྲག་ཚྭ
roe	ཉ་གོང
rung	སྐས་གདང
runway	གནམ་གྲུ་བབ་ལམ
sandpaper	ཀོ་སག
sandwich	སན་ཊ་ཝིཆི
hangar	གནམ་གྲུ་འཇོག་ཁང
dictionary	དག་ཡིག
dictionary	མིང་མཛོད
nappy	ཆབ་གདན
Kuomintang	གོའོ་མིན་ཏང
lipstick	མཆུ་ཏོ་དམར་པོ་བཟོ་ཡག
makeup	མཛེས་སྤྱད
mask	འབག
marmot	ཕྱི་བ
natural gas	སྣུམ་རླུང
gravel	བྱེ་རྡོ
subway	ས་འོག་ལྕགས་ལམ
tornado	རླུང་འཁོར་འཚུབ
transliterate	ཡིག་གཟུགས་ཕབ་སྒྱུར་བྱས
lonely	གྲོགས་མེད་གཅིག་རྐྱང
longevity	ཚེ་རིང་པོ
luck	ལམ་འགྲོ
mince	བཙབས
miss	དྲན
moneylender	དངུལ་བུན་གཏོང་མཁན
motorbike	མོ་ཐོ་ཁྲེ
drinking fountain	འཐུང་ཡག་འཐོར་ཆུ
fountain	འཐུང་ཡག
frightening	ཞེད་སྣང་ཚ་པོ
tack	གཟེར་ནག
elastic band	འགྱིག་གྱི་ཐག་པ
elastic band	འགྱིག་ཐག
rubber	འགྱིག
hunt	རི་དྭགས་བརྒྱབ
igloo	ཁྱགས་རོམ་ཁང་པ
nightmare	གཉིད་ལམ་འཚུབ་པོ
dream	གཉིད་ལམ
firecracker	ཤོག་པག
rubble	རྡོ་ཧྲུག
balloon	ལྒང་ཕུག
ballot box	འོས་སྒམ
ballot box	འོས་ཤོག་བླུག་སའི་སྒམ
freezer	ཁྱགས་བཟོའི་གློག་སྒམ
puddle	ཁྱིལ་ཆུ
lazy	སྒྱིད་ལ་ངན་པོ
like	འདྲ་པོ
noise	སྐད་ཅོར
pretty	སྙིང་རྗེ་པོ
previous	སྔོན་མ
prosody	སྙན་ངག་རིག་པ
poem	སྙན་ངག
betel nut	གོ་ཡུ
bet	རྒྱན
gamble	རྒྱན་རྩེད་རྩེས
settlement	གཞིས་ཆགས
settler	གཞིས་ཆགས་བྱེད་མཁན
sexy	འདོད་ཆགས་སློང་མཁན
shoot	མེ་མདའ་བརྒྱབ
bullet	མདེའུ
bribe	རྒྱུ་རྔན
bribe	སྐྱབས་རྟེན
monument	དྲན་གསོའི་རྟེན
statue	འདྲ་སྐུ
statue	འདྲ་གཞུགས
statue	སྐུ་བརྙན
statue	སྐུ་འདྲ
destination	འགྲོ་ས
destination	ཕེབས་ས
helicopter	ཧེ་ལེ་ཀོབ་ཊར
helicopter	ཐད་འཕུར་གནམ་གྲུ
helmet	རྨོག
heat rash	ཚ་ཐོར
heater	ཚ་གློག
hydrogen bomb	ཆིང་ཏན
hydrogen bomb	ཡང་རླུང་འབོམ
hymn	མགུར
hymn	ཆོས་གླུ
hypodermic needle	སྨན་ཁབ
invention	གསར་བཟོ
jug	ཆུ་སྣོད
water	ཆུ་འཐེན་འཕྲུལ་བྱད
air pump	ཕུ་མདའ
purify	ལྷད་མེད་བཟོས
wet nurse	ནུ་སྦྱིན་མ་ཚབ
midwifery	སྐྱེ་གཡོག་ལས་ཀ
midwife	སྐྱེ་གཡོག
weld	ཚ་ལ་བརྒྱབ
welder	ཚ་ལ་རྒྱག་མཁན
solder	ཚ་ལ
solder	ཚ་ལ་བཏང
ཉི	ཉི་མའི་འོད་ཤུགས
solstice	ཉི་མ་ལོག་ཡག
རྐུབ་ཀྱག་སོ་ཕཱ	རྐུབ་ཀྱག་སོ་ཕྰ
baking soda	བུལ་ཏོག
deaf	འོན་པ
deal	སྤྲད
chemical	རྫས་འགྱུར
compound	འདྲེས་མ
electron	གློག་རྡུལ
molecule	བར་གནས་རྡུལ་ཕྲན
molecule	ཀྲུང་ཙི
proverb	གཏམ་དཔེ
pseudonym	མིང་རྫུས་མ
cud	ལྡད
tribe	སྡེ་རིགས
battery	སྦི་ཅི་ལིའི་སྨན
battery	གློག་རྫས
battery	གློག་སྨན
substance	རྒྱུ
ivory	བལ་སོ
Jesus	ཡེ་ཤུ
plum	ཤིང་ཏོག་པ་ལམ
be	རེད
world	འཛམ་གླིང
control	དབང་སྒྱུར
scripture	གསུང་རབ
die	འགྲོངས
federation	མཉམ་སྦྲེལ
alley	ལམ་ཆུང
pain	ཟུག
potato	ཞོག་གོག
potato	ཞོ་ཁོག
sweet potato	གྲོ་མ
pour	བླུགས
pour	བཤོས
revolution	གསར་བརྗེ
oppress	གཉའ་གནོན་བཏང
repress	བཙན་གནོན་བྱས
repress	བཙན་འགོག་བྱས
ink	ཕྱག་སྣག
injury	སྐྱོན
paint	རི་མོ་བྲིས
painkiller	ན་ཟུག་འཇགས་ཡག་གི་སྨན
painkiller	ན་ཟུག་འཇགས་སྨན
archaeology	གནའ་རྫས་རྟོག་ཞིབ
archaeology	གནའ་དངོས་རིག་གནས
ancient	སྔ་མོ
anchor	གཏིང་རྡོ
rescue	ཉེན་ག་ནས་བཏོན
fart	གཏུག་དྲི་བཏང
paternal aunt	ཨ་ནེ
maternal aunt	སྲུ་མོ
sue	ཁྲིམས་ལ་བསྐྱལ
suede	སྐྱི་པགས
fake	རྫུས་མ
famine	མུ་གེ
suburb	མཐའ་སྐོར་གྲོང་ཚོ
suburb	ཉེ་སྐོར་གྲོང་ཚོ
straw hat	རྩྭ་ཞྭ
drinking straw	སོག་མ་པི་པི
brush	ཕག་འདོ
broom	ཕྱགས་མ
sinew	རྒྱུས་པ
tense	དུས་གསུམ
almond	བ་དམ
almond	འབའ་དམ
whistle	ཤུ་བརྒྱབ
shoulder	དཔུང་པ
middle finger	དཀྱིལ་མཛུབ
middleman	བར་མི
hiding place	གབ་ས
ice cream	ཁྱགས་པ་མངར་མོ
rhinoceros	བསེ་རུ
rhubarb	ཕྱུར་ཕྱུར
hemp	སོ་མ་ར་རྩྭ
hen	བྱ་མོ
hobby	དགའ་པོ་བྱེད་ཡག
hut	རྩྭ་ཁང
bedding	ཉལ་ཆས
uprising	ངོ་རྒོལ་སྒེར་ལངས
crowd	མི་ཚོགས
crow	ཁྭ་ཏ
dam	ཆུ་རག
