blessing	mana
tip	ta
jealousy	je
arrow	sé
lose	fá
hair	mí
they	wa
water	ní
so	kà
pestle	sú
really	cá
crab	ká
snake	sɛ
three	tã
hit	kɔ
chest	kɛ́
eggplant	kéé
cup	kópò
stick	kùìì
pipe	sáà
saw	sɔ́ɔ̀
scissors	sìà
bottle	zòtà
pesty bird	dyue
wife	gmàà
debt	kpa
old lady	dàɓò
small knife	ɖǎ-dyù
child	dyú
ant	nyúii
man	cíì
scorpion	gĩáá
law	gma
girl	bɔnɔ
leg	ɓo
shade	pɛ̀ɛ̀
shadow	zùù
cap	fɛ́ɖɛ́
beard	vɛ̃̌
canoe	hwɔ̌
road	hwìè
door	xwìɖì
hand	xwa
before	hwɛ̀
fingernail	xwɛ̀ɛ̀
banana	bòò
house	gbǒ
corn	mɛ́ɛ̀n
chair	gmɛ̀ɛ̌
yawn	dyuě
bone	kpá
burst	wɛ̀
immature	kíì
draw sap	bɛ
filler	hɔ
slipper	pàpà
hedge	kpɔ̀ɔ̌
green leaf	vàǎ
a	ɖò
two	sɔ̃́
four	hĩinyɛ
five	hm̀m̌
six	mɛ̀nɛ̌ìn-ɖò
seven	mɛ̀nɛ̌ìn-sɔ̃́
eight	mɛ̀nɛ̌ìn-tã
nine	mɛ̀nɛ̌ìn-hĩinyɛ
ten	ɓaɖa-bùè
chimpanzee	hwɛ̌
