four	pat
eye	mata
ball	mali
dog	asu
duck	vivi
moon	buan
father	tama
not have	uka
nail	kuskus
penis	hatas
forest	libus
pus	nanaq
ear	tangia
water	danum
doctor	ising
hair	hulbu
comb	ciukutu
spider	kakatu
buttocks	tuhu
goose	vividaing
chicken	tulkuk
cow	hanvang
dew	damuh
meteor	budias
football	kantundahmali
toy	ishailangun
body	lutbu
face	dahis
forehead	hupdal
earwax	itung
chest	kanum
star	bintuhan
star	bintuqan
pangolin	halum
sand	bunuk
mango	kangavas
fish	iskaan
new	bahlu
