g'day	abba
wood	burn
mouth	da
that	alle
merely	arda
abundant	bula
Minang	kaya
hand	mara
hand	murra
grass tree	balga
jilgi	marran
aunt	kayan
buttock	tanin
woman	yaga
uncle	canoni
dog	dooda
kangaroo	yonga
white	wadjela
Minang	kaia
honey	nguk
down	beena
head	Kāāt
stand	yugow
track	balgang
I	nganya
understand	kattige
fight	bakadju
becoming	abbin
charcoal	kalaeenak
zamia	dyundo
spirit	lilgie
stomach	cobbleup
drink	gabanong
jump	tandaban
climb	tandanatiaculo
palpitate	tanetauara
surround	engallang
narduk	arduc
whale	mamang
heart	koort
