willow	k'at
water	chuu
mouse	dlwęą
house	kwą
snake	nǫjuuz̲e
mink	taadle
grizzly bear	dleye
elk	z̲ez̲uulh
mountain	t̲s̲e
bee	at̲s̲’aahnuu
squirrel	dasdléé
fish	lhuuge
earth	jige
moon	hatl’ediięzaa
lake	męge
deer	yaatune
goose	ghaje
moose	hadaa
tree	dachin
hand	ęlaaʔ
sand	tlez̲e
skunk	nǫzę
lynx	nǫdaa
coyote	ch’ǫne
