woman	kol
mosquito	कान
deer	चित्र
burn	oṭṭi
kill	pȧda
water	joppo
ear	चिगम
eye	जिकित
hand	बक्कॉ
bone	पाकटॉ
skin	टोल
intestines	कॉटॉर
liver	गद्रि
blood	चॉर्टॉ
hair	कुगुसॉ
nose	चोन
mouth	कग्गॉ
egg	कलॅन
meat	काव
fat	तेम
snake	कोगॉ
louse	केपॅ
fish	चान
water	जॉप्पॉ
salt	चोपॉ
thunder	चलॉम्क
big	भक्क
tree	आड्डॉ
hill	बल्ल
mango	बटकॉ
tomato	भॅद्र
snail	भोरि
bird's nest	बुदलिच
navel	बुमलि
hot	चच्कॉ
echo	चहर्क
centipede	चारुमारु
hunger	चाटॉ
axe	चॅक्टॉ
night	चिर्य
pig	चॉगॉम
muskrat	चुटलि
rooster	दरय
interest	देडि
frog	डॅड्ड
strong	धट्टॉ
bud	दॅति
skeleton	डॉढॉर
riverbank	धप्रि
wall	ढॅपि
paw	डिंब
sleep	दिस्कॉम
puddle	डॉब्ल
marigold	डॉफ्फु
buttock	डॉफॉर
bee	ऍप्ट
house	आवार
beehive	ऍप्टावार
penis	गटाल
brain	गूडॉ
horse	māv
