the	ο
Tsakonian	Α
he	νι
hour	ούρα
mother	μάτη
mouth	τθούμα
they	σι
you	εμού
τσ̌αι	τσαι
glass	ποκήρι
are	είνι
woman	γουναίκα
sea	θάσσα
are	έσι
well	καούρ
wolf	λιούκο
daughter	σάτη
dog	κούε
night	νιούτθα
water	ύο
I	εζού
you	εκιού
us	νάμου
you	νιούμου
ox	βου
then	απέ
above	τάνου
down	κάτου
today	σάμερε
day	αμέρα
yesterday	επφέρζι
mountain	σχίνα
grape	βότσχε
cow	κούλικα
root	σχίντα
apple	μάλι
