women	பெண்டிர்
tree	𑀫𑀭𑀫𑁆
moonlight	𑀦𑀺𑀮𑀯𑀼
land	𑀦𑀸𑀝𑀷𑁆
mother	𑀅𑀷𑁆𑀷𑁃
friend	𑀢𑁄𑀵𑀺
forehead	𑀦𑀼𑀢𑀮𑁆
tusk	𑀓𑁄𑀝𑀼
path	𑀆𑀶𑀼
adorn	𑀅𑀡𑀺
glow	𑀘𑀼𑀝𑀭𑁆
obtain	𑀧𑁂𑀶𑀼
moonlight	𑀦𑀺𑀮𑀸
heart	𑀦𑁂𑀜𑁆𑀘𑀼
heart	𑀦𑁂𑀜𑁆𑀘𑀫𑁆
goodness	𑀦𑀮𑀫𑁆
virginity	𑀦𑀮𑀷𑁆
desirable	𑀓𑀸𑀫𑀭𑁆
poetry	𑀘𑁂𑀬𑁆𑀬𑀼𑀴𑁆
sorrow	𑀧𑁃𑀬𑁆𑀬𑀼𑀴𑁆
washerwoman	𑀧𑀼𑀮𑁃𑀘𑁆𑀘𑀺
doing	𑀘𑁂𑀬𑁆𑀯𑀼
doing	𑀘𑁂𑀬𑁆𑀧𑀼
greatness	𑀧𑁂𑀭𑀼𑀫𑁃
difficulty	𑀅𑀭𑀼𑀫𑁃
courage	𑀆𑀡𑁆𑀫𑁃
possession	𑀉𑀝𑁃𑀫𑁃
livelihood	𑀯𑀸𑀵𑁆𑀓𑁆𑀓𑁃
action	𑀘𑁂𑀬𑁆𑀓𑁃
union	𑀧𑀼𑀡𑀭𑁆𑀘𑁆𑀘𑀺
action	𑀘𑁂𑀬𑁆𑀢𑀺
wish	𑀇𑀘𑁆𑀘𑁃
stick	𑀢𑀡𑁆𑀝𑀼
offering	𑀧𑀮𑀺
year	𑀯𑀭𑀼𑀝𑀫𑁆
hog	𑀯𑀭𑀸𑀓𑀫𑁆
cowherd	𑀓𑁄𑀯𑀮𑁆
amrita	𑀅𑀫𑀼𑀢𑀫𑁆
amrita	𑀅𑀫𑀺𑀭𑁆𑀢𑀫𑁆
circle	𑀯𑀺𑀭𑀼𑀢𑁆𑀢𑀫𑁆
hair	𑀉𑀭𑁄𑀫𑀫𑁆
wealth	𑀢𑀷𑀫𑁆
firmness	𑀢𑀺𑀶𑀫𑁆
world	𑀉𑀮𑀓𑀫𑁆
protection	𑀏𑀫𑀫𑁆
discus	𑀘𑀓𑁆𑀓𑀭𑀫𑁆
divine	𑀢𑀺𑀯𑁆𑀯𑀺𑀬𑀫𑁆
bhakti	𑀧𑀢𑁆𑀢𑀺
army	𑀘𑁂𑀷𑁃
river	𑀦𑀢𑀺
honey	𑀫𑀢𑀼
aphorism	𑀘𑀽𑀢𑁆𑀢𑀺𑀭𑀫𑁆
thread	𑀦𑀽𑀮𑁆
poem	𑀓𑀯𑀺
grammar	𑀇𑀮𑀓𑁆𑀓𑀡𑀫𑁆
poetry	𑀇𑀮𑀓𑁆𑀓𑀺𑀬𑀫𑁆
day	𑀦𑀸𑀴𑁆
rare	𑀅𑀭𑀼
fast	𑀓𑀝𑀼
big	𑀇𑀭𑀼
big	𑀧𑁂𑀭𑀼
long	𑀦𑁂𑀝𑀼
new	𑀧𑀼𑀢𑀼
name	𑀧𑁂𑁆𑀬𑀭𑁆
foot	𑀅𑀝𑀺
jewel	𑀇𑀵𑁃
mountain	𑀯𑀭𑁃
anklet	𑀘𑀺𑀮𑀫𑁆𑀧𑀼
lotus	𑀓𑀫𑀮𑀫𑁆
eye	𑀓𑀡𑁆
elephant	𑀬𑀸𑀷𑁃
name	𑀦𑀸𑀫𑀫𑁆
earth	𑀫𑀡𑁆
water	𑀦𑀻𑀭𑁆
hot	𑀯𑁂𑁆𑀫𑁆
tear	𑀓𑀡𑁆𑀡𑀻𑀭𑁆
hog	𑀧𑀷𑁆𑀶𑀺
heart	𑀦𑁂𑁆𑀜𑁆𑀘𑀫𑁆
snake	𑀧𑀸𑀫𑁆𑀧𑀼
blue lotus	𑀓𑀼𑀯𑀴𑁃
house	𑀇𑀮𑁆
mother	𑀢𑀸𑀬𑁆
word	𑀘𑁄𑁆𑀮𑁆
garland	𑀫𑀸𑀮𑁃
mansion	𑀦𑀓𑀭𑁆
daughter	𑀫𑀓𑀴𑁆
umbrella	𑀓𑀼𑀝𑁃
fish	𑀫𑀻𑀷𑁆
big	𑀫𑀸
tiger	𑀧𑀼𑀮𑀺
Arabian jasmine	𑀫𑀼𑀮𑁆𑀮𑁃
knowledge	𑀜𑀸𑀦𑀫𑁆
parrot	𑀓𑀺𑀴𑀺
peacock	𑀫𑀜𑁆𑀜𑁃
