river	ab
tail	bot
on	for
time	tan
definite article	sin
towards	fri
through	tre
ox	dam
lip	bus
buzz	dord
to	co
stoat	es
fairy hill	side
start	prep
if	maní
victory	cob
pet	peta
régime	diet
sire	data
bright	solus
son	mac
man	fer
chariot	cul
hero	cur
cub	cana
lightless	dolus
other	aile
calmness	ciúnas
lung	scam
bow	boga
children	clann
full	lán
level surface	urlár
blood	fuil
name	ainm
dog	matad
rough	corrach
strong	calma
new	núa
friend	cara
Scottish	Albanach
king	rí
god	Dagda
Cethern	Cethern
then	dana
rose	rós
person	duine
knowledge	fis
good fortune	sonus
dog	cú
welcome	fáilte
door	dorus
good luck	ád
band	ceithern
ripe	abaid
at	oc
person	persa
leaf	duille
sept	cliathaire
road	slige
rigid	dúr
Briton	Britt
book	cín
stick	maide
yoke	cuing
mud	láp
wonderful	amra
scab	gerb
pain	pían
flavour	blas
all	uile
heat	grís
carry	beirid
and	ocus
fear	ecla
pig	mucc
star	rétlu
fifth	cóiced
youth	gilla
death	bás
seaweed	femm
breast	cích
fawn	oisín
baby	lenbán
bed	sceng
frost	reód
hostel	bruiden
tasty	blasta
not	nem-
music	ceól
labourer	bachlach
seven	secht
cradle	clíabán
hunger	occoras
carnal	collaide
bell	cloc
seagull	faílenn
drink	deog
relationship	gáel
queen	rígan
clover	semar
blessing	bennacht
white	gabor
Welsh	Bretnach
darkness	dorchatas
dungeon	tech talman
Ireland	Ériu
hour	úar
time	aimser
dog	madrad
wolf	cú allaid
wolf	fáel
wolf	fáelchú
wolf	sídach
beagle	gadar
badger	brocc
short	gerr
bear	mathgamain
lordship	tigernas
populous	túathach
chief	úachtarán
eagle	ilar
liar	brécaire
youth	ócán
youth	ógán
Angus	Aengus
very white	abbán
singing	amrán
vessel	muide
toy	áillecán
twig	cáelach
dove	colmnat
beehive	bechlann
sweetheart	lennán
lovemaking	lennánacht
beard	fésóc
bearded	fésócach
pepper	pipur
grave	úag
strife	cellach
eye	derc
infant	nóedenán
crying	scréchach
cry	scréchaid
witchcraft	amaidecht
flowery	bláthmar
nones	nóin
find out	finnaid
blood-red	flann
skin	lethar
shield	scíathach
shield	scíathaire
shield	scíathrach
serf	botach
Monday	día lúain
