I	aku
moon	bulan
four	empat
child	anak
handsome	bagus
iron	besi
jequirity	saga
dog	asu
yellow	koning
fire	api
woman	nina
rice	beras
mother	ina
roast	panggang
green	ējo
white	putiq
sappan	sepang
water	aiq
root	akah
needle	jarum
tin	timah
grey hair	uban
Cassia alata	gelinggang
grain	garem
world	dunie
dog	ᬳᬲᬸ
bald	ᬩᬸᬢᬓ᭄
