sugar	suka
bear	pea
two	lua
cow	pipi
grey	hina
parent	matua
religion	lotu
manner	faka
first	mu'a
woman	fafine
airplane	vakalele
man	tagata
Wallis Island	'Uvea
king	lavelua
glottal stop	fakamoga
macron	fakaloa
gardenia	tiale
noble	'aliki
west	hihifo
east	hahake
Catholic	Katolika
culture	aga'ifenua
complain	hahanu
newspaper	sulunale
newspaper	musipepa
jam	siamu
jam	kofitula
French Republic	Lēpupilika Falani
