haunch	an
you	au
God	es
I	ä
six	ege
I	aj
water	kul
hotness	pentu
pine	aja
today	iŋni
door	éjt́ōl
door	ejtol
door	ejt́ol
door	éjtōl
door	itel
wife	bɨqam-álte
wife	kekm-elte
tongue	áĺap
mother	b́aḿa
mother	amä
mother	ajame
tongue	elep
sleep	áqodoŋ
think	anɨpänun
rotten	bar-oje
six	ögga
six	ɨga
sixty	ög-thūŋ
we	aiŋ
soon	atɨ
field	eol
forget	anči-gɨtpuju
God	eš
