four	haka
tree	hais
five	koro
color	kalan
house	oms
female	taras
ten	disi
fish	ǁaub
elephant	ǂkhoab
buffalo	ǀgaob
leopard	ǀgarub
rhinoceros	ǃnawas
triangle	ǃnonaǁhôabes
dog	arib
continent	ǃhuǁareb
ocean	hurib
flower	ǃkhās
three	ǃnona
car	audos
woman	darekhues
water	ǁgammi
one	ǀgui
two	ǀgam
six	ǃnani
seven	hû
eight	ǁkhaisa
nine	khoese
root	ǃnomab
talk simultaneously	ǀgama
doubt	ǀgomas
doubt	ǀgomab
yellow	ǃhūni
green	ǃgam
blue	ǃhoa
black	ǂnū
