I	aku
moon	bulan
why	manu
feces	tei
five	lima
chin	sangat
eye	mata
deer	usa
page	elad
face	rupa
mango	mangga
hen	upa
chicken	manuk
thank you	selamat
fly	langaw
tea	kapi
ear	telinga
neck	lieg
but	temed
banana	punti
chicken flea	uman
milk	gatas
bone	tulang
whose	kinu
man	lelaki
watch	relu
frog	baak
brother-in-law	bayaw
mudfish	dalag
path	dalan
cockroach	ipes
Tuesday	Martis
mine	daken
prophet	tarus
where	embe
onion	sibuyas
animal	ayup
corn	meis
windy	mereres
correct	sugat
finger	elima
what	enu
ant	serem
who	sinu
night	gebi
money	pirak
four	epat
tea	tsaa
arm	lengen
here	atue
water	danum
yesterday	kapun
horn	tanduk
woman	libun
that	atin
woodborer	bukbuk
lizard	seksek
sister-in-law	ipag
spur	taad
tooth	nipen
ginger	luya
saucer	tapak
name	ngaran
cat	kusing
worm	lunggati
liver	atey
day	eldew
now	tiban
tomorrow	diklem
last night	kegebi
afternoon	mapun
day after tomorrow	keduanan
noon	ugtu
morning	meriklem
dawn	kukueldew
twilight	maapun-apun
day before yesterday	kineduanan
Chinese cabbage	pitsay
cassava	bugbubug
eggplant	terung
tomato	kemantis
hand	keremut
hair	buek
forehead	peges
foot	tiked
chest	debdeb
child	yengyegang
child-in-law	menempil
relative	kekempungan
townmate	rurungan
enemy	kebanta
baby	memulek
parent-in-law	pengibanan
nephew	kemenaken
spouse	esawa
offspring	yegang
guava	beyabas
pineapple	sempitukar
papaya	empayas
sugar	sekar
meat	uned
crab	kerewasan
dog	ireng
carabao	karbew
chick	duruy
pig	biyek
mosquito	tegnek
butterfly	babang
termite	aney
worm	uled
tick	kenit
dragonfly	keririndi
centipede	elupian
bee	bungbuyung
insect	reramu
painful	mesakit
body	bilug
back	likud
stomach	beteng
shoulder	ebaga
rib	tekgang
nose	erung
nail	kuleb
knee	tukud
when	kengyan
how	enukuan
this	itue
that	itie
door	lelengewan
window	penendewan
delicious	merasa
good morning	menungang meriklem
beautiful	menunga
good afternoon	menungang mapun
good evening	menungang gebi
good noontime	menungang tengaldew
question	ingkut
beverage	inumen
vegetable	tutulnuen
house	benwa
week	linggu
year	teun
every day	eldew-peldew
later	leyd
mouse	kumesubung
mouse	belabew
firefly	keninipet
cricket	tempesuki
beetle	tengengang
beetle	linggeung
person	taaw
full	mebiag
newspaper	bebetsaen
market	tetebuan
restaurant	pegkenkanan
Sunday	Linggu
Monday	Lunis
Wednesday	Miyirkulis
Thursday	Huibis
Friday	Biyirnis
Saturday	Sabadu
cold	meramig
typhoon	begyu
hot	meynit
because	sabab
time	lisag
seldom	merahang
always	meserit
sometimes	sengmenu
riddle	delahitan
hole	delang
placenta	tamuni
mast	taruk
