bread	نان
mouth	دم
flower	گل
world	دنیا
house	مال
heart	دل
God	خدا
head	سر
death	مرگ
horse	اسب
rooster	خروس
beauty spot	خال
thigh	ران
drum	طول
henna	حنا
knife	کارد
west	غرب
eye	چم
green	سوز
neck	مل
tongue	زوان
life	گیان
good	خاس
open	واز
alone	تەنیا
spring	ڤەھار
wheat	گنم
girl	دت
star	ئاسارە
silk	اوریشم
day	ڕووژ
tooth	دنو
brother	برا
rain	ڤاران
woman	ژەن
