turkey cock	kolo
deer	isu
moon	yo̱ó
snake	ko̱ó
chili pepper	yaꞌá
rain	sa̱ví
cloud	vi̱kó
bat	chináká
toad	sápo
bean	ntuchí
squirrel	ntikuáñu
duck	pató
armadillo	yakuín
axe	yácha
shovel	pála
hammer	martíyo
nail	klávo
hawk	ta̱sún
shirt	kotóo
baseball cap	kachúcha
sandal	nti̱xán
table	mésa
skunk	lírú
coyote	nti̱váꞌyu
raccoon	máꞌa̱
nose	xi̱tin
dog	tǐna
pickaxe	píko
mouse	tiín
scorpion	ti̱suꞌma̱
belt	síncho
hummingbird	ntioꞌo
owl	ti̱mi
avocado	tǐchi
turkey hen	tiu̱ún
cat	chítun
