five	lima
pus	nana
thirsty	waw
ash	avo
corn	mais
eye	mata
chin	tumid
ranom	danom
mother	ina
breathe	anges
mountain	tukun
heart	taul
headgear	vakul
rice	palay
moss	xomot
ranom	ranom
broth	asuy
year	awaan
cloud	demdem
fish	daing
fish	amung
sweet potato	wakay
yesterday	kakuyab
house	vahay
buttocks	atang
afternoon	makoyab
dog	chitu
Manila hemp	avaka
egg	ottioy
rain	timoy
lightning	chidat
blanket	ayob
night	ahep
thunder	aduy
spider	hahawa
flower	savusavung
rooster	savungan
jaw	sanyi
shoe	tukap
bone	tuhang
throat	tetehnan
pillow	hangnan
eyebrow	chiray
store	dakaw
heaven	hanyit
anus	dachan
back	dichud
brain	otek
cigarette	lateb
