bee	amu
chief	saqamaw
shark	siglati
clam	e's
shad	samu
caribou	qalipu
smallpox	lapigot
water	samqwan
marten	apistanewj
hare	apli'gmuj
squirrel	atu'tuej
cat	gajuewj
frog	sqolj
salamander	taqtaloq
kitten	gajuewji'j
muskrat	gi'gwesu
otter	giwnig
beaver	gopit
piglet	gulgwi'ji'j
pig	gulgwi's
mink	jiagewj
sheep	jijgluewj
bull	latto'law
lamb	jijgluewji'j
rooster	lape'w
deer	lentug
dog	lmu'j
puppy	lmu'ji'j
porcupine	matues
bear	mui'n
bear cub	mui'ne'j
cat	gajue'wj
cat	miawj
kitten	gajue'wji'j
rooster	nape'w
bull	natto'law
bull	matto'law
deer	lntug
dog	nmu'j
puppy	nmu'ji'j
frog	atagali
horse	te'sipow
foal	te'sipowji'j
moose	tia'm
moose	tia'mu'j
heron	tmgwatignej
great horned owl	ti'tigli
blue jay	tities
domestic	tagali'j
domestic	tagali'ji'j
goose	sulumgw
bird	sisip
parrot	pelagwet
cormorant	mqatawapu
bird	jipji'j
sandpiper	jijigwatej
loon	gwimu
owl	gu'gu'gwes
chicken	go'qoli'gwej
chick	go'qoli'gweji'j
raven	gjiga'qaquj
crow	ga'qaquj
eagle	gitpu
robin	gapjagwej
turkey	ap'tapegiejit
woodpecker	apo'qatej
caterpillar	engejit
mosquito	glmuej
nit	gna'ji'j
spider	go'gwejij
spider web	go'gwejijua'pi
spider web	awo'wejituo'pi
maggot	gulpatgij
grasshopper	ja'wa'lie'j
grasshopper	piptoqunge'wj
grasshopper	soqomgwewj
insect	jujij
insect	juji'ji'j
butterfly	mimiges
bat	na'jipugtaq'nej
bat	na'jipugtaqanej
bat	na'gipugtaqanej
cricket	pugto'guome'j
crab louse	sasqaiejit
honey ant	sismo'qone'j
leech	squ
daddy long-legs spider	sulieweie'j
bedbug	tepine's
flounder	anagwe'j
trout	atoqwa'su
smelt	gaqpesaw
eel	ga't
suckerfish	gomgwej
hook	mgign
lobster	jagej
oyster	mntmu
oyster	tmtmu
shad	msamu
cod	peju
jellyfish	sasap
scallop	sasqale's
scallop	saqsgale's
grilse	taqawan
minnow	so'qomu'j
squid	seta'su
snake	mtesgm
turtle	migjigj
star	gloqowej
blackberry	ajioqjemin
roe	nijinj
weir	nisaqan
hare	wapus
story	agnutmaqan
snowshoe	aqam
swamp	gloqiej
seagull	gloqontiej
quiver	pitaqan
stop	naqa'si
stop	naqa'tieg
stop	naqita'ieg
stop	naqa'sit
stop	enqa's'g
stop	enqa'tigl
stop	enqa'ta'ql
