ᨆᨗ	mi
language	bicara
thank you	terima kasih
fish	bale
louse	utu
dog	asu
paddy	ase
father	ambo
tomorrow	baja
fire	api
day	esso
mother	ina
lava	lapa
eight	arua
house	bola
land	tana
can	ulle
Buginese	ᨅᨔ ᨕᨘᨁᨗ
Lontara	ᨒᨚᨈᨑ
joint	lappa
one	seddi
two	ᨉᨘᨓ
prayers	paddoangeng
prayers	ᨄᨉᨚᨕᨂᨛ
clever	ᨆᨌ
lapa	ᨒᨄ
democracy	amaradekangeng
free	ᨆᨑᨙᨉᨀ
thief	tollolang
democracy	ᨕᨆᨑᨙᨉᨀᨂᨛ
iron	bessi
seven	ᨄᨗᨈᨘ
Sunday	ᨕᨛᨔᨚ ᨕᨖᨕᨗ
Monday	ᨕᨙᨔᨙᨊᨙ
Tuesday	ᨔᨒᨔ
Wednesday	ᨕᨑᨅ
Thursday	ᨀᨆᨗᨔᨗ
Friday	ᨍᨘᨆ
Saturday	ᨔᨈᨘ
water	wae
only	-mi
white	ma-pute
big	wessa
water	ᨓᨕᨙ
nine	asera
sulfur	belérang
dog	ᨕᨔᨘ
mother	ᨕᨗᨊ
husband	lakkai
green	kudara
language	ᨅᨗᨌᨑ
north	awaŋ
one	ceddi
none	dégaga
water	uae
neck	ellong
name	aseng
moon	uleng
scrotum	lase'
