bike	bici
nine	iin
turkey vulture	loti
guitar	guitarra
pencil	lapi
Sunday	domingu
toilet	bañu
hand truck	diablito
good	weno
water	ndute
tree	yutnu
frog	saꞌva
bus	atovus
oil	asiti
alcalde	arkante
earthquake	ñutnaa
bit	frenu
typewriter	yutnu tée letra
broom	yutnu ndaxtaa
broom	skova
Wednesday	miexkolex
raccoon	maꞌa
black vulture	loti ñuꞌu
gray fox	ñukuii
Flag Day	Viko Saꞌma Ii Ñukoꞌyo
flag	saꞌma ii Ñukoꞌyo
Nana Rosariu	Viko Nana Rosariu
language	saꞌan
Mixtec	saꞌan suꞌva
bird	lasaa
yuu	yuu jaxi yaꞌa
rabbit	la-iso
agave	yavi tnuu
nostril	yavi xitni
nose	xitni
Cooper's hawk	xiꞌña naꞌnu
sharp-shinned hawk	xiꞌña vivo
nine-banded armadillo	yakun
mountain lion	ndikaꞌa
backhoe	máquina ndaꞌa chanku
Santa María Yosoyúa	layuꞌva
Magdalena Peñasco	saꞌya la-ina
San Mateo Peñasco	lateu
somewhere else	in-ka lado
San Andrés Chicahuaxtla	latnunu
Sección Primera	Barriu Kaꞌnu
bicycle	caballu kaa
Palm Sunday	Domingu Xamu
tobacco	yuku inu
fish	tiaka
guava	tikuandikin
