bridge	bont
this	ي
I	הו
Qur'an	قرآن
day	دیه
heart	قُرَجّون
heart	كوراسون
son	فيليه
kill	ماتاري
love	اَمارِ
name	نُيمْنِ
friend	حَبيبِ
face	فاج
other	وطْرِ
January	يَنّايْرْ
juice	شوقّه
salted	شّوشّْ
bedbug	جّيمْجِّ
each	قاذة
night	نوخْطِ
know-it-all	شّولُ
matter	مَطْرُينة
of	ذي
happy	ليطه
Lord	سيدِ
I	عَاوْ
light	ليُ
you	طو
you	طي
dawn	البا
staircase	إسقللايرة
canary grass	البيست
aljamiado	العجمية
cotton	الغودون
love	اماري
love	اموري
eye	ايلجو
Guadalajara	ואד אל חגארה
friend	حَبيبَة
