I	mi
this	li
snake	topo
official	babu
angry	ero
me	ma
bird	noha
mother	kaja
Andamanese foreigner	innen
banana	čonel
tree	taːŋ
sky	paŋnaŋ
water	iŋ
helicopter	čokogere
home	čaɖɖaː
elephant	ʈʰehuːʈʰu
sea	ullel
honey	ləːw
plastic bottle	olo olo
flashlight	ʈorči
not	naɖem
sad	ijan-piʈʰi
mouth	ən-imun
very many	mala ʈʰuhumə
leg	ən-ipo
clitic	ɖi
make	woǰoʈʰo
clitic	ʈʰi
frond	tʰujijə
pandanus palm indigenous	tʰaɖo
huʈʰu ʈʰuhumə	huʈʰu
short	učəhə
shortest	ʈomono
