owl	ꠙꠦꠌꠣ
tiger	ꠛꠣꠊ
rickshaw	ꠞꠤꠡꠇꠣ
sharbat	ꠡꠞꠛꠔ
desire	ꠁꠌ꠆ꠍꠣ
hilsa	ꠁꠟꠤꠡꠣ
brick	ꠁꠐ
again	ꠢꠤꠞꠛꠣꠞ
lamp	ꠛꠣꠔ꠆ꠔꠤ
grape	ꠀꠋꠉꠥꠞ
ring	ꠀꠋꠑꠤ
there is	ꠀꠍꠦ
cat	ꠛꠤꠟꠣꠁ
vigilant	ꠢꠎꠣꠉ
bad	ꠛꠥꠞꠣ
bad	ꠛꠣꠖ
nasty	ꠈꠛꠤꠍ
you	ꠀꠙꠘꠦ
lamp	ꠛꠣꠔꠔꠤ
okay	ꠀꠁꠌꠍꠣ
dark	ꠀꠘꠗꠣꠁꠞ
rat	ꠃꠘꠖꠥꠞ
where	ꠈꠣꠘꠧ
where	ꠇꠥꠘꠈꠣꠘꠧ
where	ꠇꠥꠘꠣꠘꠧ
where	ꠇꠤꠀꠘꠧ
where	ꠇꠥꠀꠁ
where	ꠇꠂ
beautiful	ꠡꠥꠘ꠆ꠖꠞ
die	ꠝꠞꠣ
hear	ꠢꠥꠘꠣ
catch	ꠗꠞꠣ
dove	ꠓꠥꠙꠤ
gooseberry	ꠄꠃꠟꠣ
baby	ꠢꠞꠥꠔꠣ
small	ꠢꠥꠞꠥ
small	ꠢꠞꠥ
nowadays	ꠀꠁꠎꠇꠣꠁꠟ
today	ꠀꠁꠎ
yesterday	ꠇꠣꠁꠟ
ant	ꠙꠤꠙꠠꠣ
mouse	ꠛꠣꠔ꠆ꠔꠤꠀꠞꠣ
mouse	ꠢꠣꠗꠣ-ꠟꠥꠜꠣ
leafy vegetable	ꠢꠣꠃ
world	ꠖꠥꠘꠤꠀꠁ
salat	ꠘꠣꠝꠣꠎ
dung	ꠉꠥꠙꠞ
man	ꠝꠣꠘꠥꠡ
your	ꠀꠙꠘꠣꠞ
you	ꠔꠥꠝꠤ
student	ꠍꠣꠔ꠆ꠞ
who	ꠇꠦ
whose	ꠇꠣꠞ
tall	ꠟꠣꠝ꠆ꠛꠣ
sari	ꠢꠣꠠꠤ
small	ꠛꠣꠞꠤꠇ
Jerusalem	ꠄꠞꠥꠡꠣꠟꠦꠝ
ladder	ꠌꠃꠇꠣꠝ
depth	ꠝꠥꠠ
river	ꠉꠣꠋ
nettle	ꠌꠥꠔꠞꠣ
nettle	ꠌꠥꠔꠞꠣ ꠙꠣꠔꠣ
rainbow	ꠙꠣꠘꠤꠌꠣꠇ
shrimp	ꠁꠌꠣ ꠝꠣꠍ
