1	၁
Wikipedia	ဝီကီပိဒိယ
Myanmar	မြန်မာ
dictionary	အဘိဓာန်
Burma	ဗမာ
Sunday	တနင်္ဂနွေ
Monday	တနင်္လာ
Mars	အင်္ဂါ
Wednesday	ဗုဒ္ဓဟူး
Thursday	ကြာသပတေး
Venus	သောကြာ
Saturday	စနေ
colonial	တက္ကသိုလ်
January	ဇန်နဝါရီ
February	ဖေဖော်ဝါရီ
April	ဧပြီ
May	မေ
June	ဇွန်
July	ဇူလိုင်
August	ဩဂုတ်
September	စက်တင်ဘာ
October	အောက်တိုဘာ
November	နိုဝင်ဘာ
December	ဒီဇင်ဘာ
Indian	ကုလား
horse	မြင်း
Myanmar	ပြည်ထောင်စုမြန်မာနိုင်ငံတော်
egg	ဥ
bee	ပျား
bird	ငှက်
0	၀
2	၂
3	၃
4	၄
5	၅
6	၆
7	၇
8	၈
9	၉
island	ကျွန်း
wine	ဝိုင်
shore	ကမ်းခြေ
dog	ခွေး
wait	ခ
night	ည
get up	ထ
father	ဘ
nature	စရိုက်
world	လောက
Venus	သောကြာဂြိုဟ်
I	ကျွန်တော်
I	ကျနော်
I	ကျွန်မ
I	ကျမ
I	ငါ
you	ခင်ဗျား
she	သူမ
he	သူ
teacher	ဆရာမ
student	ကျောင်းသူ
student	ကျောင်းသား
come	လာ
here	ဒီမှာ
sit	ထိုင်
there	ဟိုမှာ
eat	စား
drink	သောက်
write	ရေး
read	ဖတ်
Buddha	ဘုရား
market	ဈေး
school	ကျောင်း
गुदा	ဘူတာရုံ
museum	ပြတိုက်
library	စာကြည့်တိုက်
ဆေးရုံ	ဆေးရုံ
cinema	ရုပ်ရှင်ရုံ
this	ဒါ
that	အဲဒါ
yes	ဟုတ်ကဲ့
and	နဲ့
true	ဟုတ်
calabash	ဘူး
madam	ဒေါ်
number	နံပါတ်
one	တစ်
three	သုံး
seven	ခုနစ်
eight	ရှစ်
ten	တဆယ်
love	ချစ်
language	ဘာသာစကား
Australia	ဩစတြေးလျ
mattock	ပေါက်တူး
graveyard	တစပြင်
graveyard	သုသာန်
graveyard	သင်္ချိုင်း
plant	အပင်
ဘာသာဗေဒ	ဘာသာဗေဒ
language	စကား
English	အင်္ဂလိပ်
Russia	ရုရှား
country	နိုင်ငံ
China	တရုတ်
language	ဘာသာ
ကြိုဆိုပါ၏	ကြိုဆိုပါ၏
နိုင်ငံ	အိန္ဒိယ
-ess	-မ
Buddha	ဗုဒ္ဓ
dharma	ဓမ္မ
river	မြစ်
book	စာအုပ်
spring	နွေဦးပေါက်
summer	နွေရာသီ
autumn	ဆောင်းဦး
winter	ဆောင်း
moon	လ
mute	အ
daughter	သမီး
liver	အသည်း
gall	သည်းခြေ
ten	ဆယ်
feces	ချေး
tongue	လျှာ
near	နီး
borrow	ငှား
milk	နို့
cow	နွား
snot	နှပ်
mole	မှဲ့
turkey	ကြက်ဆင်
woman	မိန်းမ
man	ယောက်ျား
man	လူ
child	ကလေး
wife	မယား
husband	လင်
mother	အမေ
father	အဖေ
mother	အမိ
father	အဖ
louse	သန်း
you	နင်
this	ဒီ
snake	မြွေ
that	ဟို
that	ထို
big	ကြီး
big	ကြီးမား
what	ဘာ
long	ရှည်
when	ဘယ်တော့
when	ဘယ်တုန်းက
wide	ကျယ်
wide	ကျယ်ဝန်း
all	အားလုံး
thick	ပျစ်
thick	ထူထဲ
worm	သန်ကောင်
duck	ဘဲ
goose	ငန်း
many	များ
heavy	လေးလံ
some	အချို့
small	သေး
small	နုပ်
little	နည်း
other	အခြား
short	တို
narrow	ကျဉ်း
narrow	ကျဉ်းကျပ်
tree	သစ်ပင်
forest	တော
forest	သစ်တော
stick	တုတ်
fruit	အသီး
fruit	သစ်သီး
seed	အစေ့
leaf	အရွက်
root	အမြစ်
bark	အခေါက်
grass	မြက်
elder brother	အကို
younger sister	ညီမ
elder sister	အမ
rope	ကြိုး
skin	အရေ
meat	အသား
blood	သွေး
bone	အရိုး
fat	အဆီ
horn	ဦးချို
tail	အမြီး
feather	အတောင်
မြို့	ကွာလာလမ်ပူ
hair	ဆံပင်
hair	အမွေး
ear	နားရွက်
eye	မျက်စိ
nose	နှာခေါင်း
mouth	ပါးစပ်
fingernail	လက်သည်း
freedom	လွတ်လပ်ခွင့်
bad	ဆိုး
bed	အိပ်ရာ
canine tooth	စွယ်
arm	လက်
I	ကျုပ်
we	တို့
we	ကျုပ်တို့
you	နင်တို့
they	သူတို့
they	သူများ
where	ဘယ်
cool	အေး
earth	မြေ
crack	အက်
pya	ပြား
who	ဘယ်သူ
leg	ခြေထောက်
knee	ဒူး
kneecap	ဒူးခေါင်း
wing	တောင်ပံ
belly	ဗိုက်
guts	အူ
neck	လည်ပင်း
back	ကျော
breast	ရင်ဘတ်
heart	နှလုံး
bite	ကိုက်
spit	ထွေး
vomit	အော့
vomit	အန်
vomit	အော့အန်
blow	မှုတ်
breathe	ရှူ
laugh	ရယ်
see	တွေ့
see	မြင်
know	သိ
think	ထင်
think	စဉ်းစား
think	တွေး
smell	နမ်း
fear	ကြောက်
sleep	အိပ်
die	သေ
die	ဆုံး
die	ကွယ်လွန်
kill	သတ်
kill	သတ်ဖြတ်
quarrel	ရန်ဖြစ်
hunt	အမဲလိုက်
hit	ရိုက်
cut	ညှပ်
split	ခွဲ
naga	နဂါး
Persian Gulf	ပါရှန်ပင်လယ်ကွေ့
stab	ထိုး
dig	တူး
swim	ရေကူး
fly	ပျံ
walk	လျှောက်
walk	လမ်းလျှောက်
lie	လှဲ
stop	ရပ်
turn	လှည့်
turn	ချိုး
fall	ကျ
give	ပေး
hold	ကိုင်
squeeze	ညှစ်
rub	ပွတ်
pull	ဆွဲ
push	တွန်း
throw	ပစ်
tie	ချည်
count	ရေတွက်
speak	ပြော
say	ဆို
bear	ဝံ
bear	ဝက်ဝံ
ship	သင်္ဘော
play	ဆော့
play	ကစား
float	မျော
star	ကြယ်
water	ရေ
sky	မိုး
lake	အင်း
sea	ပင်လယ်
sea	အဏ္ဏဝါ
salt	ဆား
sand	သဲ
dust	ဖုန်
ice	ရေခဲ
fire	မီး
smoke	အခိုး
ash	ပြာ
burn	ရှို့
burn	လောင်
road	လမ်း
green	စိမ်း
red	နီ
yellow	ဝါ
daytime	နေ့
warm	နွေး
cold	ချမ်း
black	နက်
leopard	သစ်
old	ဟောင်း
old	အို
good	ကောင်း
rotten	ပုပ်
dirty	ညစ်ထည်း
straight	ဖြောင့်
straight	စင်း
round	ဝိုင်း
round	လုံး
sharpen	ချွန်
log	တုံး
handsome	ချော
wet	စို
glass	မှန်
lie	ညာ
order	မှာ
in	၌
in	တွင်
and	နှင့်
if	အကယ်၍
if	လျှင်
because	လို့
because of	ကြောင့်
name	အမည်
cat	ကြောင်
far	ဝေးကွာ
shoulder	ပခုံး
considerate	ညှာ
insect	ပိုး
insect	အင်းဆက်
difficult	ခဲယဉ်း
bank	ဘဏ်
bridge	တံတား
town	မြို့
monkey	မျောက်
peacock	ဒေါင်း
furniture	ပရိဘောဂ
able	စွမ်း
food	ဆွမ်း
spoon	ဇွန်း
finish	ပြီး
comb	ဖြီး
past	ရှေး
မြို့	ရန်ကုန်
မြို့	မန္တလေး
sesame	နှမ်း
hard	မာ
boat	လှေ
brick	အုတ်
sugar cane	ကြံ
interpreter	စကားပြန်
food	စားစရာ
lottery	ထီ
umbrella	ထီး
touch	ထိ
tall	မြင့်
wish	ဆု
thorn	ဆူး
stomach	ဝမ်း
mud	ရွှံ့
far	ဝေး
seep	စိမ့်
exceed	ပို
send	ပို့
coolie	ကူလီ
apple	ပန်းသီး
say	ပေါ့
jasmine	စံပယ်
chicken	ကြက်
bat	လင်းနို့
megabat	လင်းဆွဲ
buy	ဝယ်
Asian common toad	ဖားပြုပ်
nose	နှာ
silver	ငွေ
change	လဲ
အဲဒါဘာလဲ	အဲဒါဘာလဲ
honey	ပျားရည်
novice monk	သာမဏေ
hello	မင်္ဂလာပါ
camel	ကုလားအုတ်
gold	ရွှေ
west	အနောက်
war	စစ်
coffee	ကော်ဖီ
weather	ဥတု
province	ပြည်နယ်
door	ဒွာရ
car	ကား
sugar	သကြား
bottle	ပုလင်း
shoe	ခြေနင်း
room	အခန်း
cigarette	စီးကရက်
cigarette	စီးကလိပ်
key	သော့တံ
beard	မုတ်ဆိတ်
very	အလွန်
mouse	ကြွက်
Laos	လာအို
fragrant	မွှေး
rainbow	သက်တံ
world	ကမ္ဘာ
boat	လှော်ကား
wind instrument	ဒုံမင်း
watchtower	နန်းမြင့်
prosperity	မင်္ဂလာ
sir	ခင်ဗျာ
full stop	။
of	ရဲ့
lesson	သင်ခန်းစာ
that	ဟိုဟာ
