big	be
axe	famaky
hate	mandrafy
hatred	fankahalana
hay	miferin' aina
beginning	andoha
headband	fehy loha
healing	fanasitranana
health	fahasalamana
heap	antonta
hearing	fandrenesana
heart	fonombimena
hearty	be aina
heather species	anjavidy
heating	famanana
sky	lanitra
heavy	mafonja
hectare	hekitara
heifer	vantotr' ombivavy
elevated	dingidingy
hello	haody
help	famonjena
hem	orile
hemisphere	ila betro
hemp	rongony
oblique	azy ireo
purple heron	dangoro
hay	ahimaina
high ground	havoana
highway	lala-masaka
hindrance	ahan-dratsy
hinge	savily
hipbone	ila taola-maoja
hire	fondro
hired	fondroiny
hoard	rakitra
Falco concolor	lavaelatra
hole	gomabe
hollow	harokaty
honey	fandrama
honeycomb	toho-tantely
honeymoon	volan-tantely
hoof	kitro
horizon	faravodilanitra
horoscope	manandro
horseplay	kivazivazy
hospital	hopitaly
hospitality	faham-bahiny
hot	mafana
hot spring	ranomafana
hour	adiny
interior	atitrano
housefly	lalitra
household	ankohonana
how	hoatrinona
howl	manoria
howl	aholo
hum	reondreona
humility	fanetren-tena
hump	trafo
one-hundredth	fahazato
hundredth	ampahazatony
wolf	amboadia
hurricane	tafio-drivotra
hurry	mahamaika
husband	ibaban-tsaiky
serpent	fananimpitoloha
hydrogen	hidirôzenina
hygiene	fitandremam-pahasalamana
hymnbook	fihirana
hyphen	tsipi-panohizana
I	izaho
ice	ranomandry
ichneumon	fanaloka
if	raha tahiny
ignorance	habadoana
ill	farary
illuminate	manazava
illustration	sary amin'ny boky
imagination	fiheverana
simpleton	didery
imitation	fakan-tahaka
imperialism	fanjakazakanabe
importance	tsinontsinona
impossibility	foitra ivoho
imposture	hambo
impression	indrakindrafana
wastefulness	fanankaren-tsirodona
incense	emboka
inch	intsy
incidental	zava-miseho
income	fivelomana
increase	miampy
incurable	tsy azom-panafana
independence	fahaleovan-tena
index	fanondro
sign	famantarana
indigence	foroforo
indigent	miforoforo
industry	taozava-baventy
ineptitude	vozavoza
slack	borabora
inferior	ambaka
inflation	bonabona
informer	paingotra
infusion	ravimboafotsy
injection	tsindrona
injure	mamohehatra
injured	foheharina
ink	ranomainty
inkstand	fitoeran-dranomainty
insect	bibikely
in	anaty
insinuation	endrikendrika
insolence	darondarona
institution	trano fianarana
instruction	fampianarana
instrument	fiasana
insubordination	raban-tsahona
intelligence	fahazavan-tsaina
intended	kasaina
intent	finiavana
intention	fifofoana
international	iraisana
interpret	mandika
false interpretation	dika vilana
interruption	fijanonana
interval	elanelana
large intestine	aky
intrusive	nakanaka
invalid	farofy
invention	famoronana
invertebrate	biby tsy manana taolan-damosina
investigation	hadihady
invitation	fiantsoana
invoice	lazam-bidy
potassium iodide	dirotanty
iodine	iôdy
iron wire	tariby
ironing	fipasohana
rambling	ankola-bolana
irregular	dimbana
confusion	boadaboada
oblique	azy
italian	italianina
itch	hidihidy
jabber	mangedrogedro
jackfruit	ampalibe
spencer	akanjo baliaka
January	janoary
jaundice	angorosy
javelin	raoka
jaw	valanorano
jawbone	taolam-balanorano
jesting	hatsikana
jet	fantsitsitra
jewelry	firavaka
join	mamitrana
joist	rairain-drihana
joke	haihay
jostle	mandronjina
judge	andriambaventy
July	jolay
junction	sakeli-drano
jungle	ala mikitroka
junior	zandry
splendor	avanavana
keeping	fitehirizana
kerosene	solitany
kestrel	hitsikitsika
key	fanala gadra
khaki	volontany
kidney	voankena
kill	mahafaty
kilogram	kilôgrama
kilometer	kilaometatra
monarch	andriamanjaka
kingfisher	marotaina
kingship	fiandrianana
kitchen	lakozy
kitten	sakakely
knee	leferana
kneecap	taolan-dohalika
kneeler	fandohalehana
kneecap	ampelandohalika
knot	lahin-jiro
knowledge	fahalalana
public	abaribary
laborer	maromita
lace	dantely
lad	gaona
ladder	tohatra
laden	fivesarana
ladle	fanovo
lain	tafandriana
lake	farihy
lamb	ondrikondrika
maimed	bolona
lament	manplina
lamentation	fidradradradrana
lampstand	fanaovan-jiro
lancet	fiharatra
landmark	faritany
lap	pejy
lard	midi-menaka
lascar	lasikara
lashing	fioka
late	diso fotoana
laugh	hehy
laughingstock	fihomehezana
washhouse	fanasan-damba
layer	herotra
leadership	fiadidiana
lean	atongilana
learning	fianarana
leave	mamela
small leech	dimaty
left	avela
leftover	tavela
shin	baon-dranjo
legend	arira
lemon	voasary
lend	mampindrana
lender	findramana
length	halavana
lessen	mampihena
level	bamba iray
liar	fandainga
liberalism	liberalisma
liberation	fandoavana vola
habituate	bokolona
license	fahazoan-dalana
lick	milelaka
lid	fandrakotra
lieutenant	lietnà
lifeboat	lakan' aina
lifetime	fahavelomana
lift	mambata
matches	afokasoka
lime	sokay
limit	farana
line	manosona
lineage	taranaka
lingerie	aty akanjom-behivavy
lining	dabolera
lip	molotra
liquid	marano
liquor	lalikera
liter	litatra
literature	literatiora
liver	atin-kena
living	velona
lizard	androngo
load	mamaham-basy
indecent	vetaveta
lock	gadran-trano
locomotive	loha-masinina
logarithm	anaîsa
long	havokavoka
look	indrý
loop	tondro mifolaka
loose	akarenjy
loquat	bibasy
lord	manjakazaka
lorry	kamio
lost and found	entana very
loudspeaker	famoaham-peo
lounge	miboretaka
lover	misakaiza
reminder	famerenana
lullaby	rotsirotsy
lump	vaingana
lust	filana
waterproof outer garment	akanjo tsy lena
madam	ramatoa
magazine	famozehana
magic	majika
magnesium	mañeziôma
magnet	andriamby
girl	ankizivavy
maiden	virjiny
mail	paositra
large quantity	ankabeazany
malaria	tazo
malice	fo lentika
mallet	fively fandraka
malnutrition	tsifiampian-tsakafo
mama	nnly
mammal	biby mampinono
husband	lahy
manacle	gadra
manage	mahaleo
manganese	manganezy
mangrove	alan-konko
mankind	olombelona
manure	taik' omby
manuscript	lahatsoratra
marble	kanety
market	tsena
sea	bahary
maritime	tatsambo
marked	fangirana
marker	kiady
marriage	fampakaram-bady
marrow	pekina
martyr	maritiora
mash	mamotsipotsika
mask	indran-orona
mason	mpandrafi-bato
mason wasp	nenitra
Mass	lamesa
massage	manotra
mast	dalazy
master	tompo
matter	resaka
curved mattock	basy kovia
maximum	ambony indrindra
mayor	ben' ny tanana
meagre	mifezaka
meal	fisakafoana
meander	miolakolaka
meaning	lafiny
measureable	anerany
meat	hena
meditation	eritreritra
medium	salasala
meet	manatrika
melancholy	firifirina
mellow	mabonibonika
melon	voatavo
melt	mandrendrika
member	rantsana
menace	mandrahona
merchandise	entam-barotra
message	hafatra
messenger	fanirakiraka
met	tafahaona
metal	metaly
meteor	fantara latsaka
meter	metatra
miasma	fofon-tany
mica	tsy akory
midnight	mamatonalina
midwife	mpampivelona
milestone	baorina
military	matso
milk	habibo
million	tapitrisa
millipede	fangarompohy
ministry	ministera
mint	solila
mirror	fitaratra
miserable	fadirana ovana
misfire	maty afo
defeat	fahavoazana
mission	iraka
mist	zavona
respect	andriamatoa
mistress	vehivavy lehibe mikarakara ny tokantrano
mix	mamaho
moan	mikonainaina
moat	hadivory
mock	homehy
molar	faravazana
Monday	alatsinainy
money	fanjava
lemur	gidro
monument	tsangambato
moonlight	diam-panjava
moonrise	fiposahana
morning	maraina
morrow	ampitso
mortice	mamandraka
mosque	moske
mother	Ineny
mother-in-law	rafozambavy
moult	miofo
mourn	fendrofendroina
mourner	tompon-alahelo
mourning	fisaonana
move	mamalo
movement	dia tsy manina
moving	fifindrana
much	betsaka
mudguard	arofotaka
mulberry	hazondandy
multiplication	mampitombo
mumble	mimonomonona
murder	vonoan' olona
whisper	bitsika
muscle	ozatra
mushroom	holatra
music	hira
musical instrument	zavamaneno
musician	mpanao mozika
muskmelon	voatango
must	tsy maintsy hatao
species	amboabe
name	anarana
napkin	serivieta
nasal	kentsona
nation	firsvsva
nationalism	nasiônalisma
native	zana-tany
natural disaster	voina voajanahary
natural product	vita-nanahary
nature	fomba
navel	foitra
neck	hatoka
needle	fanjai-bazaha
needlework	zaitra
neglect	manadino
neigh	mikoviaviaka
neighing	koviaviaka
neon	neô
nephew	zanak' anabavy
network	karakara
new	hay vao
new moon	tsinana
newly born	afaitra
nickel	nikela
nickel silver	argentan
nickname	anaram-bosotra
nightjar	matoriandro
nightmare	nofy ratsy
ninepence	ilasiventy
ninth	ampahasivy
nitrogen	nitirôznoina
no	eisy
nobility	andriana
well	anjananjana
nod	miatoka
noon	mitatao vovonana
north	avaratra
northerner	tavaratra
north	andafiavaratra
northwest	avaratr'andrefana
nose	fanantso
nostril	vavorona
notable	iray toa zato
mark	manamarika
notebook	kahie
November	novambra
now	amin' izao
nowhere	tsy aiza tsy aiza
nudity	bongina
number	habetsahana
nurse	miampofo
nursing	fitaizana
nut	vadin-tsaikiro
oak	oaka
oar	fivoy
fulfil	ala voady
following	fanarahana
oblique	mifarangorango
occipital	taola-mokondoha
occupation	lahasa
ocean	oseana
October	oktobra
odor	fofona
offence	fahatafintohinana
offense	manafintohina
offering	fanatitra
officer	farantsa
official	ofisiely
vegetable oil	diloilo
old age	fahanterana
old man	anti-dahy
old woman	anti-bavy
old-timer	mainty molaly
omasum	vorivorinkena
omen	fambara
certain one	anankiray
onion	tongolo
evident	baribary
opening	hady tapaka
oppression	fahaporetana
orbit	taola-maso
orchestra	mozika
orchid	fitsotsoka
ordeal	rano an-orona
order	fanafarana
regular	ara-potoana
ore	tsora
organization	fikambanana
origin	fihaviana
orphan	asorotany tsy satry
osier	fandramanana
ostrich	aositrisy
our	-ay
outcry	babababa
outline	fangitra
outrigger	fanary
overcoat	akanjo be
overflow	mandifotra
overflowing	tondraka
overreach	mitsongo halokely
overrun	mamofo
overseer	mpifehy
overthrow	mandroba fahefana
species	vorombozaka
ox	fihary
oxygen	oksizena
unhusked rice	akotry
pail	gamela
pain	horintsina
painting	fanosorana
palanquin	ankolany
palate	lanilany
palaver	kabary
pale	hatsatra
palm tree	befelatanana
midrib	falafa
pant	misefosefo
pants	pataloha
paper	taratasy
paradise	paradisa
parallel	zana-pehintany
parietal	taolan-tsolampy
paring	vaofy
parish	fitandremana
park	zaridaina
parking	tobim-piarakodia
parking garage	garazy
Coracopsis	boloky
partridge	tsipoy
party	andaniny
passer-by	mpivahiny
passerine	sohihy
passion	fitiavana mahery vaika
passport	pasipaoro
pasture	mikarenjy
pat	misafosafo
path	njia
patient	mahari-po
patriot	tia tanindrazana
paunch	vahindrorohany
pause	fiatoana
peafowl	vorombola
payment	alain-jazabodo
payroll	karama
slowness	adana
peach	paiso
peak	tendrony
peanut	kapika
pear	poara
pearl	vakana
peasant	tambanivohitra
peat	fompo-tany
pebble	kilonjy
pedestrian	lèhilahy madikatra
peel	mamofy
peep	manarangarana
lead bullet	diplio
pen	pafina
pen name	solon' anarana
pencil	pensily
peninsula	tanjona
penny	ilavoamnla
people	firenena
pepper	dipoavatra
lest	andrao
perdition	fahaverezana
perfume	ranomanitra
perineum	tadim-pory
rosy periwinkle	vonenina
perjury	fanta-boboka
perpendicular	voadeza
persecution	fanenjehana
persimmon	kaky
perspicuity	zava
sweaty	dinerina
petition	fangatahana
pewter	firaka
phalanx	vanin-drantsana
phantom	lolovokatra
philosophy	filozofy
phonology	ava-peo
photocopy	fotokopia
phrase	volana anona
propitiatory offering	faditra
picking	oty
piercing	fandoahana
pig in a poke	varotra omby anaty ambiaty
woodpigeon	demodemoka
pilferage	halatra
pill	pilina
pillage	mandroba
use	aondana
pilot	mpanamory
pinafore	aron'akanjo
pinch	mandasitra
pineapple	mananasy
pink	mavokely
piston	fitavoka
pit	taolam-boankazo
plaid	sikimbalobe
plain	banjana
plait	mandify
plan	mahataka-davitra
plane	fandra
star	fajiry
plant	zava-maniry
planting	fambolena
planting	vary vakiambiaty
plaster	lalotra
platform	lampihazo
playground	filanonana
frolicking	faly havanja
playing field	kianja filalaovana
plaything	kilalao
plea	fiangaviana
approve	ankasitrahana
will	danin' ny kibo
pleat	manaketrona
pleating	lefidravina
plover	vorondriaka
plough	angadinomby
pluck	mamolo
plum	paisom-bazaha
plume	miono-belona
plunge	mandroboka
pneumonia	pnemonia
pocket	paosy
pockmark	soki-nendra
poem	tononkalo
point	fatsy
poison	poizina
poker	fanindri-afo
Pole	poloney
police	lapolisy
polish	manalama
politician	mpanao politika
polygamy	fampirafesana
polyphony	ba gasy
pomatum	lapomady
pomegranate	ampongabendanitra
pond	mandisa
poor	halala
porpoise	lambondrano
portrait	sarin'olona
pose	misandoka
position	petraka
possession	fananana
possible	haizina
posterior	vody
pot	fandomana
potsherd	bakilam-bilany
meat	ladobo
pour	mampidina
pouring	idina
pout	midongy
pouting	monjitra
powder	vovoka
prairie	tanin'ahitra
prayer	vavaka
precious stone	vatosoa
predilection	ikotra
prefix	tovona
prehistoric age	taona nialohan'ny Tantara
preliminary	fanombohana
preparation	fiomanana
preposition	mpampiankina
before	anatrehana
present	fahan-kanina
preserve	manefina
presidency	fifehezana
presumption	hetraketraka
pretense	fodiana
preventive	faratra
prey	toha
pride	adonadona
prince	printsy
principal	renivola
print	manao printy
prison	tranomaizina
prisoner	gadralava
prisoners	olona voahidy antranomaizina
problem	olana
produce	mamorona
thing	zavatra
profession	anton-draharaha
professor	praofesora
profound	lalin-tsaina
projectile	fitoraka
promise	ankim-bolana
promotion	fisondrotana
quickly	faingana
pronunciation	fanonanana
prop	ampitra
propaganda	fampielezan-kevitra
prophecy	faminaniana
prophet	mpaminany
proportion	ara-keviny
prose	haisoratra
good time	ankasoavana
prostration	baboka
protection	alokaloka
measles	bonibony
proud	miafonafona
prove	mahamarina
province	fokom-pirenena
provision	mamatsy
proximity	antanona
prudence	fahamalinana
puff	fandotsoana
pull	mandroritra
pulley	bolaky
pumice	vatonakoho
pump	fampakaran-drano
punch	homamanta
punctuation	fijanonan-tsoratra
punishment	famaizana
pupil	anakandriamaso
pure	hirihiriny
purgatory	afofandiovana
purlin	haratra
purple	volomparasy
purpose	fikasana
purse	poketram-bola
push	manakorontana
put out	vonoina
pyramidal	kitsoloha
quack	migagaka
quacking	gagàka
quadrature	mifampijadona
Turnix nigricollis	kibobo
quake	mifihifihy
quaking	fihifihy
quality	toetra
war agree	adin' andriana
quarter	faribohitra
queue	filaharana
quibble	manolaka
quietude	fibonehana
quinine	kininina
quiver	mihontsana
race	fehitra
racism	fanavakavahana ara-dokombolonkoditra
radiant	mirana
radish	radisa
raffia	jiafotsy
raft	zahatra
piece	bakilan-damba
rail	fangalatrovy
raillery	fetika
railroad	lalamby
rainbow	antsiben' Andriamanitra
ramble	mivezivezy
rambler	haolahy
rambling	vezivezy
rammer	fanoto
ramrod	fihitso-basy
rancid	mafaraka
haphazardly	anjoanjo
range	lalaka
ransom	avotra
rap	mangoana
rapid	haingana
rapidity	hafainganana
rat	rabaraba
rat trap	baraboka
rattle	korintsana
rave	mifotafota
precipice	tevana
reach	manakatra
reader	mpamaky
reality	haihainy
realm	Fanjakana
wisdom	fahendrena
rebel	mikomy
rebellion	fikomiana
rebuke	mananatra
receipt	taratasy fanamarinana fandraisam-bola
reception	fandraisana
reciprocal	mpifampivoho
recluse	olonolona
recoil	mitakemotra
recreation	lalao
recruit	zazavao
bright red	jaky
redeemer	mpanavotra
reduce	mamintina
reduction	fola-banga
reed	harefo
reel	midoladola
reflection	fisainana
refund	manonitra
refuse	fiaka
regiment	rezimà
register	rejistra
regulation	fitsipika
reject	manakifaka
relapse	mifohatra
relative	havana akaiky
remark	fanamarihana
remorse	nenina
removal	fanesorana
remove	mamindra
Renaissance	Fiverenana miteraka
rend	mamiravira
renewal	fanavaozana
rent	hofa
repair	manamboatra
repeat	manantitra
monotonous repetition	dridralava
reply	setry
representative	solontena
reprimand	fananarana
reproduction	nalain-tahaka
reptile	biby mandady
republic	repoblika
rescue	vonjy
research	fikarohana
trapping	famandrihana
resignation	fialana
resist	mahatanty
resolution	fikasana ny tena
resolve	mikasa
respond	manankolatra
rest	fialan-tsasatra
restraint	fetra
restroom	fidiovana
retail	antsinjarany
retaliation	tody
reticulum	masontantely
retire	mihemotra
retort	mifandapa
reveal	mamosaka
revenge	valifaty
revenue	hajia
revolution	revolisiôna
revolver	basy poleta
reward	fankasitrahana
rheumatism	ilaimahery
rib	taolan-kima
ribcage	haran-tratra
riddle	fanonona
ride	mitaingina
ridge	ambonimandry
ridgepole	vovonana
riding	fitaingenana
right	havanana
rinse	manontsana
rip	mandriatra
end	baibona
road	ara-ben-dalana
rock	haram-bato
roll	horonana
ground roller	fitilivaratsa
Romance	tantara noforonina
roof	lohatrano
roof tile	tanimanga
prolonged	akoralava
cloddy	be bonga
rubbing	kasoka
ruby	vatosoa mena
rudder	fanamory
rue	manenina
ruin	mamery
rum	bary andro
rumble	mikoraraika
rumen	fondrana
ruminant	mpandinika
rumour	fosafosa
run	fihazakazahana
rush	mandramatra
rustle	kasokasoka
sack	kitapo
saddle	lasely
sadness	fanjombonana
saffron	tamotamo
sail	demany
sailor	baharia
saint	masimbavy
table salt	fanasina
same	katroka
sanctity	hasina
sandgrouse	gadragadra
rough	ampaly
sandpiper	fandiafasika
sapphire	vatosoamanga
sarong	lambahoany
sat	tafafitaka
artificial satellite	zanabolana
satiation	fahavokisana
satin	amparasily
Saturday	asabotsy
saucepan	vilany midasidasy
sausage	saosisy
save	mamonjy
saw	lasary
sawdust	tain-tsofa
saying	ohabolana
scaffold	kombarika
scaling	ofaka
scandal	fanafintohinana
scapula	taolan-avay
scarcity	hanifisana
scarlet	dorehitra
scattering	fampielezana
scene	lasenina
schism	fitsitokotokoana
science	siansa
scientist	siantifika
scoff	mamendrofendro
scold	mandevilevy
scoop	mandavaka
scoria	lomotra
scorpion	hefy
scowl	harika
scratch	kiaka
screech	mitsararàka
screen	takon-kenatra
screw	visy
scrub	mikosika
seam	vitrana
search	manadina
seashell	akoran-dranomasina
season	taona
elevated seat	ainginaingina
alga	ahidrano
second	faharoa
secondary	masay
secure	mandry ivohon' ny vato
sedge	zozoro
seed	masomboly
seedbed	taninketsa
seedling	ketsa
seeking	karoka
self-esteem	nehoneho
sell	mahalafo
semibreve	fotsy reniny
send	mampody
sender	mpandefa
sensitive	sarotiny
release	alefa
sentinel	gadran-dalana
separate	mampisaraka
separation	fisarahana
September	septambra
serpent	halapata
serpentine	mibisioka
seventh	fahafito
settle	manapaka
settlement	farafaran-talevana
sevenpence	ilasitelo
seventh	ampahafitony
sewing machine	milina fanjairana
shade	aloka
silly	barabara saina
shaman	ombiasa
shark	akio
shave	manaratra
shawl	ngorinianginy
sheaf	amboara
sheep	besavily
sheet	takelaka
shelf	talantalana
shepherd	mpiandry
shield	ampinga
shine	famirapiratana
ship	mandefa
shipping	fandefasana
shirt	akanjo lobaka
shiver	mangovitra
shoemaker	mpanao kiraro
shooting	tifitra
short	boletaka
new	vaovao
shortcut	manivaka
fatal shot	bala mihanta
shove	manosika
shovel	lapelina
shower	fandroana
shrink	mifintina
shuffle	mipilampilana
eye	akimpy
shuttle	famahanantenona
shy	kaodikaody
sidewalk	sisin-dalana
siege	fahirano
sieve	manasivana
sight	fahitana
sign language	baikon' ny moana
silence	fahanginana
silkworm	bibindandy
silly	babazo
similar	mitovy
sin	fahotana
sing	manara-bava
single	hany
sink	fanitso
sinking	filentehana
sirloin	ili-kena
sisal	taretra
female relative	anabavy
sister-in-law	zaobavy
sit	miarina
sitting	fipetrahana
divide	enemina
sixth	ampaheniny
skeleton	haran-olona
skulk	mibolidilidy
skull	karandoha
skylark	sorohitra
skyscraper	trano manaka-danitra
slam	manakaratona
slap	riana
slate	solaitra
Taimoro	abily
slaver	farora-bava
enslaved	fahandevozana
sledgehammer	fampohaza
plump	bolangina
sleep	matory
sleepy	milondolondo
slide	akororosy
sliding	korisa
sling	antsamotady
slip	bolasitra
slip of the tongue	latsa-bava
slit	manataka
slope	kisolosolo
slosh	manakobaka
smallpox	belemby
smell	mamofompofona
smile	mihimokimoka
smith	tamby
smooth	malama
snail	lelosy
snarl	mitrerona
snatch	mandrambatra
sneak	misokosoko
sneeze	evina
sniff	mifo-delo
sniffing	fo-delo
sniffle	mifitroka
snore	erotra
snoring	fonaka
snort	mifioka
snow	oram-panala
snuff	kisoka
snuffbox	tongobolo
soak	mamonto
soap	savony
soar	mihendrinendrina
sobbing	gagagaga
doing	fanasoavana
socialism	sosialisma
sock	ba-tongotra
socket	varombo
soil	lalangy
sojourn	mivahiny
soldier	miaramila
sun	masoandro
solid	maozatra
solitude	fitokana-monina
soprano	fasin-kira
sorcerer	mpamosavy
sorcery	azary
sore	ferena
sore throat	aretin-tenda
sorghum	ampemba
sorry	onnla
sour	foizina
source	fiandohana
soursop	voantsokona
south	ampimbana
southerner	tatsimo
southward	andafiatsimo
open space	an-kalalahana
spade	angady
span	manindao
spark	bitsoka
spat	rorana
speaking	faniratsirana
spearman	fanalolahy
speckle	mapentimpentina
spend	mandany
spendthrift	mpandany
spider	halabe
spinal column	taolan-dava
spine	hazon-damosina
spiral	tangolika
spit	havitra
spite	lolompo
spittle	fotafota
splash	midabadaba
splint	hamatra
splinter	difika
spoke	tanamasoandro
spoken	itenenana
spoon	filambotra
sport	sangisangy
spot	mamentimpentina
spouse	vady
spout	fantson-drano
sprain	mihaitra
leg	abahana
springtime	lohataona
sprout	manaroka
spun	folesina
spur	fantsy
spurt	miboroaka
sputter	mipitripitrika
square	efa-joro
squeak	midridrodridro
squirt	mibosasaka
staff	langilangy
stagger	mandia raingy
stagnation	handrona
stammer	miambakavaka
stampede	ribik' ondry
stamping	tombo-kase
starboard	antehe
stare	mibanjina
starling	fitilisaisy
start	havatravatra
startle	manaitra
statesman	olom-pirenena
statue	sary vongana
stay	miafitra
steal	mangalatra
steel	tsy
steer	mamily
stem	fanisam-bato
stepfather	raikely
stethoscope	fihainoana
stiff	henjana
sting	kaikitra
stink	imboina
stir	mangaro
stitch	manjaitra
stockman	mpiompy
stolen	angalarina
stomach	vavony
stonemason	tambato
stool	seza bory
stoop	miondrika
Anastomus lamelligerus	falamakavava
stove	fatam-by
straddle	mibahana
straight	mahitsy
strain	manatantavana
strangury	angamaty
straw	mololo
stream	riaka
strength	hery
striking	famelezana
string	kofehy
stringer	hara-boalavo
stroke	fingana
struggle	korapaka
strut	miedinedina
student	mpianatra
stuff	manesika
stuffing	sesika
tripped	tafintohina
stump	fototra
stupid	badoina
chubby	bofona
style	fomba fanaovan-javatra
subject	lazaina
substitute	antratra
suburb	zanabohitra
subvert	mamoky
suckle	mampinono
suet	fonom-boany
suffer	ampijalina
suffix	tovana
sugar	siramamy
sugar cane	fary
sweet	bokotra mamy
suggestion	toro-hevitra
suicide	mamono
suitability	fetezana
sulfur	solifara
sum	misy
summit	tendrombohitra
Sunday	alahady
sunshine	hainandro
excess	diso fampana
superiority	fahamboniana
superstition	finoanoam-poana
supervision	fitsinjovana
supper-time	ialimana
surgery	fandidiana
surrender	mikoy
surround	manemitra
surveyor	mpandrefi-tany
sustain	mihafy
swamp	heniheny
swarm	andian-tantely
sway	mihevingevina
swear	manasaha
sweat	dinitra
sweep	mamafa
sweeper	mpamafa
sweep	afafa
accept	ankamamina
sweet potato	ambizo
swelling	binabina
swimming	filomanosana
swimming pool	dobo filomanasana
swing	antsavily
swirl	misangodina
swish	mikasaotsaoka
sword	antsifotsy
sympathy	fifankatiavana
syringe	basirano
table	latabatra
table-cloth	lamban-databatra
tack	mahafinaritra
tailor	mpanjaitra
take	mahalasa
raise	ampakarina
tale	tahaka
talk	maresaka
tallow	jabora
tamarind	kilendraza
tangent	kasika
tape recorder	fangoronam-peo
tartar	tai-nify
lace	danty
tattoo	havatsa
taxicab	fiarakaretsaka
teach	mampianatra
teacher	mpampianatra
Tachybaptus pelzelnii	tsiriry
tear	fanenomana
tease	mamazivazy
teaspoon	sotrokely
telegraph	telegrafy
telescope	ambaramaso
television	fahitalavitra
tell	milaza
temper	manofana
template	lamaody
temple	fiangonana
temporary	vonjimaika
tender	misorona afo
tenia	sakoitra
Setifer setosus	sokina
tense	diridirina
tension	diridiry
one tenth	ampahafolony
Glareola ocularis	vorombato
termite	votry
terrace	farafaran-tany
fear	tahotra
test	manasedra
testament	fara hafatra
testicle	atodinakanga
thank	mankasitraka
theater	sehatra
then	amin' izay
thermometer	tondro fana
these	ireto
thick	matevina
thicket	bolobolo
thief	fangalarina
thieving	rairay
thimble	fanosehana
oblique second person singular	anao
thinker	mpanorohevitra
third	ampahatelony
thirst	hetaheta
thirty	telopolo
thorn	fatika
threat	fandrahonana
thrice	dikina
threepence	ilasiray
threshold	tokonana
throb	manaintaina
throbbing	fanaintainana
throne	fiketrahana
thrust	gorobahina
thud	ngodongodona
thumb	ankibe
thump	doboka
thunderclap	difi-baratra
Thursday	alakamisy
tibia	taolam-peky
ticket	karatra
tickle	manakibokibo
time limit	fe-potoana
tinkle	mikorintsana
tinplate	vifotsy
tip	kadoa
sandpiper	lavasalaka
toad	sabakaka
today	androany
toe	rantsam-bity
majority	ankapobeny
told	tantaraina
tomato	voatabia
tomb	fasana
tomboy	lahilahy toetra
tonight	anio alina
tonsil	amboakelintenda
very	aoka izany
toothache	hanin' ny olitra
top hat	jaomalanga
topsoil	nofon-tany
tornado	rambondanitra
tortoise	sokatra
total	tontolo
touch	manitikitika
visit	famangiana
towel	famaohana
tower	tilikambo
trace	mamoa-dia
trade	mandranto
tradition	vakoka
traffic	fifamoivoizana
training	fanazarana
trample	manitsaka
tranquility	fandriam-pahalemana
transfix	mamboroaka
transmitter	fandefasam-peo
transplant	mametsy
transport	mitakona
tray	sahafa
treacle	ranoresy
tread	mandia
treat	manolokolo
treatment	fikarakarana
treaty	fanekem-pihavanana
tree	hazo
tremble	hovitra
trench	hadi-fetsy
trigger	fihatsim-basy
trim	manombika
trot	mihejaheja
trouble	fahoriana
trowel	fandalorana
try	maka fanahy
tsunami	tsonamy
tub	filomana
tug of war	fandroribola
tuition	saram-pianarana
tumble	mifetsaka
tunnel	lozoka
turban	hamama
turkey	vorontsiloza
Betsileo	anambe
tuyere	vavadidy
twenty	roapolo
straight twig	famaritsohana
twilight	takariva
twin	kambana
twirl	mampandihy ampela
twist	adiditra
twisting	diditra
twitching	hendratra
two	anankiroa
type	lohavy
typhoid	tefoedra
tyre	kodiarana
udder	nonom-biby
ugly	tavan' arosy
unconscious	tsy mahatsiaro saina
undecided	saikatra
unfortunate	fohehatra
army uniform	akanjo fanamiana
unit	venty
unity	firaisan-kina
universal	ranoray
university	oniversite
upbraid	mandatsa
upbraiding	latsa
upright	dezaina
urethra	famaniana
urge	mandodona
urine	amany
urn	bakoly kitsoloha
usage	miova fenitra
usury	zana-bola
utter	manantsontsam-bava
vaccination	fanaovana vaksiny
vaccine	fanefitra
vagina	fory
vague	manjavozavo
valuable	hasaka
vanilla	lavanila
vanity	efoka
vantage	fitazanana
vaunt	mihambo
Solanum nigrum	anamamy
velvet	vilaory
respect	asy
verandah	lavarangana
near	avivitra
vermiform appendix	kambontsinay
vermifuge	tamenaka
vertebra	taolam-body
vertebrate	biby manana taolan-damosina
container	botraro
vest	akanjo bory tanana
jewel	ravaka
veteran	menavazana
veterinary	mpitsabo biby
annoyance	dikidiky
vibrate	mipararetra
vibration	pararetra
victim	tra-boina
victory	fandresena
view	mitazana
vigor	tanjaka
village	vohitra
vine	lombiro
vinegar	vinaigitra
violin	lokanga
virgin	virijiny
viscera	fadiny
visit	mamangy
vitriol	ranomahery
vociferation	pentsompentsona
volcano	afotroa
volunteer	manolo-tena
Vorschlag	fanomezan-kevitra
vowel	zanatsoratra
waddle	miboletaleta
wag	manadoladola
waggle	manapelipelika
wagtail	triotrio
wail	migogogogo
wainscot	peta-drindrina
wait	mandiny
unwanted waiting	alanalana
wake	miandry faty
walk	behambehana
walnut	voany
wander	mandifika
wandering	hebiheby
wanton	jejojejo
warp	mivaona
wash	manasa
washerwoman	mpanasa
brainwashing	fanasana ati-doha
wasp	fanenitra
watchman	mpiambina
water	manondraka
