big	be
banyan	monoko
baobab	bontona
barber	mpanety
bargain	mamola-barotra
bark	hoditra
barking	vovò
barter	fanakalozana
based	mifototra
basement	lakavy
medium-sized round basket	fanatrona
basketball	basketra
bastard	sary
baste	mamikavika
bat	karavasy
bathe	mampandro
group	beloha
batten	fanantana
battery	batery
bayonet	benitra
bee	tantely
grebe	dian-tsiriry
beak	vavam-borona
bean	tsaramaso
bear	maharitra
beard	volombava
beat	mamaritsoka
quarrel	ady am-parimbona
beauty	hatsara
bed	fandriana
bedbug	kongona
bedrock	vatolampy
bedstead	farafara mandeha
beef	fefy
beefsteak	befitaika
beeswax	savoka
snipe	fandiorano
fleeing	fandosirana
beggar	mpangataka
beginning	amboalohany
behalf	tohana
behaviour	fitondran-tena
behold	inay
being	mampisy
belief	finoana
bell	lakolosy
bellow	mitrena
beloved	ampelantanana
belt	fandrotrakanjo
bend	faingoka
benediction	famonto
benefactor	ray aman-dreny
benefit	manasoa
bent	afaingoka
berry	helo-drano
bespeak	mifofo
best	faratampony
but	anefa
betrothed	voafofo
Bible	baiboly
bicarbonate of soda	karibonetra
intense argument initiate	ady antsanga
bicycle	bisikilety
big	lehibe
bigger	manalehibe
bile	aferon-kena
bilharzia	kankandio
billhook	antsy bila lava
steep	alòna
bind	mamandrotra
biography	tantaram-piainana
birth	fahaterahana
biscuit	bisikitra
bishop	eveka
bite	homana
bitten	kekerina
bitter	madiro
blab	mibadabada
black	mainty
blackbird	tsikorotana
blackboard	baoritra
blacking	fanamaintisana
blacksmith	mpanefy
bladder	tatavia
tongue	lela
bland	mibonaika
blanket	bodofotsy
blaze	midedadeda
bleat	mibarareoka
bleat	barareoka
bleed	mandeha ra
bleed	baba ra
blindness	fahajambana
blink	mipendrampendrana
blister	miempaka
blond	mavo loha
blossom	mamony
blotch	bontsibontsina
blotting paper	fanamainan-tsoratra
akanjo	akanjo bilaozy
blunt	dombo
bluster	mandrahom-bava
blustering	barabosy
boarder	kilasimandry
boarding pass	karatra fiondranana
boast	deronderom-bava
bodice	tenan'akajom-behivavy
God	Andriamanitra
boiling	mangotraka
shop	fivarotana
bond	petra-bola
bone	taolana
book	boky
booklet	trakitra
bookseller	fivarotam-boky
booth	trano bongo
raise	amborodao
boredom	fahadisadisana
born	ateraka
recuperation	aritra
borrow	mamindra hahy
borrowing	findra hahy
lap	am-pofoana
both	samy
bother	manabataba
bottle	folakoho
bottom	farany
bough	rahaka
bound	afatotra
bow	handrotra
bow down	aboretaka
box	kesika
boy	ankizilahy
curly bracket	boresy
brackets	braketra
brad	fantoka
brag	mandabodaboka
braid	galona
brain	atidoha
bran	ampombo
branch	mandrantsana
branching	sampana
brand	forohana
brandish	mamèlapèlana
brave	mihaikahaika
bravery	haikahaika
brawl	vatsavatsa
breadfruit	soanambo
breadth	ila keliny
break	mamaky
breaking	firavana
breastwork	tamboho
breathing	fiainana
breeding	fiompiana
southwestern wind	animbato
bribe	kolikoly
brickwork	rafitra
bridegroom	mpampakatra
bridge	tetezana
bridle	lamboridy
cause	antony
briefing	fepetra
bright	mazava
make clear	anazavana
brink	morona
brittle	marefo
broil	mitono
broken	apiaka
bronze	alimo
brooch	fisisika
brother	anadahy
brother-in-law	zaodahy
brotherhood	fatidra
brown	fiana
bruise	dian-kapoka
broom	famafa
brutal	bibibiby
brutality	habibiana
bubble	miboiboika
bubo	kifongo
bucket	faladrano
buckle	fampoehana
buffet	lalimoara
bugle	anjomara
swell	bontsinina
bull	lahin' omby
spent bullet	bala sasatra
shell	akorany
bullock	vositra
bump	midona
bunch	fehezana
bundle	fim-bary
rabbit	bitro
burial	fandevenana
burn	hay an-tsoson-koditra
burner	vava fatana
burst	mamantsika
bury	manafina
bus	aotobosy
bush	kirihitra
bustle	tabataba
busybody	antikantika
but	kiraro
butter	dibera
button	bokotra
buttonhole	lavabokotra
buyer	mpividy
whizz	biririoka
Madagascar buzzard	bobaky
buzzing	rimorimo
bye	veloma
cable	mahazaka
cackle	mikoràka
cake	fehezam-bary aman-dronono
fire	afo
calendar	kalandrie
calf	zanak'omby
damask	damà
calm	mahamora
camel	angamenavava
camphor	ravintsara
power	fahefana
Canadian	kanadianina
canal	tatatra
candlestick	fanaovan-dabozy
candy	vatomamy
dog	alika
cannon	tafondro
cap	sarotro
measure	famarana
capital	masonkarena
capon	akoho vositra
caprice	angentsana
captive	babontany
capture	fisamborana
caracole	manao dian-olitra
covering	akorambiby
boil	fongo
carpenter	mpandrafitra
carpentry	fandrafetana
carpet	karipetra
carrot	karaoty
cartilage	taola-malemy
carton	boaty
carving	sokitra
cashew	mahabibo
cassava	balahazo
casserole	kasiraoly
gown	akanjo lava
sow	afafy
division	ankolafiny
castor oil	tseroka
castrate	mamositra
catarrh	sery
catch	fihitra
catechism	katekisma
catechist	katekista
caterpillar	fanday
catheter	bozy
cattle	lofo
caulk	manentina
caution	mamarafara
cave	antorabintsy
cavern	zohy
ceiling	valindrihana
celebration	fiderana
centre	afovoany
centipede	farora-bola
command	amboninjato
century	taonjato
cereal	varimbazaha
cervical	taolam-bozona
chaff	akofa
chagrin	manorisory
chain	fatorana
chair	seza
challenge	faninanana
chameleon	kamaitso
champagne	sampaina
champion	kalazalahy
successor	dimby
channel	lalan-drano
chap	didin-tsokina
chapel	trano fiangonana
responsibility	andraikitra
chat	mitafasiry
chatter	mibedibedy
chattering	dadaka
cheat	mamahan-dalitra
cheating	fahan-dalitra
check	manamarina
checkroom	fametrahana entana
cheek	fify
cheekbone	taolan-tava
cheer	mamalifaly
cheese	foromazy
chest	laon-tratra
chew	mandinika
chick	akohokely
monarch	andriambe
child	anaka
childhood	fahazazana
child	ankizy
chimney	lafaoro
chin	saoka
Chinese	sinoa
chip	difi-bato
chirp	maneno
chisel	fandrabato
chitchat	bedibedy
chocolate	sokola
choice	fidy
choke	manakenda
choking	kofona
cholera	kolerà
chop	mandimbana
chronic	latsa-paka
compact	badobadony
