bait	fan
owner	fun
thigh	haha
eye	mata
measles	abas
tomorrow	haya
eel	kili
shoulder	abal
pineapple	lanas
milk	gatas
five	limu
frog	fak
goat	kambing
scissors	gunting
large cockroach	kaba
medicine	bulung
needle	dalum
hammock	duyan
knot	hutus
dimple	kadi
knee	bukol
jackfruit	badak
boat	kafal
fence	labat
bridge	kitay
rake	kambang
lipstick	atal
tongue	dilak
orphan	hikit
armpit	imak
liver	katay
chin	kakim
mountain	bulul
penis	amil
anus	akuk
Japan	Afun
axe	asay
spear	buyus
bed	katdi
towel	kayab
why	kihol
wing	hafak
fish	hangus
waterfall	hikong
enemy	hohon
glutinous rice	hulut
island	hungul
rice soup	libol
