splinter	tanj
hummingbird	riu
cloud	nga
flower	yaj
bone	cúj
hen	xuche̱
tortilla	chra
mano	rudaʼaj
plaza	yuʼue
dish	goʼo
house	hueʼ
grasshopper	xiriquíj
cricket	xiruj
hat	jnahui
cat	xilu
skunk	xuʼman
fox	xune
comal	xo̱
mountain	quij
calf	sicúj
boy	snoʼo
goat	stane̱
smoke	gatseʼ
bat	xiun
pig	xacáj
moon	yahui̱
chili pepper	yaʼaj
petate	huéj
dove	xuʼma̱n
opossum	cnákinj
cigarette	nnaanj
