building	kali
state	tlatokajyotl
Spanish	kaxtiltekatlajtoli
Russian	rusotlajtoli
Arabic	árabetlajtoli
Chinese	chinotlajtoli
Lithuanian	lituanotlajtoli
Romanian	rumanotlajtoli
Italian	italianotlajtoli
Otomi	otontlajtoli
Wastek	kuextekatlajtoli
Yucatec Maya	yukatekatlajtoli
Spaniard	kaxtiltekatl
Wastek	kuextekatl
Yucatec	yukatekatl
Mexican	mexikatl
Tlaxcaltecan	tlaxkaltekatl
Huejutla	Uexota
Atlapexco	Atlapechko
Xochiatipan	Xochiatipan
orange tree	lalaxkoauitl
cherry	apolij
sapodilla	chikojtsapotl
anona	kokax
mamey	koatsapotl
jobo	tamaxokotl
tejocote	texokotl
grapes	xokomekatl
date	soyaapolij
Latin	latíntlajtoli
Esperanto	esperantotlajtoli
Mazahua	masauajtlajtoli
Purhepecha	purépechatlajtoli
Tepehua	tepeuajtlajtoli
sing	kuika
leg	mestli
photographer	ixkopinalketl
image	ixkopinali
sugar	chanchaka
amaranth	uajtli
lemon tree	limokoauitl
feather	ijuitl
eye	ixtioli
peanut	kakauatl
letter	matlajkuiloli
bag	matatl
pineapple	matsatli
sport	mauiltilistli
arm	maueueyak
knowledge	matilistli
person	maseuali
protect	manoui
crawl	manenentli
disordered	maneltik
bathe	maltia
finger	majpili
cockroach	xopilij
last son	xokoyotl
pumpkin	eyojtli
round	malakaxtik
macuilxochitl	makuilxochitl
one hundred	makuilpoali
five	makuili
six	chikuase
seven	chikome
nine	chiknaui
eight	chikueyi
ten	matlaktli
sprout	chamantli
rattle	ayakachtli
ajocote	axokotl
chalahuite	chalauitli
fuel	chapopojtli
shit	kuitla
shit	kuitlatl
sweet corn	xamili
church	tiopan
coconut	kokox
creeping false holly	xaltomatl
tomato	xijtomatl
fruit	koatlajtli
chayote	koatlajkayotl
yuca	akaxilotl
chalahuite	chalauijtli
jicama	kajtsotl
pumpkin	ayoktli
pummkin	eyoktli
bad	yankuik
rain	kiyauitl
mazacuata	masakoatl
meat	pionakatl
sister-in-low	uejpol
god father	tiota
grand mother	ueyinana
grand father	ueyitata
neibor	uampo
sesame	ajoli
comal	komali
nixtamal	nextamali
uncle	tlatsi
aunt	aui
brother	ikni
sister	uelti
god son	tiokone
god	siuatiokone
baby boy	okixkonetl
turkey hen	siuatotoli
stewpot	kaxitl
loosen	kaxani
rebozo	maamali
cousin	machkonetl
five	makuilpa
pardon	makixtli
fright	majmajtli
hit	makili
make	tlaxkalchiua
plant	toktli
horse	kauayoj
archive	amatlajkuiloli
testament	amatlajtoli
lollipop	paletaj
restaurant	tlakualoya
food	tlakuali
tramp	tlakestli
blanket	tlakemitl
potato	tlalkamojtli
ice cream	lalaxasetl
ice cream	chokolasetl
cock	koatele
eleven	matlaktli uan se
twelve	matlaktli uan ome
thirteen	matlaktli uan eyi
fourteen	matlaktli uan naui
fifteen	kaxtoli
sixteen	kaxtoli uan se
seventeen	kaxtoli uan ome
nineteen	kaxtoli uan naui
eighteen	kaxtoli uan eyi
twenty	sempoali
Japanese	japonéstlajtoli
Mayan	mayatlahtoli
K'ich'e	kichétlajtoli
Bribri	bribritlajtoli
Navajo	navajotlajtoli
Zulu	zulutlajtoli
Guarani	guaranítlajtoli
Romanch	romanchetlajtoli
Kuna	kunatlajtoli
Aymara	aimaratlajtoli
Hebrew	hebreotlajtoli
Mexican	mexikatlajtoli
Norwegian	noruegotlajtoli
Chinese	mandaríntlajtoli
Swahili	suajilitlajtoli
Portuguese	portuguéstlajtoli
sugar cane	tleatl
sucar cane	ouaatl
coffee	kafej
sweet corn	eloatoli
Kickapoo	kikapútlajtoli
Paipai	paipaitlajtoli
ass	tsimitl
buttock	tsimpa
gum	tsiktli
coral snake	tsikatenaj
rattlesnake	kuechkoatl
turtle	koxualij
demon	tsitsimitl
feisty	tlauilanketl
hair	tsonkali
pillow	tsontetomitl
hat	tsonakauili
hat	tsonakauilotl
Dutch	neerlandéstlajtoli
Tlaxcala	Tlaxkala
jobo	koaxokotl
plump	temaxokotl
watermelon	ualeyaj
cricket	tsitsikamitl
flea	tejpimitl
tarantula	yoltekuajkuajtli
beetle	kuitlatsokoyoli
lizard	topitsij
bee	nejsayoli
tilcuata	tlilkoatl
palm snake	apachkoatl
chayote	chayojtli
expensive	patiyoj
bread	pantsij
liquor	oktli
nylon	olij
fermented	oktik
sick	kokoxketl
country	ueyitlali
municipality	altepetlali
transport	ojtilistli
corn smut	kuitlakochi
traveler	nejnenketl
history	uajkapayotl
Marygold	sempoualxochitl
tilapia	chompetlatl
root	neluayotl
accept	neltoka
religion	neltokilistli
limestone	nextetl
brush	xiluastli
jicalpestle	xikali
navel	xijtli
umbilical cord	xijmekayotl
crispy	xaxantik
excavate	xaua
owl	tololojtli
duck	patex
turtle	sokijayotl
president	tlanauatiketl
alphabet	tlajkuilopamitl
humanity	tlakayotl
nopal	nojpali
